iteration,trial_id,score,config
338,121699f3,0.4413145539906103,"{'batch_size': 64, 'num_HL': 5, 'latent_dim': 6, 'opt_lr': 0.0005352195780770722, 'opt_wd': 1.8532655316092752e-06}"
439,2bb6212b,0.4765258215962441,"{'batch_size': 64, 'num_HL': 7, 'latent_dim': 3, 'opt_lr': 0.00018102616389755166, 'opt_wd': 2.6354616042260527e-07}"
758,688f82fd,0.4,"{'batch_size': 64, 'num_HL': 2, 'latent_dim': 3, 'opt_lr': 0.00031428336311331486, 'opt_wd': 7.965467846605041e-06}"
769,1216a93a,0.5115023474178403,"{'batch_size': 64, 'num_HL': 3, 'latent_dim': 8, 'opt_lr': 0.00014683676170694146, 'opt_wd': 7.118156610037648e-06}"
910,2259b202,0.471830985915493,"{'batch_size': 128, 'num_HL': 6, 'latent_dim': 4, 'opt_lr': 0.00036715338828102105, 'opt_wd': 2.7938791148909362e-06}"
1069,85c24f8f,0.4704225352112676,"{'batch_size': 64, 'num_HL': 3, 'latent_dim': 4, 'opt_lr': 0.0006513737733728061, 'opt_wd': 5.376619765118554e-06}"
1192,a3c65b63,0.47183098591549294,"{'batch_size': 64, 'num_HL': 6, 'latent_dim': 4, 'opt_lr': 3.973313503943568e-05, 'opt_wd': 6.2232293865076765e-06}"
1286,e5125610,0.4706572769953052,"{'batch_size': 128, 'num_HL': 7, 'latent_dim': 2, 'opt_lr': 0.0001398212283404004, 'opt_wd': 4.92743743561198e-06}"
1367,5a00f433,0.45305164319248825,"{'batch_size': 128, 'num_HL': 7, 'latent_dim': 4, 'opt_lr': 0.00024314572492352895, 'opt_wd': 3.4023386068529428e-06}"
1384,b7ec78f1,0.4769953051643192,"{'batch_size': 64, 'num_HL': 3, 'latent_dim': 5, 'opt_lr': 0.0005209834648530976, 'opt_wd': 9.262324874012895e-06}"
1388,b3655fa4,0.4985915492957746,"{'batch_size': 128, 'num_HL': 3, 'latent_dim': 8, 'opt_lr': 0.00013052414280950375, 'opt_wd': 1.4505902597974886e-06}"
1500,f27e1b9c,0.4842723004694836,"{'batch_size': 64, 'num_HL': 5, 'latent_dim': 4, 'opt_lr': 1.8036009882868322e-05, 'opt_wd': 4.370277365208025e-06}"
1523,21a8b188,0.423943661971831,"{'batch_size': 64, 'num_HL': 6, 'latent_dim': 6, 'opt_lr': 4.911336684260457e-05, 'opt_wd': 7.511051943261513e-06}"
1578,0aa8ac8e,0.4044600938967136,"{'batch_size': 64, 'num_HL': 5, 'latent_dim': 8, 'opt_lr': 0.0006234078120970733, 'opt_wd': 8.296108101804626e-06}"
1620,ed11c7bc,0.4652582159624413,"{'batch_size': 64, 'num_HL': 4, 'latent_dim': 6, 'opt_lr': 0.00018632074553282538, 'opt_wd': 6.005899737286801e-06}"
1628,3e8abefc,0.4328638497652582,"{'batch_size': 128, 'num_HL': 3, 'latent_dim': 4, 'opt_lr': 0.00035131696336634244, 'opt_wd': 9.652856065741923e-06}"
1700,32718cad,0.4948356807511737,"{'batch_size': 128, 'num_HL': 6, 'latent_dim': 3, 'opt_lr': 0.00012198326475729481, 'opt_wd': 6.519934375367422e-06}"
1751,fefdaf55,0.5126760563380282,"{'batch_size': 64, 'num_HL': 2, 'latent_dim': 7, 'opt_lr': 0.00042892097405188814, 'opt_wd': 8.747468268153637e-07}"
1803,3a834314,0.5046948356807511,"{'batch_size': 64, 'num_HL': 6, 'latent_dim': 9, 'opt_lr': 0.0001035129963314741, 'opt_wd': 4.857955453178073e-06}"
1926,811a0260,0.5131455399061032,"{'batch_size': 128, 'num_HL': 4, 'latent_dim': 7, 'opt_lr': 0.0009343434826285074, 'opt_wd': 3.97358427439323e-06}"
2081,89b8fdb1,0.504225352112676,"{'batch_size': 64, 'num_HL': 2, 'latent_dim': 7, 'opt_lr': 0.0009627460000191684, 'opt_wd': 1.3176430347932488e-07}"
2120,b2b5e05a,0.4582159624413146,"{'batch_size': 64, 'num_HL': 4, 'latent_dim': 6, 'opt_lr': 0.0005141099824087245, 'opt_wd': 5.646466351189958e-06}"
2211,75172c2c,0.5169014084507042,"{'batch_size': 64, 'num_HL': 2, 'latent_dim': 7, 'opt_lr': 0.00024171186882173637, 'opt_wd': 8.090726945886759e-07}"
2278,f34c36e6,0.38028169014084506,"{'batch_size': 128, 'num_HL': 8, 'latent_dim': 5, 'opt_lr': 0.0008962879780945091, 'opt_wd': 2.2135147690822136e-06}"
2288,f3b38f64,0.4622065727699531,"{'batch_size': 64, 'num_HL': 4, 'latent_dim': 6, 'opt_lr': 0.0007584498634595527, 'opt_wd': 6.069474569291736e-07}"
2313,8ad9d226,0.5532863849765258,"{'batch_size': 128, 'num_HL': 3, 'latent_dim': 9, 'opt_lr': 0.0002215971849252202, 'opt_wd': 7.063599751432822e-06}"
2422,7d08f71d,0.43380281690140843,"{'batch_size': 128, 'num_HL': 5, 'latent_dim': 7, 'opt_lr': 0.0009116332429511719, 'opt_wd': 4.0802930615742475e-06}"
2445,e03dc711,0.49882629107981213,"{'batch_size': 128, 'num_HL': 4, 'latent_dim': 8, 'opt_lr': 7.002326131824062e-05, 'opt_wd': 7.186894453526338e-06}"
2706,18e26a04,0.5105633802816902,"{'batch_size': 64, 'num_HL': 5, 'latent_dim': 8, 'opt_lr': 0.00019441747473524111, 'opt_wd': 1.6588473139091714e-06}"
2796,4e0dd8c4,0.4953051643192488,"{'batch_size': 128, 'num_HL': 4, 'latent_dim': 9, 'opt_lr': 6.506141694265314e-05, 'opt_wd': 3.2288550348547772e-06}"
2826,914f707b,0.3873239436619718,"{'batch_size': 128, 'num_HL': 8, 'latent_dim': 7, 'opt_lr': 0.0002793446973901421, 'opt_wd': 4.041768294961785e-06}"
2878,44f7039a,0.5776995305164319,"{'batch_size': 64, 'num_HL': 3, 'latent_dim': 9, 'opt_lr': 0.00021881269658212318, 'opt_wd': 8.96951381827196e-06}"
2918,52702b16,0.5046948356807511,"{'batch_size': 128, 'num_HL': 2, 'latent_dim': 5, 'opt_lr': 0.0002922625792247796, 'opt_wd': 2.720792226022145e-06}"
2940,2ccf62c1,0.4901408450704225,"{'batch_size': 64, 'num_HL': 3, 'latent_dim': 9, 'opt_lr': 0.000419667667424977, 'opt_wd': 7.722281784786946e-06}"
3082,1c5ac48e,0.4262910798122066,"{'batch_size': 64, 'num_HL': 2, 'latent_dim': 3, 'opt_lr': 0.0001404234056185513, 'opt_wd': 5.565347660534767e-06}"
3102,8dd68e69,0.4133802816901409,"{'batch_size': 64, 'num_HL': 3, 'latent_dim': 2, 'opt_lr': 3.5669662205926406e-05, 'opt_wd': 9.886179975253969e-06}"
3377,02ab6947,0.5394366197183098,"{'batch_size': 128, 'num_HL': 3, 'latent_dim': 8, 'opt_lr': 0.000250673726576638, 'opt_wd': 6.973172515754796e-06}"
3381,8cb04570,0.5720657276995306,"{'batch_size': 64, 'num_HL': 3, 'latent_dim': 9, 'opt_lr': 0.0001975311310720042, 'opt_wd': 8.867520725032799e-06}"
3410,d95157a4,0.5288732394366198,"{'batch_size': 128, 'num_HL': 2, 'latent_dim': 7, 'opt_lr': 7.660324098802749e-05, 'opt_wd': 2.102504625980211e-06}"
3452,4607117e,0.4647887323943662,"{'batch_size': 64, 'num_HL': 5, 'latent_dim': 6, 'opt_lr': 0.00040000127151368744, 'opt_wd': 8.876465084490232e-06}"
3508,c7b5b2a5,0.5129107981220657,"{'batch_size': 128, 'num_HL': 2, 'latent_dim': 9, 'opt_lr': 0.0001615188837345278, 'opt_wd': 6.725577351061639e-06}"
3597,492fefcd,0.5194835680751175,"{'batch_size': 64, 'num_HL': 5, 'latent_dim': 5, 'opt_lr': 0.00032647173956036753, 'opt_wd': 8.808611657734533e-06}"
3615,55a260d7,0.4436619718309859,"{'batch_size': 128, 'num_HL': 7, 'latent_dim': 9, 'opt_lr': 8.388694304297906e-05, 'opt_wd': 9.424072700434267e-06}"
3782,a09301b2,0.504225352112676,"{'batch_size': 128, 'num_HL': 3, 'latent_dim': 9, 'opt_lr': 0.0006104708812175492, 'opt_wd': 4.935464084462424e-06}"
3887,9951817c,0.5615023474178404,"{'batch_size': 64, 'num_HL': 4, 'latent_dim': 9, 'opt_lr': 0.0001721652731459409, 'opt_wd': 9.216835695502333e-06}"
3901,1968dfd8,0.5215962441314554,"{'batch_size': 128, 'num_HL': 4, 'latent_dim': 8, 'opt_lr': 0.00011692941141842466, 'opt_wd': 8.151228869417627e-06}"
3968,ba5c088b,0.5136150234741784,"{'batch_size': 64, 'num_HL': 7, 'latent_dim': 6, 'opt_lr': 3.308860811735809e-05, 'opt_wd': 8.55046077752784e-06}"
