iteration,trial_id,score,config
542,f4acb2ad,0.5244131455399061,"{'batch_size': 64, 'num_HL': 7, 'latent_dim': 6, 'opt_lr': 2.5871186333509017e-05, 'opt_wd': 7.577826014283812e-06}"
615,6b4743a8,0.45915492957746473,"{'batch_size': 64, 'num_HL': 5, 'latent_dim': 9, 'opt_lr': 0.0004200247731297913, 'opt_wd': 6.131262996480148e-08}"
828,2d8a8d21,0.4929577464788732,"{'batch_size': 64, 'num_HL': 6, 'latent_dim': 16, 'opt_lr': 5.9921308207539925e-05, 'opt_wd': 5.609736326236374e-06}"
1269,2e25b2e5,0.4997652582159625,"{'batch_size': 128, 'num_HL': 3, 'latent_dim': 5, 'opt_lr': 0.0004025307290965942, 'opt_wd': 3.58806888663873e-06}"
1277,754d7b31,0.4507042253521127,"{'batch_size': 64, 'num_HL': 7, 'latent_dim': 5, 'opt_lr': 0.0001848210324368082, 'opt_wd': 9.101370764021352e-06}"
1607,889e47d6,0.4962441314553991,"{'batch_size': 64, 'num_HL': 4, 'latent_dim': 8, 'opt_lr': 3.447235097737389e-05, 'opt_wd': 5.50682262968199e-06}"
1645,64492f86,0.5211267605633803,"{'batch_size': 128, 'num_HL': 4, 'latent_dim': 17, 'opt_lr': 0.00017137181449350527, 'opt_wd': 1.268853989551152e-06}"
1766,c8b95f92,0.4356807511737089,"{'batch_size': 128, 'num_HL': 3, 'latent_dim': 4, 'opt_lr': 5.593165461635409e-05, 'opt_wd': 9.525542416923273e-08}"
1781,f77a0137,0.4619718309859155,"{'batch_size': 128, 'num_HL': 6, 'latent_dim': 5, 'opt_lr': 2.8046249579543466e-05, 'opt_wd': 5.46150059721653e-07}"
1820,0e9850fa,0.4535211267605634,"{'batch_size': 128, 'num_HL': 5, 'latent_dim': 3, 'opt_lr': 0.0005135638440145969, 'opt_wd': 3.045578147937166e-06}"
1938,0c189885,0.5711267605633802,"{'batch_size': 64, 'num_HL': 3, 'latent_dim': 16, 'opt_lr': 0.00033734938071087594, 'opt_wd': 7.623613374529457e-06}"
1999,05634ba1,0.4708920187793427,"{'batch_size': 64, 'num_HL': 5, 'latent_dim': 7, 'opt_lr': 1.731536410059412e-05, 'opt_wd': 4.3702124583217185e-06}"
2018,9e93156e,0.4234741784037559,"{'batch_size': 64, 'num_HL': 3, 'latent_dim': 3, 'opt_lr': 3.679387708895268e-05, 'opt_wd': 7.928525106041991e-06}"
2059,eb48c199,0.5030516431924883,"{'batch_size': 128, 'num_HL': 5, 'latent_dim': 4, 'opt_lr': 0.000114886312789878, 'opt_wd': 3.474726247860811e-06}"
2182,ce8dc5da,0.584507042253521,"{'batch_size': 64, 'num_HL': 2, 'latent_dim': 15, 'opt_lr': 0.0009716063560409881, 'opt_wd': 6.802157772488015e-06}"
2261,b926ecc8,0.45539906103286387,"{'batch_size': 64, 'num_HL': 6, 'latent_dim': 14, 'opt_lr': 0.00025668317099621795, 'opt_wd': 7.792967361842458e-06}"
2267,08919679,0.5868544600938967,"{'batch_size': 64, 'num_HL': 2, 'latent_dim': 16, 'opt_lr': 5.230118658055655e-05, 'opt_wd': 1.2652462564744228e-06}"
2305,30ac1b42,0.5779342723004695,"{'batch_size': 64, 'num_HL': 2, 'latent_dim': 10, 'opt_lr': 0.00094628881294257, 'opt_wd': 8.457063200298509e-06}"
2488,e0e46ed1,0.5629107981220657,"{'batch_size': 64, 'num_HL': 2, 'latent_dim': 15, 'opt_lr': 0.0009607785742869158, 'opt_wd': 4.552789085577302e-06}"
2499,8e39e31d,0.41291079812206577,"{'batch_size': 64, 'num_HL': 7, 'latent_dim': 6, 'opt_lr': 0.0006679706172334976, 'opt_wd': 9.447879947703358e-06}"
2529,ea8ebffd,0.4436619718309859,"{'batch_size': 128, 'num_HL': 7, 'latent_dim': 13, 'opt_lr': 0.00010189552701465137, 'opt_wd': 7.482782484176651e-06}"
2615,52b5192a,0.6070422535211267,"{'batch_size': 64, 'num_HL': 2, 'latent_dim': 18, 'opt_lr': 0.0006774168212316965, 'opt_wd': 9.94007365894986e-06}"
