iteration,trial_id,score,config
467,ff3f271c,-0.1,"{'batch_size': 64, 'num_HL': 5, 'latent_dim': 11, 'opt_lr': 0.0008936663043893911, 'opt_wd': 1.3441450487788653e-06, 'MC-red_dataset-0': 1, 'MC-red_dataset-1': 1, 'MC-red_dataset-2': 1, 'MC-red_dataset-3': 0, 'MC-red_dataset-4': 0, 'MC-red_dataset-5': 0}"
1703,09fa8ec4,0.5359154929577465,"{'batch_size': 128, 'num_HL': 3, 'latent_dim': 16, 'opt_lr': 0.0004924686131083682, 'opt_wd': 7.95146874044558e-06, 'MC-red_dataset-0': 1, 'MC-red_dataset-1': 0, 'MC-red_dataset-2': 1, 'MC-red_dataset-3': 0, 'MC-red_dataset-4': 0, 'MC-red_dataset-5': 0}"
1763,1dbc3d75,0.4460093896713615,"{'batch_size': 64, 'num_HL': 3, 'latent_dim': 2, 'opt_lr': 0.00026296834883263073, 'opt_wd': 3.609641525972175e-06, 'MC-red_dataset-0': 1, 'MC-red_dataset-1': 1, 'MC-red_dataset-2': 0, 'MC-red_dataset-3': 0, 'MC-red_dataset-4': 1, 'MC-red_dataset-5': 0}"
1980,20fcdace,0.5258215962441315,"{'batch_size': 64, 'num_HL': 6, 'latent_dim': 12, 'opt_lr': 0.0001705010385278687, 'opt_wd': 6.229322598220242e-06, 'MC-red_dataset-0': 0, 'MC-red_dataset-1': 0, 'MC-red_dataset-2': 0, 'MC-red_dataset-3': 0, 'MC-red_dataset-4': 0, 'MC-red_dataset-5': 1}"
3300,c7296e5e,0.4558685446009389,"{'batch_size': 128, 'num_HL': 6, 'latent_dim': 15, 'opt_lr': 8.653146787457865e-05, 'opt_wd': 5.506869936971117e-06, 'MC-red_dataset-0': 0, 'MC-red_dataset-1': 1, 'MC-red_dataset-2': 1, 'MC-red_dataset-3': 0, 'MC-red_dataset-4': 0, 'MC-red_dataset-5': 0}"
3325,ed0491ac,-0.1,"{'batch_size': 64, 'num_HL': 3, 'latent_dim': 3, 'opt_lr': 0.0004685277269756245, 'opt_wd': 2.7801138588389067e-07, 'MC-red_dataset-0': 1, 'MC-red_dataset-1': 1, 'MC-red_dataset-2': 1, 'MC-red_dataset-3': 0, 'MC-red_dataset-4': 0, 'MC-red_dataset-5': 0}"
4347,e75cc72c,0.48098591549295777,"{'batch_size': 64, 'num_HL': 4, 'latent_dim': 18, 'opt_lr': 0.0006879851440103755, 'opt_wd': 9.494754288362963e-06, 'MC-red_dataset-0': 0, 'MC-red_dataset-1': 0, 'MC-red_dataset-2': 1, 'MC-red_dataset-3': 0, 'MC-red_dataset-4': 1, 'MC-red_dataset-5': 1}"
4352,d5389e59,0.4640845070422535,"{'batch_size': 64, 'num_HL': 3, 'latent_dim': 3, 'opt_lr': 3.4611981564962215e-05, 'opt_wd': 4.329635576644202e-06, 'MC-red_dataset-0': 0, 'MC-red_dataset-1': 0, 'MC-red_dataset-2': 1, 'MC-red_dataset-3': 0, 'MC-red_dataset-4': 0, 'MC-red_dataset-5': 1}"
4555,35f78593,0.5690140845070422,"{'batch_size': 128, 'num_HL': 3, 'latent_dim': 14, 'opt_lr': 0.0007371425852092157, 'opt_wd': 5.192003575787939e-06, 'MC-red_dataset-0': 0, 'MC-red_dataset-1': 1, 'MC-red_dataset-2': 0, 'MC-red_dataset-3': 1, 'MC-red_dataset-4': 0, 'MC-red_dataset-5': 0}"
4880,9bacabfc,0.44131455399061037,"{'batch_size': 128, 'num_HL': 4, 'latent_dim': 2, 'opt_lr': 0.0003204535804009144, 'opt_wd': 3.4076419018304163e-06, 'MC-red_dataset-0': 1, 'MC-red_dataset-1': 1, 'MC-red_dataset-2': 1, 'MC-red_dataset-3': 0, 'MC-red_dataset-4': 1, 'MC-red_dataset-5': 1}"
6211,8fe672f4,0.5678403755868544,"{'batch_size': 64, 'num_HL': 2, 'latent_dim': 11, 'opt_lr': 6.46356417402335e-05, 'opt_wd': 2.310866049395677e-07, 'MC-red_dataset-0': 0, 'MC-red_dataset-1': 1, 'MC-red_dataset-2': 0, 'MC-red_dataset-3': 0, 'MC-red_dataset-4': 1, 'MC-red_dataset-5': 0}"
7285,30957bab,0.5448356807511737,"{'batch_size': 128, 'num_HL': 5, 'latent_dim': 16, 'opt_lr': 7.157581935990389e-05, 'opt_wd': 9.478329835298456e-06, 'MC-red_dataset-0': 1, 'MC-red_dataset-1': 0, 'MC-red_dataset-2': 0, 'MC-red_dataset-3': 1, 'MC-red_dataset-4': 0, 'MC-red_dataset-5': 0}"
7467,689bcc0b,0.2699530516431925,"{'batch_size': 128, 'num_HL': 8, 'latent_dim': 17, 'opt_lr': 4.428407475970266e-05, 'opt_wd': 7.255901580670333e-07, 'MC-red_dataset-0': 0, 'MC-red_dataset-1': 0, 'MC-red_dataset-2': 1, 'MC-red_dataset-3': 0, 'MC-red_dataset-4': 1, 'MC-red_dataset-5': 0}"
7742,616d2292,0.5147887323943662,"{'batch_size': 128, 'num_HL': 5, 'latent_dim': 3, 'opt_lr': 0.00015283705543736115, 'opt_wd': 5.553750818585791e-06, 'MC-red_dataset-0': 0, 'MC-red_dataset-1': 0, 'MC-red_dataset-2': 1, 'MC-red_dataset-3': 1, 'MC-red_dataset-4': 0, 'MC-red_dataset-5': 0}"
7937,0c3c0462,0.5234741784037559,"{'batch_size': 128, 'num_HL': 8, 'latent_dim': 15, 'opt_lr': 1.1031612903051579e-05, 'opt_wd': 6.553287699199015e-06, 'MC-red_dataset-0': 0, 'MC-red_dataset-1': 0, 'MC-red_dataset-2': 1, 'MC-red_dataset-3': 1, 'MC-red_dataset-4': 0, 'MC-red_dataset-5': 1}"
9569,8c9746e9,0.5762910798122065,"{'batch_size': 64, 'num_HL': 2, 'latent_dim': 12, 'opt_lr': 0.00012784730487334247, 'opt_wd': 3.61128046038202e-06, 'MC-red_dataset-0': 0, 'MC-red_dataset-1': 1, 'MC-red_dataset-2': 0, 'MC-red_dataset-3': 1, 'MC-red_dataset-4': 0, 'MC-red_dataset-5': 0}"
9572,057142a1,0.5530516431924883,"{'batch_size': 64, 'num_HL': 2, 'latent_dim': 8, 'opt_lr': 0.00011580049259637375, 'opt_wd': 4.672059048643961e-06, 'MC-red_dataset-0': 0, 'MC-red_dataset-1': 1, 'MC-red_dataset-2': 0, 'MC-red_dataset-3': 1, 'MC-red_dataset-4': 1, 'MC-red_dataset-5': 0}"
9626,9207b78c,0.4990610328638498,"{'batch_size': 64, 'num_HL': 2, 'latent_dim': 7, 'opt_lr': 6.125938628837023e-05, 'opt_wd': 2.519533698503598e-06, 'MC-red_dataset-0': 0, 'MC-red_dataset-1': 1, 'MC-red_dataset-2': 0, 'MC-red_dataset-3': 1, 'MC-red_dataset-4': 0, 'MC-red_dataset-5': 0}"
9743,02a0bc78,0.5589201877934272,"{'batch_size': 64, 'num_HL': 6, 'latent_dim': 10, 'opt_lr': 1.7258050048171878e-05, 'opt_wd': 7.710207999157375e-06, 'MC-red_dataset-0': 0, 'MC-red_dataset-1': 0, 'MC-red_dataset-2': 1, 'MC-red_dataset-3': 1, 'MC-red_dataset-4': 1, 'MC-red_dataset-5': 1}"
9777,333b1ff3,0.16666666666666669,"{'batch_size': 128, 'num_HL': 7, 'latent_dim': 17, 'opt_lr': 0.0002433558960733632, 'opt_wd': 8.922186846373758e-06, 'MC-red_dataset-0': 0, 'MC-red_dataset-1': 1, 'MC-red_dataset-2': 1, 'MC-red_dataset-3': 1, 'MC-red_dataset-4': 1, 'MC-red_dataset-5': 1}"
10556,c398f6bb,0.6227699530516432,"{'batch_size': 64, 'num_HL': 2, 'latent_dim': 13, 'opt_lr': 0.000677872241724694, 'opt_wd': 2.7981790996754497e-06, 'MC-red_dataset-0': 0, 'MC-red_dataset-1': 1, 'MC-red_dataset-2': 0, 'MC-red_dataset-3': 1, 'MC-red_dataset-4': 0, 'MC-red_dataset-5': 0}"
11649,3a602790,0.5910798122065728,"{'batch_size': 128, 'num_HL': 2, 'latent_dim': 13, 'opt_lr': 0.0009333293602742872, 'opt_wd': 3.963549105616975e-06, 'MC-red_dataset-0': 0, 'MC-red_dataset-1': 1, 'MC-red_dataset-2': 0, 'MC-red_dataset-3': 1, 'MC-red_dataset-4': 0, 'MC-red_dataset-5': 0}"
11665,55b4a46a,0.5922535211267606,"{'batch_size': 64, 'num_HL': 4, 'latent_dim': 10, 'opt_lr': 0.0001672276696375119, 'opt_wd': 5.157780924825108e-06, 'MC-red_dataset-0': 0, 'MC-red_dataset-1': 1, 'MC-red_dataset-2': 0, 'MC-red_dataset-3': 1, 'MC-red_dataset-4': 0, 'MC-red_dataset-5': 0}"
11678,49a88587,0.5842723004694835,"{'batch_size': 64, 'num_HL': 2, 'latent_dim': 13, 'opt_lr': 5.0558344303108145e-05, 'opt_wd': 2.1220555524911966e-06, 'MC-red_dataset-0': 0, 'MC-red_dataset-1': 1, 'MC-red_dataset-2': 0, 'MC-red_dataset-3': 1, 'MC-red_dataset-4': 1, 'MC-red_dataset-5': 0}"
12430,5b5599ec,0.4894366197183099,"{'batch_size': 128, 'num_HL': 3, 'latent_dim': 5, 'opt_lr': 0.0004200922844339255, 'opt_wd': 3.1479876639707802e-06, 'MC-red_dataset-0': 0, 'MC-red_dataset-1': 1, 'MC-red_dataset-2': 0, 'MC-red_dataset-3': 1, 'MC-red_dataset-4': 0, 'MC-red_dataset-5': 0}"
12431,5023a25f,0.6053990610328638,"{'batch_size': 64, 'num_HL': 2, 'latent_dim': 12, 'opt_lr': 0.0001211481565402601, 'opt_wd': 2.899134307913466e-06, 'MC-red_dataset-0': 0, 'MC-red_dataset-1': 1, 'MC-red_dataset-2': 0, 'MC-red_dataset-3': 1, 'MC-red_dataset-4': 0, 'MC-red_dataset-5': 0}"
12433,b4821315,0.5448356807511738,"{'batch_size': 64, 'num_HL': 2, 'latent_dim': 13, 'opt_lr': 0.0008942491714477147, 'opt_wd': 4.289162648041428e-06, 'MC-red_dataset-0': 0, 'MC-red_dataset-1': 1, 'MC-red_dataset-2': 0, 'MC-red_dataset-3': 1, 'MC-red_dataset-4': 0, 'MC-red_dataset-5': 1}"
12436,d73d2db9,0.4507042253521127,"{'batch_size': 128, 'num_HL': 7, 'latent_dim': 11, 'opt_lr': 0.0003145978196501376, 'opt_wd': 7.110876163858391e-06, 'MC-red_dataset-0': 0, 'MC-red_dataset-1': 1, 'MC-red_dataset-2': 0, 'MC-red_dataset-3': 1, 'MC-red_dataset-4': 0, 'MC-red_dataset-5': 0}"
12438,79bd10a6,0.5603286384976526,"{'batch_size': 64, 'num_HL': 4, 'latent_dim': 9, 'opt_lr': 0.00019725125575783555, 'opt_wd': 1.4614550954052879e-06, 'MC-red_dataset-0': 0, 'MC-red_dataset-1': 1, 'MC-red_dataset-2': 0, 'MC-red_dataset-3': 1, 'MC-red_dataset-4': 0, 'MC-red_dataset-5': 0}"
13674,52eb766b,0.4821596244131455,"{'batch_size': 64, 'num_HL': 5, 'latent_dim': 7, 'opt_lr': 0.0005591533116217738, 'opt_wd': 5.018160956666913e-06, 'MC-red_dataset-0': 0, 'MC-red_dataset-1': 1, 'MC-red_dataset-2': 0, 'MC-red_dataset-3': 1, 'MC-red_dataset-4': 0, 'MC-red_dataset-5': 0}"
13720,3a9f9f0d,0.45539906103286387,"{'batch_size': 64, 'num_HL': 6, 'latent_dim': 5, 'opt_lr': 0.000355804702257568, 'opt_wd': 8.063693934804334e-06, 'MC-red_dataset-0': 0, 'MC-red_dataset-1': 1, 'MC-red_dataset-2': 0, 'MC-red_dataset-3': 1, 'MC-red_dataset-4': 0, 'MC-red_dataset-5': 0}"
13721,fc3d97b4,0.5633802816901408,"{'batch_size': 64, 'num_HL': 3, 'latent_dim': 12, 'opt_lr': 0.00025715314791867723, 'opt_wd': 2.8956465241175958e-06, 'MC-red_dataset-0': 0, 'MC-red_dataset-1': 1, 'MC-red_dataset-2': 0, 'MC-red_dataset-3': 1, 'MC-red_dataset-4': 0, 'MC-red_dataset-5': 0}"
14094,e766b494,0.5232394366197183,"{'batch_size': 64, 'num_HL': 4, 'latent_dim': 9, 'opt_lr': 2.0787760968257133e-05, 'opt_wd': 7.5211095252606824e-06, 'MC-red_dataset-0': 0, 'MC-red_dataset-1': 1, 'MC-red_dataset-2': 0, 'MC-red_dataset-3': 1, 'MC-red_dataset-4': 0, 'MC-red_dataset-5': 0}"
14497,da9b1923,0.16666666666666669,"{'batch_size': 64, 'num_HL': 7, 'latent_dim': 10, 'opt_lr': 0.00020067188796717508, 'opt_wd': 5.8501781171328745e-06, 'MC-red_dataset-0': 0, 'MC-red_dataset-1': 1, 'MC-red_dataset-2': 0, 'MC-red_dataset-3': 1, 'MC-red_dataset-4': 0, 'MC-red_dataset-5': 1}"
14714,8b9889f6,0.5971830985915492,"{'batch_size': 64, 'num_HL': 3, 'latent_dim': 12, 'opt_lr': 9.176000484756933e-05, 'opt_wd': 8.592889434938204e-07, 'MC-red_dataset-0': 0, 'MC-red_dataset-1': 1, 'MC-red_dataset-2': 0, 'MC-red_dataset-3': 1, 'MC-red_dataset-4': 0, 'MC-red_dataset-5': 0}"
14763,850ba852,0.55,"{'batch_size': 64, 'num_HL': 3, 'latent_dim': 11, 'opt_lr': 0.0006644618209893559, 'opt_wd': 1.641804468398535e-06, 'MC-red_dataset-0': 0, 'MC-red_dataset-1': 1, 'MC-red_dataset-2': 0, 'MC-red_dataset-3': 0, 'MC-red_dataset-4': 0, 'MC-red_dataset-5': 1}"
16649,44b22a79,0.4884976525821596,"{'batch_size': 64, 'num_HL': 5, 'latent_dim': 8, 'opt_lr': 0.00021768915048439152, 'opt_wd': 4.309424310038622e-06, 'MC-red_dataset-0': 1, 'MC-red_dataset-1': 1, 'MC-red_dataset-2': 0, 'MC-red_dataset-3': 1, 'MC-red_dataset-4': 0, 'MC-red_dataset-5': 0}"
16812,7b1a090e,0.6016431924882628,"{'batch_size': 128, 'num_HL': 4, 'latent_dim': 14, 'opt_lr': 2.586450171354167e-05, 'opt_wd': 6.419958191759048e-06, 'MC-red_dataset-0': 0, 'MC-red_dataset-1': 1, 'MC-red_dataset-2': 1, 'MC-red_dataset-3': 0, 'MC-red_dataset-4': 1, 'MC-red_dataset-5': 0}"
17313,cabb1e08,0.5861502347417841,"{'batch_size': 64, 'num_HL': 2, 'latent_dim': 14, 'opt_lr': 0.00011085986323146835, 'opt_wd': 2.0951322895153257e-06, 'MC-red_dataset-0': 0, 'MC-red_dataset-1': 0, 'MC-red_dataset-2': 0, 'MC-red_dataset-3': 1, 'MC-red_dataset-4': 0, 'MC-red_dataset-5': 1}"
17315,c2e56c14,0.4413145539906103,"{'batch_size': 64, 'num_HL': 7, 'latent_dim': 15, 'opt_lr': 7.786601506726919e-05, 'opt_wd': 4.585050417776075e-08, 'MC-red_dataset-0': 1, 'MC-red_dataset-1': 1, 'MC-red_dataset-2': 0, 'MC-red_dataset-3': 1, 'MC-red_dataset-4': 0, 'MC-red_dataset-5': 0}"
17618,b4392bd2,0.5227699530516433,"{'batch_size': 64, 'num_HL': 4, 'latent_dim': 6, 'opt_lr': 0.0003883690557925076, 'opt_wd': 1.083226326927125e-06, 'MC-red_dataset-0': 0, 'MC-red_dataset-1': 0, 'MC-red_dataset-2': 0, 'MC-red_dataset-3': 1, 'MC-red_dataset-4': 0, 'MC-red_dataset-5': 0}"
18009,67d43f63,0.5312206572769953,"{'batch_size': 64, 'num_HL': 2, 'latent_dim': 9, 'opt_lr': 3.8897057610630815e-05, 'opt_wd': 2.4922392345387907e-06, 'MC-red_dataset-0': 1, 'MC-red_dataset-1': 1, 'MC-red_dataset-2': 0, 'MC-red_dataset-3': 1, 'MC-red_dataset-4': 0, 'MC-red_dataset-5': 0}"
18189,6bcc9e6e,0.5093896713615024,"{'batch_size': 64, 'num_HL': 3, 'latent_dim': 5, 'opt_lr': 0.0001420967302020672, 'opt_wd': 3.2304090873994896e-06, 'MC-red_dataset-0': 0, 'MC-red_dataset-1': 1, 'MC-red_dataset-2': 1, 'MC-red_dataset-3': 0, 'MC-red_dataset-4': 1, 'MC-red_dataset-5': 0}"
18996,7676c72f,0.6307511737089202,"{'batch_size': 64, 'num_HL': 3, 'latent_dim': 17, 'opt_lr': 0.0005278279244426169, 'opt_wd': 1.8766756577903638e-06, 'MC-red_dataset-0': 1, 'MC-red_dataset-1': 1, 'MC-red_dataset-2': 0, 'MC-red_dataset-3': 0, 'MC-red_dataset-4': 0, 'MC-red_dataset-5': 0}"
19065,0b283153,0.489906103286385,"{'batch_size': 128, 'num_HL': 6, 'latent_dim': 16, 'opt_lr': 3.2027334181332045e-05, 'opt_wd': 8.960004056877329e-06, 'MC-red_dataset-0': 1, 'MC-red_dataset-1': 0, 'MC-red_dataset-2': 1, 'MC-red_dataset-3': 1, 'MC-red_dataset-4': 1, 'MC-red_dataset-5': 1}"
