iteration,trial_id,score,config
699,0bcd812e,0.16666666666666669,"{'batch_size': 64, 'num_HL': 8, 'latent_dim': 5, 'opt_lr': 0.00013205539039543273, 'opt_wd': 7.2971656434671965e-06}"
1071,02f572b1,0.5434735706580367,"{'batch_size': 64, 'num_HL': 6, 'latent_dim': 6, 'opt_lr': 0.0006355922561972488, 'opt_wd': 6.8713011100732275e-06}"
1927,4efa21d3,0.5474649406688241,"{'batch_size': 64, 'num_HL': 3, 'latent_dim': 6, 'opt_lr': 0.00011380393718733365, 'opt_wd': 8.907285305749708e-06}"
2353,0763c7ef,0.537378640776699,"{'batch_size': 128, 'num_HL': 6, 'latent_dim': 7, 'opt_lr': 8.925832235294644e-05, 'opt_wd': 1.3079377811661575e-06}"
2988,080b95dd,0.48058252427184467,"{'batch_size': 64, 'num_HL': 5, 'latent_dim': 3, 'opt_lr': 0.0003809693592266844, 'opt_wd': 2.9497771413195276e-06}"
3143,47b8a1ba,0.5318230852211435,"{'batch_size': 64, 'num_HL': 6, 'latent_dim': 7, 'opt_lr': 7.818769406375374e-05, 'opt_wd': 7.919508021372782e-06}"
3803,2c4f7d08,0.5297734627831716,"{'batch_size': 64, 'num_HL': 4, 'latent_dim': 3, 'opt_lr': 5.384169284675931e-05, 'opt_wd': 6.419728882991807e-06}"
3906,0105f2a6,0.5552319309600863,"{'batch_size': 64, 'num_HL': 4, 'latent_dim': 5, 'opt_lr': 0.0003318542640714416, 'opt_wd': 4.3421638045712976e-06}"
4987,ec528332,0.5776699029126213,"{'batch_size': 64, 'num_HL': 3, 'latent_dim': 6, 'opt_lr': 8.46186920227356e-05, 'opt_wd': 9.1448304639614e-06}"
4991,84514ecb,0.16666666666666669,"{'batch_size': 128, 'num_HL': 8, 'latent_dim': 4, 'opt_lr': 0.00027506568339658055, 'opt_wd': 8.526807975607157e-06}"
5153,18b263e7,0.571898597626753,"{'batch_size': 128, 'num_HL': 6, 'latent_dim': 5, 'opt_lr': 0.0007778976336167431, 'opt_wd': 3.6507297320867873e-06}"
5333,1db2761e,0.5307443365695793,"{'batch_size': 64, 'num_HL': 7, 'latent_dim': 8, 'opt_lr': 0.0002672197539608092, 'opt_wd': 1.0323729814382277e-06}"
5429,c8537e48,0.5510787486515643,"{'batch_size': 128, 'num_HL': 6, 'latent_dim': 6, 'opt_lr': 0.0006865514206642442, 'opt_wd': 3.8045616037609766e-06}"
6009,dcd72138,0.4803128371089536,"{'batch_size': 128, 'num_HL': 7, 'latent_dim': 4, 'opt_lr': 0.000179388983451721, 'opt_wd': 5.095605719924788e-06}"
7782,78d11940,0.5251887810140239,"{'batch_size': 128, 'num_HL': 2, 'latent_dim': 3, 'opt_lr': 0.000954086222437105, 'opt_wd': 5.649505273852073e-06}"
7853,6089003e,0.5167206040992449,"{'batch_size': 64, 'num_HL': 4, 'latent_dim': 2, 'opt_lr': 1.5378308452860063e-05, 'opt_wd': 6.930655109213529e-06}"
8590,ca650e4e,0.5702265372168285,"{'batch_size': 64, 'num_HL': 4, 'latent_dim': 7, 'opt_lr': 1.9357058493199614e-05, 'opt_wd': 9.38805499529803e-06}"
9702,ab2d8d3c,0.5940129449838187,"{'batch_size': 128, 'num_HL': 3, 'latent_dim': 5, 'opt_lr': 4.697561270196132e-05, 'opt_wd': 3.5499635779674736e-06}"
10507,3e6f44be,0.48813376483279397,"{'batch_size': 64, 'num_HL': 7, 'latent_dim': 7, 'opt_lr': 7.10997403547825e-05, 'opt_wd': 4.856092758817337e-07}"
