iteration,trial_id,score,config
2016,72f4f677,-0.1,"{'batch_size': 128, 'num_HL': 3, 'latent_dim': 3, 'opt_lr': 0.00018567846969969352, 'opt_wd': 1.011044715036895e-06}"
2090,d510ddac,-0.1,"{'batch_size': 64, 'num_HL': 6, 'latent_dim': 7, 'opt_lr': 0.00011093821942726561, 'opt_wd': 2.2867143005069516e-06}"
2495,63d6a377,-0.1,"{'batch_size': 64, 'num_HL': 7, 'latent_dim': 17, 'opt_lr': 0.00012707451433865768, 'opt_wd': 1.9158290120026645e-06}"
2516,c9b31023,-0.1,"{'batch_size': 128, 'num_HL': 3, 'latent_dim': 8, 'opt_lr': 0.00023499973428913612, 'opt_wd': 1.78845192686274e-06}"
2774,0e1cd118,-0.1,"{'batch_size': 64, 'num_HL': 6, 'latent_dim': 15, 'opt_lr': 0.0001028153819661546, 'opt_wd': 3.5816940215095773e-06}"
2838,1e9946fa,-0.1,"{'batch_size': 64, 'num_HL': 7, 'latent_dim': 5, 'opt_lr': 0.00016051030941629008, 'opt_wd': 2.031499391130969e-06}"
3366,669023f7,-0.1,"{'batch_size': 64, 'num_HL': 3, 'latent_dim': 7, 'opt_lr': 0.00036589752459798735, 'opt_wd': 4.383164698019663e-06}"
3367,4d2e4fb5,-0.1,"{'batch_size': 64, 'num_HL': 5, 'latent_dim': 15, 'opt_lr': 0.0002941116168382974, 'opt_wd': 1.3882126421307641e-06}"
3368,dbf0d389,-0.1,"{'batch_size': 64, 'num_HL': 4, 'latent_dim': 16, 'opt_lr': 5.678422819016074e-05, 'opt_wd': 9.05354241690467e-06}"
3370,f8358995,-0.1,"{'batch_size': 128, 'num_HL': 6, 'latent_dim': 9, 'opt_lr': 6.109654812102868e-05, 'opt_wd': 4.874251702023444e-06}"
3371,11737eac,-0.1,"{'batch_size': 128, 'num_HL': 3, 'latent_dim': 5, 'opt_lr': 0.0005269635309455412, 'opt_wd': 6.603686161217723e-06}"
3373,4bda5d0a,-0.1,"{'batch_size': 128, 'num_HL': 3, 'latent_dim': 10, 'opt_lr': 0.0004642257148186754, 'opt_wd': 1.2676127043650988e-06}"
3377,a54d8c89,-0.1,"{'batch_size': 64, 'num_HL': 5, 'latent_dim': 13, 'opt_lr': 4.1025260110006824e-05, 'opt_wd': 1.0228201075748744e-06}"
4648,98be9e72,-0.1,"{'batch_size': 64, 'num_HL': 6, 'latent_dim': 12, 'opt_lr': 0.0009711401000338865, 'opt_wd': 3.131841473660432e-06}"
5052,f48316de,-0.1,"{'batch_size': 64, 'num_HL': 3, 'latent_dim': 3, 'opt_lr': 0.0002474454169719745, 'opt_wd': 1.8322900902564012e-06}"
5098,522d5258,-0.1,"{'batch_size': 128, 'num_HL': 5, 'latent_dim': 15, 'opt_lr': 3.500305799956839e-05, 'opt_wd': 2.4665546808259767e-06}"
5163,15fbfa40,-0.1,"{'batch_size': 64, 'num_HL': 8, 'latent_dim': 17, 'opt_lr': 0.000844833255614172, 'opt_wd': 6.231705391724282e-08}"
5416,ecd23036,-0.1,"{'batch_size': 64, 'num_HL': 5, 'latent_dim': 14, 'opt_lr': 0.0001428216086552787, 'opt_wd': 7.987496975007996e-06}"
5570,cd32f11b,-0.1,"{'batch_size': 64, 'num_HL': 8, 'latent_dim': 11, 'opt_lr': 2.2820785422312578e-05, 'opt_wd': 2.981146227205602e-06}"
5733,1c7b5831,-0.1,"{'batch_size': 64, 'num_HL': 6, 'latent_dim': 6, 'opt_lr': 0.0007003435516647962, 'opt_wd': 3.5116608261682844e-06}"
5923,28964f77,-0.1,"{'batch_size': 64, 'num_HL': 4, 'latent_dim': 11, 'opt_lr': 0.000320817299188206, 'opt_wd': 1.2255954399289858e-07}"
6015,c500e4b5,-0.1,"{'batch_size': 64, 'num_HL': 8, 'latent_dim': 10, 'opt_lr': 2.757901297614184e-05, 'opt_wd': 2.708815391724711e-06}"
6083,549b4cf7,-0.1,"{'batch_size': 64, 'num_HL': 8, 'latent_dim': 4, 'opt_lr': 6.600563865669314e-05, 'opt_wd': 5.312699646162848e-06}"
6099,aa4f577b,-0.1,"{'batch_size': 64, 'num_HL': 6, 'latent_dim': 12, 'opt_lr': 0.0008837544061718686, 'opt_wd': 5.914959683899072e-06}"
6116,69c95f20,-0.1,"{'batch_size': 64, 'num_HL': 3, 'latent_dim': 5, 'opt_lr': 9.02185734797622e-05, 'opt_wd': 6.470761159093156e-06}"
6636,581c5829,-0.1,"{'batch_size': 64, 'num_HL': 8, 'latent_dim': 3, 'opt_lr': 7.36113963078911e-05, 'opt_wd': 8.576073934003587e-06}"
7155,ca301b72,-0.1,"{'batch_size': 64, 'num_HL': 8, 'latent_dim': 11, 'opt_lr': 1.1451699969222352e-05, 'opt_wd': 4.0255732313987425e-06}"
7437,04a3141d,-0.1,"{'batch_size': 64, 'num_HL': 6, 'latent_dim': 6, 'opt_lr': 0.0005451721384801829, 'opt_wd': 3.615905470011235e-06}"
8170,3b830f52,-0.1,"{'batch_size': 128, 'num_HL': 7, 'latent_dim': 14, 'opt_lr': 3.9796040886041944e-05, 'opt_wd': 9.974530549187126e-06}"
8372,4d35d2b3,-0.1,"{'batch_size': 64, 'num_HL': 4, 'latent_dim': 9, 'opt_lr': 8.561679780150325e-05, 'opt_wd': 5.243423014886282e-07}"
8484,050a5f2e,-0.1,"{'batch_size': 64, 'num_HL': 2, 'latent_dim': 9, 'opt_lr': 0.00011707432671617646, 'opt_wd': 2.602833602462416e-06}"
8636,cce1f546,-0.1,"{'batch_size': 64, 'num_HL': 8, 'latent_dim': 3, 'opt_lr': 0.00021465031185097943, 'opt_wd': 8.289158267352359e-06}"
8815,325d42bb,-0.1,"{'batch_size': 128, 'num_HL': 7, 'latent_dim': 4, 'opt_lr': 7.457892650586582e-05, 'opt_wd': 9.339413078690748e-06}"
8968,2537d5dd,-0.1,"{'batch_size': 64, 'num_HL': 7, 'latent_dim': 2, 'opt_lr': 6.359733834588738e-05, 'opt_wd': 5.7009119531106974e-06}"
9033,79647e13,-0.1,"{'batch_size': 64, 'num_HL': 7, 'latent_dim': 4, 'opt_lr': 4.895482557847422e-05, 'opt_wd': 5.485334244806109e-06}"
9393,b2bfe0c7,-0.1,"{'batch_size': 128, 'num_HL': 5, 'latent_dim': 2, 'opt_lr': 0.00010688561582038505, 'opt_wd': 9.870531161694242e-06}"
9412,b9cf55ef,-0.1,"{'batch_size': 64, 'num_HL': 7, 'latent_dim': 8, 'opt_lr': 0.00017939184039247625, 'opt_wd': 4.218059659071317e-06}"
10572,e0780bf3,-0.1,"{'batch_size': 64, 'num_HL': 6, 'latent_dim': 6, 'opt_lr': 0.0006866352222851857, 'opt_wd': 2.211158284038036e-06}"
10633,42facd77,-0.1,"{'batch_size': 64, 'num_HL': 2, 'latent_dim': 6, 'opt_lr': 0.00012714446077052052, 'opt_wd': 8.610327672839241e-06}"
10736,7390aa18,-0.1,"{'batch_size': 64, 'num_HL': 4, 'latent_dim': 17, 'opt_lr': 0.0004173969080184397, 'opt_wd': 1.9410661017381584e-07}"
10816,496678f6,-0.1,"{'batch_size': 128, 'num_HL': 7, 'latent_dim': 8, 'opt_lr': 1.3503810880359679e-05, 'opt_wd': 7.261406148952983e-06}"
10820,107dfacf,-0.1,"{'batch_size': 64, 'num_HL': 6, 'latent_dim': 7, 'opt_lr': 2.054971665965554e-05, 'opt_wd': 3.940190730305276e-06}"
10847,f4dda330,-0.1,"{'batch_size': 64, 'num_HL': 5, 'latent_dim': 18, 'opt_lr': 0.0001570175805335888, 'opt_wd': 7.396459193967897e-06}"
11801,8da0c203,-0.1,"{'batch_size': 128, 'num_HL': 6, 'latent_dim': 12, 'opt_lr': 0.000665875266048544, 'opt_wd': 3.219913334860947e-06}"
12225,3ad9848b,-0.1,"{'batch_size': 128, 'num_HL': 4, 'latent_dim': 8, 'opt_lr': 0.00026124215843378987, 'opt_wd': 7.00876286103178e-07}"
12596,a2b7a63b,-0.1,"{'batch_size': 64, 'num_HL': 5, 'latent_dim': 7, 'opt_lr': 0.00021297539641289365, 'opt_wd': 2.175294832930703e-06}"
13333,451700bd,-0.1,"{'batch_size': 64, 'num_HL': 6, 'latent_dim': 16, 'opt_lr': 2.971729141790712e-05, 'opt_wd': 4.793355815482309e-06}"
13544,a25b76a0,-0.1,"{'batch_size': 64, 'num_HL': 6, 'latent_dim': 13, 'opt_lr': 0.0009931093398847166, 'opt_wd': 5.8416308074869226e-06}"
13545,d020c740,-0.1,"{'batch_size': 128, 'num_HL': 4, 'latent_dim': 11, 'opt_lr': 0.0003211546635897746, 'opt_wd': 1.2253091229281173e-06}"
14183,1006ac06,-0.1,"{'batch_size': 64, 'num_HL': 7, 'latent_dim': 5, 'opt_lr': 4.6182482140672126e-05, 'opt_wd': 1.6031575750172351e-06}"
14293,f25144e5,-0.1,"{'batch_size': 64, 'num_HL': 5, 'latent_dim': 12, 'opt_lr': 0.0008502764609825345, 'opt_wd': 6.799913127219383e-06}"
