iteration,trial_id,score,config
1483,f089bc2a,0.638728813559322,"{'batch_size': 128, 'num_HL': 7, 'latent_dim': 15, 'opt_lr': 5.765995870546596e-05, 'opt_wd': 8.850129178830706e-06}"
1485,278f61cf,0.5805084745762712,"{'batch_size': 64, 'num_HL': 7, 'latent_dim': 10, 'opt_lr': 0.0009986364756698796, 'opt_wd': 7.255062419840675e-07}"
1810,0ef33210,0.6404237288135594,"{'batch_size': 64, 'num_HL': 6, 'latent_dim': 3, 'opt_lr': 0.0002391378046704548, 'opt_wd': 5.3695920749923525e-06}"
2038,3c523d84,0.2,"{'batch_size': 64, 'num_HL': 8, 'latent_dim': 11, 'opt_lr': 0.00026007777389723443, 'opt_wd': 1.4346460169065667e-06}"
2966,92e68072,0.6101694915254237,"{'batch_size': 128, 'num_HL': 6, 'latent_dim': 14, 'opt_lr': 0.00023126029801422856, 'opt_wd': 9.126422416736319e-06}"
3020,e4e92b0f,0.7190677966101695,"{'batch_size': 128, 'num_HL': 3, 'latent_dim': 17, 'opt_lr': 0.00017781238317724342, 'opt_wd': 3.1017538740271134e-06}"
3218,d918aaec,0.6700847457627119,"{'batch_size': 64, 'num_HL': 5, 'latent_dim': 14, 'opt_lr': 0.0009022367909481956, 'opt_wd': 5.322560199766656e-06}"
3445,98e839ba,0.2,"{'batch_size': 128, 'num_HL': 7, 'latent_dim': 4, 'opt_lr': 0.0007401971982232458, 'opt_wd': 5.1507852769254295e-06}"
3699,7f5d37a7,0.6095762711864406,"{'batch_size': 128, 'num_HL': 6, 'latent_dim': 6, 'opt_lr': 0.0005659394876808879, 'opt_wd': 3.212180634814115e-06}"
3956,0fe7e8fe,0.6715254237288135,"{'batch_size': 128, 'num_HL': 4, 'latent_dim': 6, 'opt_lr': 0.0001650976398193441, 'opt_wd': 8.223726066164166e-06}"
4490,cc31e36c,0.6628813559322034,"{'batch_size': 128, 'num_HL': 5, 'latent_dim': 14, 'opt_lr': 6.034475723327783e-05, 'opt_wd': 6.133254877902066e-06}"
5830,2b8215ba,0.7023728813559322,"{'batch_size': 64, 'num_HL': 4, 'latent_dim': 13, 'opt_lr': 7.563769791878076e-05, 'opt_wd': 9.508538262549044e-06}"
6260,291fc442,0.6249152542372881,"{'batch_size': 128, 'num_HL': 6, 'latent_dim': 8, 'opt_lr': 0.0004069467718725485, 'opt_wd': 2.1238565412362454e-06}"
7622,389ea8d5,0.6226271186440677,"{'batch_size': 128, 'num_HL': 5, 'latent_dim': 4, 'opt_lr': 4.3594211176046e-05, 'opt_wd': 7.165769726275417e-06}"
7987,aa9776e2,0.7365254237288136,"{'batch_size': 128, 'num_HL': 2, 'latent_dim': 18, 'opt_lr': 0.00013198373120520393, 'opt_wd': 7.621753008691506e-06}"
8755,c208664f,0.5830508474576271,"{'batch_size': 128, 'num_HL': 8, 'latent_dim': 9, 'opt_lr': 1.660963521555578e-05, 'opt_wd': 1.366315167123633e-06}"
9371,4094b2d7,0.7144915254237288,"{'batch_size': 64, 'num_HL': 3, 'latent_dim': 18, 'opt_lr': 8.056456942349623e-05, 'opt_wd': 3.3943921053828298e-06}"
9497,ec857d59,0.6755084745762712,"{'batch_size': 64, 'num_HL': 3, 'latent_dim': 7, 'opt_lr': 1.4441478874207853e-05, 'opt_wd': 4.032960001657994e-06}"
9993,814d5081,0.6997457627118643,"{'batch_size': 64, 'num_HL': 3, 'latent_dim': 12, 'opt_lr': 0.00010692877768770688, 'opt_wd': 2.4032862476313404e-08}"
10796,4dec0ce4,0.6288983050847458,"{'batch_size': 128, 'num_HL': 5, 'latent_dim': 14, 'opt_lr': 3.542443213005552e-05, 'opt_wd': 9.919674365467052e-06}"
10948,9cfd8dad,0.7524576271186441,"{'batch_size': 128, 'num_HL': 2, 'latent_dim': 18, 'opt_lr': 0.000392435975662315, 'opt_wd': 4.098923424123862e-06}"
12612,087fa354,0.7050847457627119,"{'batch_size': 128, 'num_HL': 2, 'latent_dim': 12, 'opt_lr': 0.0005903288356813636, 'opt_wd': 5.888334907055337e-06}"
12661,b204d011,0.7161016949152543,"{'batch_size': 128, 'num_HL': 3, 'latent_dim': 18, 'opt_lr': 0.00016264170843942932, 'opt_wd': 8.014626815127995e-06}"
