iteration,trial_id,score,config
2469,86c29595,0.555868544600939,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 13, 'kernel': 3, 'num_HL': 3, 'latent_dim': 44}"
2518,4f3df7a0,0.6431924882629108,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 7, 'kernel': 2, 'num_HL': 3, 'latent_dim': 86}"
2529,a8d059a2,0.6112676056338028,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 16, 'kernel': 2, 'num_HL': 4, 'latent_dim': 46}"
2570,34b0e38d,0.6065727699530516,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 4, 'kernel': 3, 'num_HL': 2, 'latent_dim': 86}"
2930,ba919179,0.58943661971831,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 13, 'kernel': 2, 'num_HL': 3, 'latent_dim': 44}"
2981,05dc0927,0.5762910798122065,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 10, 'kernel': 3, 'num_HL': 3, 'latent_dim': 54}"
3012,5085bbdb,0.6535211267605635,"{'batch_size': 64, 'num_CL': 2, 'size_CL': 26, 'kernel': 3, 'num_HL': 4, 'latent_dim': 65}"
3203,4e8fc504,0.5847417840375587,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 20, 'kernel': 3, 'num_HL': 4, 'latent_dim': 45}"
3208,c2f86790,0.4382629107981221,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 17, 'kernel': 3, 'num_HL': 3, 'latent_dim': 49}"
3383,1b22f7c0,0.6096244131455398,"{'batch_size': 64, 'num_CL': 2, 'size_CL': 10, 'kernel': 2, 'num_HL': 2, 'latent_dim': 51}"
3485,2740c5ba,0.5821596244131455,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 10, 'kernel': 3, 'num_HL': 4, 'latent_dim': 17}"
3548,70369c47,0.6072769953051644,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 27, 'kernel': 2, 'num_HL': 2, 'latent_dim': 47}"
3566,77547387,0.5861502347417841,"{'batch_size': 64, 'num_CL': 2, 'size_CL': 4, 'kernel': 2, 'num_HL': 2, 'latent_dim': 84}"
3624,276687e7,0.4835680751173709,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 7, 'kernel': 3, 'num_HL': 3, 'latent_dim': 79}"
