iteration,trial_id,score,config
6127,40df3401,0.6105177993527509,"{'batch_size': 128, 'num_CL': 2, 'size_CL': 12, 'kernel': 4, 'num_HL': 3, 'latent_dim': 3, 'opt_lr': 4.197606141106255e-05, 'opt_wd': 2.468122259260275e-07}"
6281,eae29148,0.16666666666666669,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 11, 'kernel': 2, 'num_HL': 4, 'latent_dim': 4, 'opt_lr': 0.0004949152158182288, 'opt_wd': 6.527400683260768e-06}"
6889,68e66e87,0.5943905070118662,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 21, 'kernel': 3, 'num_HL': 3, 'latent_dim': 7, 'opt_lr': 0.000275697480567059, 'opt_wd': 2.433400342952131e-06}"
7160,fa0b0549,0.519795037756203,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 17, 'kernel': 4, 'num_HL': 2, 'latent_dim': 4, 'opt_lr': 1.6326357560951414e-05, 'opt_wd': 2.1063774545680538e-07}"
12304,2588ca1e,0.7466019417475728,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 31, 'kernel': 3, 'num_HL': 3, 'latent_dim': 7, 'opt_lr': 1.2564584221814128e-05, 'opt_wd': 9.083444988367425e-06}"
14736,4b1f0aa1,0.5021574973031284,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 26, 'kernel': 3, 'num_HL': 2, 'latent_dim': 8, 'opt_lr': 1.5855599394079346e-05, 'opt_wd': 5.524252437216349e-07}"
14822,fc100ef8,0.7240021574973031,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 16, 'kernel': 4, 'num_HL': 3, 'latent_dim': 7, 'opt_lr': 0.0005860033295328128, 'opt_wd': 5.364669071894879e-06}"
15238,d18d5add,0.16666666666666669,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 27, 'kernel': 2, 'num_HL': 2, 'latent_dim': 4, 'opt_lr': 0.0002843706716936033, 'opt_wd': 7.536023275026545e-06}"
15998,ce555a1c,0.16666666666666669,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 27, 'kernel': 4, 'num_HL': 3, 'latent_dim': 6, 'opt_lr': 3.698258228450718e-05, 'opt_wd': 8.147787836479408e-06}"
18700,2de195d8,0.6473570658036677,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 20, 'kernel': 2, 'num_HL': 2, 'latent_dim': 9, 'opt_lr': 0.0001209966666538548, 'opt_wd': 2.4400280176877235e-08}"
19088,91201eec,0.6084142394822006,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 6, 'kernel': 4, 'num_HL': 2, 'latent_dim': 7, 'opt_lr': 6.654114819009794e-05, 'opt_wd': 4.862637213811949e-07}"
19276,ef9d5972,0.16666666666666669,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 10, 'kernel': 3, 'num_HL': 4, 'latent_dim': 3, 'opt_lr': 0.0008251119462876198, 'opt_wd': 3.134939972124206e-06}"
20629,592f5d8b,0.16666666666666669,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 20, 'kernel': 3, 'num_HL': 2, 'latent_dim': 7, 'opt_lr': 0.00015674545384695437, 'opt_wd': 1.737050319655732e-06}"
