iteration,trial_id,score,config
2464,9945713b,0.7431499460625675,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 11, 'kernel': 2, 'num_HL': 2, 'latent_dim': 58, 'opt_lr': 7.920855838216943e-05, 'opt_wd': 2.3042069766485255e-06}"
4028,5c905eac,0.16666666666666669,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 29, 'kernel': 4, 'num_HL': 4, 'latent_dim': 52, 'opt_lr': 0.0006847641524770083, 'opt_wd': 9.957154917004297e-06}"
4490,58d76715,0.6508090614886732,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 19, 'kernel': 4, 'num_HL': 3, 'latent_dim': 5, 'opt_lr': 3.373008664725672e-05, 'opt_wd': 4.937030464402281e-06}"
5345,79d9f330,0.36030204962243795,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 20, 'kernel': 3, 'num_HL': 3, 'latent_dim': 76, 'opt_lr': 8.864882476562584e-05, 'opt_wd': 2.601555686856818e-06}"
5872,fbdff0e4,0.7444983818770227,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 5, 'kernel': 3, 'num_HL': 2, 'latent_dim': 21, 'opt_lr': 0.0002984908126017634, 'opt_wd': 7.994740358583586e-06}"
6014,8df2e66a,0.6360841423948219,"{'batch_size': 128, 'num_CL': 2, 'size_CL': 3, 'kernel': 2, 'num_HL': 4, 'latent_dim': 38, 'opt_lr': 3.416979355907066e-05, 'opt_wd': 9.614682711211142e-06}"
7298,22a3e0d9,0.6988673139158577,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 11, 'kernel': 3, 'num_HL': 3, 'latent_dim': 44, 'opt_lr': 5.011336913378851e-05, 'opt_wd': 8.709807437444628e-06}"
8037,434d5a19,0.659546925566343,"{'batch_size': 128, 'num_CL': 2, 'size_CL': 16, 'kernel': 2, 'num_HL': 4, 'latent_dim': 87, 'opt_lr': 9.186336882706199e-05, 'opt_wd': 7.639484184256815e-06}"
8098,823fa455,0.16666666666666669,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 17, 'kernel': 2, 'num_HL': 4, 'latent_dim': 26, 'opt_lr': 5.9404120477542536e-05, 'opt_wd': 7.380085116420862e-06}"
10362,8b05a04d,0.6431499460625674,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 30, 'kernel': 4, 'num_HL': 2, 'latent_dim': 67, 'opt_lr': 3.131634009858275e-05, 'opt_wd': 2.4137444388041865e-06}"
12238,010e4706,0.7555555555555555,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 27, 'kernel': 3, 'num_HL': 3, 'latent_dim': 42, 'opt_lr': 6.893492211743737e-05, 'opt_wd': 1.5150132006555096e-06}"
13879,d5c83d57,0.16666666666666669,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 5, 'kernel': 4, 'num_HL': 3, 'latent_dim': 74, 'opt_lr': 1.634441828012487e-05, 'opt_wd': 7.088337275845687e-06}"
13934,94b131e3,0.7648867313915859,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 7, 'kernel': 3, 'num_HL': 3, 'latent_dim': 13, 'opt_lr': 0.00017086945449906458, 'opt_wd': 2.122995034933708e-06}"
22289,c2fb2e93,0.7075512405609492,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 6, 'kernel': 3, 'num_HL': 4, 'latent_dim': 42, 'opt_lr': 6.325254901399161e-05, 'opt_wd': 3.0789961464424556e-06}"
23447,e5fbba32,0.16666666666666669,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 9, 'kernel': 3, 'num_HL': 3, 'latent_dim': 37, 'opt_lr': 0.0006261535037894299, 'opt_wd': 8.108104758768437e-06}"
