iteration,trial_id,score,config
1702,cfc6e944,0.7158823529411765,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 20, 'kernel': 4, 'num_HL': 3, 'latent_dim': 6, 'opt_lr': 1.5087408278781824e-05, 'opt_wd': 8.339579526837854e-06}"
1728,1a90028a,0.2,"{'batch_size': 64, 'num_CL': 2, 'size_CL': 19, 'kernel': 4, 'num_HL': 4, 'latent_dim': 2, 'opt_lr': 0.00016951524309680434, 'opt_wd': 1.9101181221335418e-07}"
1870,9de39f05,0.7176470588235294,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 8, 'kernel': 3, 'num_HL': 2, 'latent_dim': 7, 'opt_lr': 0.00010556737977634316, 'opt_wd': 4.649992089662102e-06}"
1912,01cb7db4,0.2,"{'batch_size': 128, 'num_CL': 2, 'size_CL': 7, 'kernel': 4, 'num_HL': 3, 'latent_dim': 4, 'opt_lr': 0.000415695791192031, 'opt_wd': 2.3850339207891927e-07}"
1956,434e0aff,0.5235294117647059,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 18, 'kernel': 4, 'num_HL': 4, 'latent_dim': 8, 'opt_lr': 0.00032156258524121477, 'opt_wd': 8.117702644579924e-06}"
2952,40226a81,0.4264705882352941,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 7, 'kernel': 2, 'num_HL': 3, 'latent_dim': 6, 'opt_lr': 0.0008669331713595767, 'opt_wd': 5.085474207513179e-06}"
3230,e9ea4a0c,0.4902941176470589,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 20, 'kernel': 3, 'num_HL': 3, 'latent_dim': 8, 'opt_lr': 0.0009130894827198338, 'opt_wd': 9.238196413927898e-06}"
3581,7481efeb,0.536764705882353,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 19, 'kernel': 4, 'num_HL': 4, 'latent_dim': 5, 'opt_lr': 2.435652809815959e-05, 'opt_wd': 4.65783004744129e-06}"
4290,035dd7a5,0.6741176470588236,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 8, 'kernel': 2, 'num_HL': 3, 'latent_dim': 9, 'opt_lr': 0.00023971497939472355, 'opt_wd': 9.89819728165776e-06}"
4776,9e0cbd35,0.6,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 15, 'kernel': 3, 'num_HL': 3, 'latent_dim': 4, 'opt_lr': 0.00012527501407484334, 'opt_wd': 2.191272450727001e-06}"
