iteration,trial_id,score,config
8737,fd26f854,0.5996610169491527,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 19, 'kernel': 2, 'num_HL': 3, 'latent_dim': 7, 'opt_lr': 1.1242317465147901e-05, 'opt_wd': 5.656632626808194e-06}"
8890,c4090761,0.2,"{'batch_size': 64, 'num_CL': 2, 'size_CL': 17, 'kernel': 2, 'num_HL': 4, 'latent_dim': 3, 'opt_lr': 6.544684761169447e-05, 'opt_wd': 8.95200156543389e-06}"
9749,a3c5397b,0.6855932203389832,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 22, 'kernel': 4, 'num_HL': 3, 'latent_dim': 8, 'opt_lr': 1.4467016873089862e-05, 'opt_wd': 3.670286028597014e-07}"
10718,bdc47215,0.2,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 22, 'kernel': 3, 'num_HL': 4, 'latent_dim': 8, 'opt_lr': 0.0001047018963394705, 'opt_wd': 8.77160826326623e-06}"
16311,8658c1a1,0.6593220338983051,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 14, 'kernel': 3, 'num_HL': 4, 'latent_dim': 7, 'opt_lr': 0.00014710277515144466, 'opt_wd': 4.534106313939992e-06}"
16438,c28ec717,0.2,"{'batch_size': 64, 'num_CL': 2, 'size_CL': 2, 'kernel': 3, 'num_HL': 3, 'latent_dim': 3, 'opt_lr': 0.0001977778840452125, 'opt_wd': 3.471085496638106e-06}"
16531,3d4ce6ab,0.6639830508474576,"{'batch_size': 64, 'num_CL': 2, 'size_CL': 24, 'kernel': 2, 'num_HL': 3, 'latent_dim': 5, 'opt_lr': 0.00035436752544279313, 'opt_wd': 7.617611490591002e-06}"
19479,59af96f2,0.5610169491525424,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 29, 'kernel': 3, 'num_HL': 3, 'latent_dim': 6, 'opt_lr': 1.1258851806556205e-05, 'opt_wd': 6.41169413889845e-07}"
21326,21143e18,0.6165254237288137,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 18, 'kernel': 3, 'num_HL': 3, 'latent_dim': 5, 'opt_lr': 1.32258074300068e-05, 'opt_wd': 2.9866354360407945e-06}"
26703,3a6f0ff6,0.5432203389830509,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 29, 'kernel': 4, 'num_HL': 3, 'latent_dim': 3, 'opt_lr': 1.314907311164648e-05, 'opt_wd': 5.846916981648176e-07}"
27414,8ca7c04a,0.6272881355932205,"{'batch_size': 64, 'num_CL': 2, 'size_CL': 24, 'kernel': 2, 'num_HL': 2, 'latent_dim': 3, 'opt_lr': 2.9477394227341956e-05, 'opt_wd': 6.426459501280193e-06}"
28475,94458470,0.2,"{'batch_size': 64, 'num_CL': 2, 'size_CL': 30, 'kernel': 2, 'num_HL': 3, 'latent_dim': 3, 'opt_lr': 0.000219913633002286, 'opt_wd': 7.030955843301645e-06}"
30196,134e0d02,0.5638983050847458,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 32, 'kernel': 3, 'num_HL': 2, 'latent_dim': 2, 'opt_lr': 2.8393479033963864e-05, 'opt_wd': 6.821797938479429e-06}"
33612,64a2c120,0.6204237288135592,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 16, 'kernel': 3, 'num_HL': 3, 'latent_dim': 3, 'opt_lr': 1.6442891029618255e-05, 'opt_wd': 1.8654619520952578e-06}"
34394,9d7f4124,0.671186440677966,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 10, 'kernel': 3, 'num_HL': 3, 'latent_dim': 7, 'opt_lr': 1.5162622317339448e-05, 'opt_wd': 9.646378655946849e-06}"
34429,ee5e7dc2,0.6584745762711864,"{'batch_size': 128, 'num_CL': 2, 'size_CL': 15, 'kernel': 2, 'num_HL': 2, 'latent_dim': 6, 'opt_lr': 0.00011211194929028842, 'opt_wd': 2.3916710573175927e-06}"
35521,2607d5cf,0.2,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 25, 'kernel': 3, 'num_HL': 3, 'latent_dim': 6, 'opt_lr': 1.3490810830623031e-05, 'opt_wd': 4.849848837204989e-06}"
38995,fb93325a,0.2,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 23, 'kernel': 2, 'num_HL': 4, 'latent_dim': 3, 'opt_lr': 0.0003778969492049185, 'opt_wd': 7.704267470204313e-06}"
39293,8229ca9d,0.2,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 8, 'kernel': 4, 'num_HL': 2, 'latent_dim': 9, 'opt_lr': 5.249685012676806e-05, 'opt_wd': 9.894896166384662e-06}"
39612,057860e5,0.6985593220338984,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 11, 'kernel': 3, 'num_HL': 3, 'latent_dim': 6, 'opt_lr': 0.0001816741103743867, 'opt_wd': 6.888530730600138e-06}"
40417,566d70ed,0.6315254237288136,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 22, 'kernel': 4, 'num_HL': 2, 'latent_dim': 3, 'opt_lr': 0.00025398148424512785, 'opt_wd': 5.573822430166232e-06}"
40987,c228d942,0.6890677966101696,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 11, 'kernel': 4, 'num_HL': 3, 'latent_dim': 8, 'opt_lr': 0.0008679101687114236, 'opt_wd': 1.5577731076638982e-06}"
43055,5609be41,0.6766949152542374,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 6, 'kernel': 4, 'num_HL': 3, 'latent_dim': 4, 'opt_lr': 0.0004826228327627282, 'opt_wd': 8.29612857454266e-06}"
44095,3ed49670,0.2533898305084746,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 13, 'kernel': 4, 'num_HL': 4, 'latent_dim': 5, 'opt_lr': 0.0008326124134128993, 'opt_wd': 4.116859990156639e-06}"
44456,85fe9469,0.2,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 5, 'kernel': 4, 'num_HL': 4, 'latent_dim': 9, 'opt_lr': 2.3220538559420704e-05, 'opt_wd': 9.949871727643804e-06}"
44492,6ac03f19,0.6848305084745763,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 10, 'kernel': 4, 'num_HL': 2, 'latent_dim': 8, 'opt_lr': 4.7841966855796385e-05, 'opt_wd': 1.256468142893184e-07}"
45016,48f7f8ad,0.2,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 12, 'kernel': 4, 'num_HL': 3, 'latent_dim': 7, 'opt_lr': 0.0009448057524092491, 'opt_wd': 1.8518522541250795e-06}"
47288,392cfbc2,0.2,"{'batch_size': 64, 'num_CL': 2, 'size_CL': 3, 'kernel': 4, 'num_HL': 2, 'latent_dim': 9, 'opt_lr': 0.0005202748305817936, 'opt_wd': 5.474568597707186e-06}"
49274,cf61114e,0.2,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 10, 'kernel': 4, 'num_HL': 4, 'latent_dim': 4, 'opt_lr': 0.0006095024477209075, 'opt_wd': 1.2855480202876091e-06}"
49349,4046052f,0.2,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 8, 'kernel': 4, 'num_HL': 3, 'latent_dim': 8, 'opt_lr': 0.0007485205454781802, 'opt_wd': 4.1631610897000516e-06}"
50144,89dd1108,0.6801694915254238,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 5, 'kernel': 3, 'num_HL': 3, 'latent_dim': 8, 'opt_lr': 7.119873975664294e-05, 'opt_wd': 6.355844046003226e-06}"
