iteration,trial_id,score,config
594,153a6384,0.5892018779342723,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 21, 'kernel': 2, 'num_HL': 2, 'm_lambda': 2.105820101667627, 'latent_dim': 4, 'opt_lr': 0.00020683597184461972, 'opt_wd': 5.907526617013153e-06}"
1071,469a4eff,0.4392018779342723,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 18, 'kernel': 4, 'num_HL': 2, 'm_lambda': 2.632581357165626, 'latent_dim': 3, 'opt_lr': 4.808575643908488e-05, 'opt_wd': 4.840588273523551e-06}"
1111,b2ac765d,0.4744131455399061,"{'batch_size': 128, 'num_CL': 2, 'size_CL': 21, 'kernel': 3, 'num_HL': 2, 'm_lambda': 2.08720769488018, 'latent_dim': 4, 'opt_lr': 0.0005601808689270192, 'opt_wd': 4.304309332580325e-06}"
1137,d8d78117,0.4330985915492958,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 13, 'kernel': 3, 'num_HL': 3, 'm_lambda': 2.6559761975275213, 'latent_dim': 3, 'opt_lr': 3.276563763704389e-05, 'opt_wd': 4.9710966744222935e-06}"
1141,de86a92b,0.4502347417840375,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 17, 'kernel': 3, 'num_HL': 4, 'm_lambda': 2.160734272164095, 'latent_dim': 4, 'opt_lr': 0.00032596249563674715, 'opt_wd': 4.481356087743774e-06}"
1488,5a6c6936,0.5553990610328638,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 7, 'kernel': 4, 'num_HL': 2, 'm_lambda': 0.652138524614426, 'latent_dim': 9, 'opt_lr': 0.0006918993765774469, 'opt_wd': 7.64095909689796e-06}"
1616,ff096a1e,0.4748826291079812,"{'batch_size': 64, 'num_CL': 2, 'size_CL': 6, 'kernel': 3, 'num_HL': 3, 'm_lambda': 1.8679996707828161, 'latent_dim': 2, 'opt_lr': 0.0008618414117845291, 'opt_wd': 1.7519382585528688e-06}"
1956,75e1aa86,0.4929577464788732,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 16, 'kernel': 4, 'num_HL': 3, 'm_lambda': 1.8725802399071085, 'latent_dim': 3, 'opt_lr': 9.709356384522907e-05, 'opt_wd': 8.501605366253701e-06}"
2163,6931c548,0.4676056338028169,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 4, 'kernel': 3, 'num_HL': 3, 'm_lambda': 1.7895683535249665, 'latent_dim': 6, 'opt_lr': 0.00036868090312985234, 'opt_wd': 9.569330146890924e-06}"
2577,4f3262f5,0.461737089201878,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 6, 'kernel': 2, 'num_HL': 3, 'm_lambda': 1.658423937513741, 'latent_dim': 3, 'opt_lr': 5.938530208724245e-05, 'opt_wd': 9.582879404509866e-06}"
2693,77e56cce,0.4694835680751174,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 18, 'kernel': 3, 'num_HL': 3, 'm_lambda': 2.0462287190161605, 'latent_dim': 6, 'opt_lr': 0.00034271720825148553, 'opt_wd': 2.3590555784185143e-06}"
