iteration,trial_id,score,config
6783,598aef81,0.5656957928802588,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 18, 'kernel': 3, 'num_HL': 2, 'm_lambda': 0.9811612199921873, 'latent_dim': 7, 'opt_lr': 3.747989811427968e-05, 'opt_wd': 1.2423023500858534e-06}"
8569,efacf051,0.43527508090614886,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 23, 'kernel': 3, 'num_HL': 4, 'm_lambda': 0.3147638518233258, 'latent_dim': 3, 'opt_lr': 0.0005573991547091011, 'opt_wd': 6.914484181336934e-07}"
9302,26df0969,0.4975728155339806,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 23, 'kernel': 2, 'num_HL': 4, 'm_lambda': 1.373464964189034, 'latent_dim': 4, 'opt_lr': 0.0009946605311317862, 'opt_wd': 9.272876774853744e-06}"
9422,f6d97a54,0.5302049622437972,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 26, 'kernel': 2, 'num_HL': 3, 'm_lambda': 1.8988450146033276, 'latent_dim': 3, 'opt_lr': 0.0002646487462764897, 'opt_wd': 2.485917375697422e-06}"
11299,54cfa88d,0.5345199568500539,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 2, 'kernel': 4, 'num_HL': 3, 'm_lambda': 0.8597246840153207, 'latent_dim': 6, 'opt_lr': 0.00025241901907816714, 'opt_wd': 9.291396759216216e-06}"
14587,5cb9547c,0.5016181229773463,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 7, 'kernel': 3, 'num_HL': 3, 'm_lambda': 1.511370363871386, 'latent_dim': 9, 'opt_lr': 0.0002066909494278518, 'opt_wd': 7.91470606706599e-06}"
16557,c6ccc7fa,0.5998381877022653,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 31, 'kernel': 2, 'num_HL': 3, 'm_lambda': 0.22649848996026084, 'latent_dim': 7, 'opt_lr': 1.3458432897688046e-05, 'opt_wd': 6.3971544636832126e-06}"
20158,53b4d0b8,0.520873786407767,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 8, 'kernel': 3, 'num_HL': 3, 'm_lambda': 1.0857357733394497, 'latent_dim': 8, 'opt_lr': 2.134008016059377e-05, 'opt_wd': 9.574079523799755e-06}"
21301,c6daf347,0.6079288025889967,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 26, 'kernel': 3, 'num_HL': 2, 'm_lambda': 1.0165778255112088, 'latent_dim': 8, 'opt_lr': 0.0007186303107395612, 'opt_wd': 9.704288098165191e-06}"
24766,87f4638b,0.45846817691477887,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 22, 'kernel': 3, 'num_HL': 3, 'm_lambda': 0.968461155195812, 'latent_dim': 4, 'opt_lr': 0.0004337236005878233, 'opt_wd': 7.037340454354852e-06}"
25692,65b2ea6a,0.5882955771305285,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 3, 'kernel': 3, 'num_HL': 3, 'm_lambda': 2.5744359242965236, 'latent_dim': 7, 'opt_lr': 4.335270522406394e-05, 'opt_wd': 7.234548074471198e-06}"
26659,a0d30723,0.4854368932038835,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 13, 'kernel': 2, 'num_HL': 3, 'm_lambda': 2.1943188686728115, 'latent_dim': 3, 'opt_lr': 0.0002701336343765967, 'opt_wd': 9.55100888282526e-06}"
26692,bd6f258d,0.4711974110032363,"{'batch_size': 64, 'num_CL': 2, 'size_CL': 22, 'kernel': 2, 'num_HL': 3, 'm_lambda': 2.4162394871427604, 'latent_dim': 3, 'opt_lr': 0.00045543745228778264, 'opt_wd': 1.341964111894052e-06}"
