iteration,trial_id,score,config
1445,3aeeb67c,0.6238235294117648,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 11, 'kernel': 3, 'num_HL': 3, 'm_lambda': 1.2477788809345678, 'latent_dim': 5, 'opt_lr': 8.520634926072773e-05, 'opt_wd': 9.718478712935541e-06}"
2583,2c1f731f,0.7029411764705882,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 18, 'kernel': 4, 'num_HL': 2, 'm_lambda': 1.8525879219163837, 'latent_dim': 4, 'opt_lr': 2.187629965869142e-05, 'opt_wd': 5.368045763985437e-06}"
2964,1d52ffa1,0.6529411764705882,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 31, 'kernel': 3, 'num_HL': 3, 'm_lambda': 1.1396154025219067, 'latent_dim': 3, 'opt_lr': 0.00018755978816079044, 'opt_wd': 7.34632318049262e-07}"
3370,95735827,0.6411764705882353,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 2, 'kernel': 2, 'num_HL': 2, 'm_lambda': 2.2546029095909352, 'latent_dim': 4, 'opt_lr': 0.000550592593153873, 'opt_wd': 2.826466274801103e-06}"
3939,9b62b808,0.7011764705882353,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 27, 'kernel': 3, 'num_HL': 3, 'm_lambda': 1.3499132674063308, 'latent_dim': 9, 'opt_lr': 1.4015196654529817e-05, 'opt_wd': 1.1294073485733559e-06}"
4681,63afe1be,0.6470588235294118,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 16, 'kernel': 3, 'num_HL': 2, 'm_lambda': 2.523633850473195, 'latent_dim': 3, 'opt_lr': 2.2143123844860146e-05, 'opt_wd': 2.0357909931650676e-06}"
4734,1f9403a2,0.5823529411764705,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 20, 'kernel': 3, 'num_HL': 3, 'm_lambda': 2.0562960369954966, 'latent_dim': 8, 'opt_lr': 0.0003860896174051588, 'opt_wd': 9.720368215323837e-06}"
5292,fa88e928,0.615,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 20, 'kernel': 3, 'num_HL': 4, 'm_lambda': 0.73048361319411, 'latent_dim': 5, 'opt_lr': 2.5278855118908477e-05, 'opt_wd': 5.802086366178741e-06}"
5367,9225bbf6,0.721764705882353,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 10, 'kernel': 2, 'num_HL': 2, 'm_lambda': 0.990483084559695, 'latent_dim': 9, 'opt_lr': 0.00017099462030839587, 'opt_wd': 2.07724273751176e-06}"
5930,9a9a4ed4,0.6397058823529412,"{'batch_size': 128, 'num_CL': 2, 'size_CL': 22, 'kernel': 3, 'num_HL': 4, 'm_lambda': 0.23851123125849197, 'latent_dim': 8, 'opt_lr': 0.0002094965400256343, 'opt_wd': 2.695241699946165e-06}"
6052,ed70c9c9,0.6735294117647059,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 5, 'kernel': 4, 'num_HL': 2, 'm_lambda': 1.2078111579777342, 'latent_dim': 4, 'opt_lr': 4.512700063110551e-05, 'opt_wd': 4.044939793432708e-06}"
6905,2345fb05,0.6717647058823529,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 5, 'kernel': 3, 'num_HL': 3, 'm_lambda': 2.7753825044071987, 'latent_dim': 5, 'opt_lr': 2.7892370573307158e-05, 'opt_wd': 1.1235113830500065e-06}"
7197,3f9fcb8e,0.638235294117647,"{'batch_size': 64, 'num_CL': 2, 'size_CL': 31, 'kernel': 2, 'num_HL': 2, 'm_lambda': 0.6062980018819526, 'latent_dim': 9, 'opt_lr': 0.000412754104577988, 'opt_wd': 7.4591473379355915e-06}"
7539,68ff8d9b,0.7088235294117647,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 8, 'kernel': 2, 'num_HL': 2, 'm_lambda': 2.511710251212936, 'latent_dim': 7, 'opt_lr': 0.00018979386192069156, 'opt_wd': 8.169304619645502e-07}"
7595,92b1e829,0.6529411764705882,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 23, 'kernel': 4, 'num_HL': 2, 'm_lambda': 2.66345094493321, 'latent_dim': 3, 'opt_lr': 0.00015001580391248552, 'opt_wd': 2.296570589933489e-06}"
8149,df55fe2b,0.6676470588235294,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 4, 'kernel': 3, 'num_HL': 3, 'm_lambda': 2.5173773879867616, 'latent_dim': 5, 'opt_lr': 3.035697049530869e-05, 'opt_wd': 4.45576231986488e-06}"
8744,4dab9c12,0.6529411764705882,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 31, 'kernel': 3, 'num_HL': 4, 'm_lambda': 2.7497187727258416, 'latent_dim': 4, 'opt_lr': 0.00028775870290588377, 'opt_wd': 6.814858026250321e-06}"
8802,1b608fbf,0.6294117647058823,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 5, 'kernel': 3, 'num_HL': 2, 'm_lambda': 2.5308793424411196, 'latent_dim': 7, 'opt_lr': 1.9401384347145232e-05, 'opt_wd': 7.050409405206049e-06}"
9332,511a2036,0.7205882352941176,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 10, 'kernel': 2, 'num_HL': 2, 'm_lambda': 1.6803240615125479, 'latent_dim': 7, 'opt_lr': 0.00084434903808151, 'opt_wd': 5.875953387611861e-08}"
9754,af65076a,0.7264705882352942,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 30, 'kernel': 2, 'num_HL': 3, 'm_lambda': 2.229039727790325, 'latent_dim': 8, 'opt_lr': 5.942511320240348e-05, 'opt_wd': 5.655903672887523e-06}"
9836,08106fed,0.6405882352941175,"{'batch_size': 64, 'num_CL': 2, 'size_CL': 12, 'kernel': 2, 'num_HL': 2, 'm_lambda': 0.8964741868005753, 'latent_dim': 7, 'opt_lr': 0.00014257989606139071, 'opt_wd': 5.009679319915361e-09}"
10351,735419da,0.7411764705882353,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 14, 'kernel': 2, 'num_HL': 2, 'm_lambda': 1.4968018977972286, 'latent_dim': 9, 'opt_lr': 9.099543396521347e-05, 'opt_wd': 3.7451647169253247e-06}"
10432,0d1eb3f3,0.5294117647058824,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 9, 'kernel': 2, 'num_HL': 2, 'm_lambda': 1.754785270067488, 'latent_dim': 6, 'opt_lr': 0.0009811632596489173, 'opt_wd': 9.179046582063532e-09}"
10809,ab46111a,0.6352941176470588,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 6, 'kernel': 3, 'num_HL': 3, 'm_lambda': 0.24187477022584566, 'latent_dim': 6, 'opt_lr': 2.254675044508275e-05, 'opt_wd': 5.5147848595356665e-06}"
11299,e2136d39,0.6152941176470589,"{'batch_size': 128, 'num_CL': 2, 'size_CL': 14, 'kernel': 2, 'num_HL': 3, 'm_lambda': 2.1097738379212334, 'latent_dim': 8, 'opt_lr': 6.196847840375797e-05, 'opt_wd': 7.943409338811235e-06}"
11982,c6fc6786,0.6205882352941177,"{'batch_size': 128, 'num_CL': 2, 'size_CL': 27, 'kernel': 2, 'num_HL': 4, 'm_lambda': 2.981584790032651, 'latent_dim': 8, 'opt_lr': 6.613588584645464e-05, 'opt_wd': 8.98831527763251e-06}"
12220,2770ca8a,0.635,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 16, 'kernel': 2, 'num_HL': 4, 'm_lambda': 2.1954710006452585, 'latent_dim': 8, 'opt_lr': 4.458192802779358e-05, 'opt_wd': 6.5323033309677615e-06}"
13288,1c811848,0.47941176470588237,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 24, 'kernel': 2, 'num_HL': 3, 'm_lambda': 1.9006401491038698, 'latent_dim': 2, 'opt_lr': 4.1495169841604744e-05, 'opt_wd': 4.813507420008131e-06}"
14319,1d169129,0.7302941176470589,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 26, 'kernel': 2, 'num_HL': 3, 'm_lambda': 1.4949432275741772, 'latent_dim': 9, 'opt_lr': 0.00010735903341007154, 'opt_wd': 3.6774118037189775e-06}"
14378,d533dfd9,0.7176470588235294,"{'batch_size': 128, 'num_CL': 2, 'size_CL': 29, 'kernel': 2, 'num_HL': 3, 'm_lambda': 2.331753677087088, 'latent_dim': 9, 'opt_lr': 0.00010187017681382077, 'opt_wd': 8.405576701718042e-06}"
14942,145b998d,0.7147058823529411,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 13, 'kernel': 4, 'num_HL': 3, 'm_lambda': 1.3398340967129332, 'latent_dim': 9, 'opt_lr': 6.3498623194152e-05, 'opt_wd': 5.750923018147381e-06}"
15085,4313ef6a,0.6794117647058824,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 14, 'kernel': 2, 'num_HL': 3, 'm_lambda': 1.4637073069742814, 'latent_dim': 6, 'opt_lr': 8.211505261089364e-05, 'opt_wd': 3.536593630998852e-06}"
16063,93a41728,0.711764705882353,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 18, 'kernel': 2, 'num_HL': 4, 'm_lambda': 1.6626234442939567, 'latent_dim': 8, 'opt_lr': 0.00011528822933160229, 'opt_wd': 6.337203418592941e-06}"
17123,d22b3c81,0.75,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 28, 'kernel': 2, 'num_HL': 3, 'm_lambda': 1.5132363698107119, 'latent_dim': 9, 'opt_lr': 1.1691176799630166e-05, 'opt_wd': 3.8533874864657e-06}"
17239,374356f7,0.5844117647058822,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 21, 'kernel': 2, 'num_HL': 3, 'm_lambda': 1.3222152338631976, 'latent_dim': 7, 'opt_lr': 0.0006831484768714653, 'opt_wd': 1.6059226378982725e-06}"
17311,c9daafb8,0.6755882352941177,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 25, 'kernel': 2, 'num_HL': 3, 'm_lambda': 1.0791666719392534, 'latent_dim': 9, 'opt_lr': 8.87531160490847e-05, 'opt_wd': 3.2023344954551935e-06}"
18070,a45fcc01,0.611764705882353,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 26, 'kernel': 4, 'num_HL': 4, 'm_lambda': 0.6494073567519281, 'latent_dim': 2, 'opt_lr': 0.0003125601769745278, 'opt_wd': 4.830082968056082e-06}"
18951,2ef7b6ee,0.7294117647058823,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 18, 'kernel': 2, 'num_HL': 3, 'm_lambda': 1.944642369030111, 'latent_dim': 9, 'opt_lr': 0.00022986419009109782, 'opt_wd': 2.9651624979974607e-06}"
19059,c70bb4c8,0.6776470588235295,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 15, 'kernel': 2, 'num_HL': 2, 'm_lambda': 0.4318619178131622, 'latent_dim': 6, 'opt_lr': 1.1517839322945177e-05, 'opt_wd': 4.22976813668489e-06}"
21107,b87ea471,0.7058823529411765,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 17, 'kernel': 3, 'num_HL': 4, 'm_lambda': 2.0020277577422663, 'latent_dim': 5, 'opt_lr': 3.59133929368927e-05, 'opt_wd': 3.375295264739045e-06}"
21492,a0211ca6,0.7170588235294117,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 20, 'kernel': 3, 'num_HL': 2, 'm_lambda': 0.8201708277949096, 'latent_dim': 9, 'opt_lr': 1.3720731837185719e-05, 'opt_wd': 2.6419892979392358e-06}"
22209,dcb6b92e,0.6923529411764706,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 28, 'kernel': 3, 'num_HL': 4, 'm_lambda': 0.9649689020854681, 'latent_dim': 8, 'opt_lr': 1.654620319792262e-05, 'opt_wd': 1.6541652406257823e-06}"
22386,d6bca642,0.6367647058823529,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 7, 'kernel': 4, 'num_HL': 2, 'm_lambda': 1.5750941201072188, 'latent_dim': 3, 'opt_lr': 3.349644967383994e-05, 'opt_wd': 5.02270389032353e-06}"
22557,932f693d,0.6961764705882353,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 11, 'kernel': 2, 'num_HL': 3, 'm_lambda': 1.1744591941069915, 'latent_dim': 7, 'opt_lr': 1.0516273641820111e-05, 'opt_wd': 3.8042998987290137e-06}"
22693,a7e8db22,0.6050000000000001,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 3, 'kernel': 3, 'num_HL': 2, 'm_lambda': 0.394176382786934, 'latent_dim': 8, 'opt_lr': 0.00013427495640736675, 'opt_wd': 1.6553450562715228e-06}"
22759,1d163991,0.5047058823529411,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 19, 'kernel': 2, 'num_HL': 3, 'm_lambda': 1.7991144285771188, 'latent_dim': 4, 'opt_lr': 0.0004712472687935789, 'opt_wd': 2.345599220933801e-06}"
24206,11fbf07d,0.6676470588235294,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 12, 'kernel': 3, 'num_HL': 3, 'm_lambda': 1.2295033453259903, 'latent_dim': 3, 'opt_lr': 0.0005793522082472207, 'opt_wd': 5.051635743288486e-06}"
24285,aee55974,0.6629411764705883,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 22, 'kernel': 2, 'num_HL': 4, 'm_lambda': 1.0606355184956975, 'latent_dim': 9, 'opt_lr': 1.738551556171972e-05, 'opt_wd': 6.167704422147375e-06}"
24319,40ded6c7,0.6664705882352943,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 23, 'kernel': 2, 'num_HL': 2, 'm_lambda': 2.9475119980565037, 'latent_dim': 8, 'opt_lr': 0.000295413996647994, 'opt_wd': 8.665877934138713e-07}"
24379,faff10b8,0.7573529411764706,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 16, 'kernel': 2, 'num_HL': 2, 'm_lambda': 2.3706558720142192, 'latent_dim': 9, 'opt_lr': 2.5850590135606203e-05, 'opt_wd': 3.883660164559264e-06}"
25144,99b76b16,0.7358823529411765,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 32, 'kernel': 4, 'num_HL': 3, 'm_lambda': 1.4336759951793512, 'latent_dim': 7, 'opt_lr': 1.3012381700448328e-05, 'opt_wd': 4.4278116850984686e-06}"
25661,b02fc2ee,0.6744117647058825,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 9, 'kernel': 3, 'num_HL': 2, 'm_lambda': 0.47867380096757084, 'latent_dim': 5, 'opt_lr': 0.0002366327241039566, 'opt_wd': 3.6808318817993555e-07}"
26492,1f1a77ff,0.6355882352941176,"{'batch_size': 128, 'num_CL': 2, 'size_CL': 21, 'kernel': 4, 'num_HL': 4, 'm_lambda': 1.6013392675575826, 'latent_dim': 7, 'opt_lr': 7.619405805171053e-05, 'opt_wd': 2.090805787171454e-06}"
26906,c0922bec,0.7279411764705883,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 16, 'kernel': 3, 'num_HL': 3, 'm_lambda': 2.64523149336452, 'latent_dim': 9, 'opt_lr': 1.679619567025488e-05, 'opt_wd': 7.505634949443074e-06}"
27174,a3e918cf,0.6429411764705882,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 32, 'kernel': 2, 'num_HL': 3, 'm_lambda': 2.055759352436672, 'latent_dim': 6, 'opt_lr': 5.1467910653311596e-05, 'opt_wd': 7.058578221221065e-06}"
