iteration,trial_id,score,config
398,9c1a17e8,0.5138497652582159,"{'batch_size': 64, 'm_lambda': 2.4792966464970925, 'num_HL': 3, 'latent_dim': 7, 'opt_lr': 1.4138802505376014e-05, 'opt_wd': 4.613112746290376e-06}"
643,4bbfe528,0.5248826291079812,"{'batch_size': 129, 'm_lambda': 2.5363800149745024, 'num_HL': 2, 'latent_dim': 8, 'opt_lr': 0.00019991133529817084, 'opt_wd': 5.4188859185886064e-06}"
855,3ddca34a,0.538262910798122,"{'batch_size': 64, 'm_lambda': 0.8236336208994957, 'num_HL': 7, 'latent_dim': 10, 'opt_lr': 9.887722792855978e-05, 'opt_wd': 1.447517253904025e-06}"
904,6b10fb91,0.49061032863849763,"{'batch_size': 129, 'm_lambda': 2.7285365301609072, 'num_HL': 2, 'latent_dim': 9, 'opt_lr': 0.00022877637400762823, 'opt_wd': 2.9222373965833815e-06}"
1053,5d6781d0,0.5389671361502347,"{'batch_size': 129, 'm_lambda': 2.297215461243089, 'num_HL': 7, 'latent_dim': 11, 'opt_lr': 0.000262531327231643, 'opt_wd': 5.45205834920437e-06}"
1489,77ef434b,0.5544600938967136,"{'batch_size': 129, 'm_lambda': 2.665100891331553, 'num_HL': 3, 'latent_dim': 9, 'opt_lr': 1.734567642746e-05, 'opt_wd': 7.643596060270524e-06}"
1492,50921755,0.5255868544600938,"{'batch_size': 64, 'm_lambda': 2.51601000734822, 'num_HL': 3, 'latent_dim': 13, 'opt_lr': 0.0004946334962827311, 'opt_wd': 1.2476664245956472e-06}"
1597,0e348340,0.6300469483568076,"{'batch_size': 64, 'm_lambda': 0.3716439203734243, 'num_HL': 8, 'latent_dim': 16, 'opt_lr': 3.996298102207719e-05, 'opt_wd': 2.6448827098634977e-06}"
1675,2c4f9a0c,0.528169014084507,"{'batch_size': 129, 'm_lambda': 1.689796210150687, 'num_HL': 6, 'latent_dim': 6, 'opt_lr': 0.0003971406736149928, 'opt_wd': 2.924923638390398e-06}"
1752,e91e96c8,0.5164319248826292,"{'batch_size': 129, 'm_lambda': 0.11728440226525322, 'num_HL': 7, 'latent_dim': 16, 'opt_lr': 0.00015079945671744914, 'opt_wd': 1.9423148154671214e-06}"
1946,bc24d878,0.5211267605633803,"{'batch_size': 64, 'm_lambda': 0.29964182017902397, 'num_HL': 7, 'latent_dim': 5, 'opt_lr': 0.00012685199957725287, 'opt_wd': 9.128767633068511e-06}"
2011,49f5a4f8,0.5483568075117371,"{'batch_size': 64, 'm_lambda': 1.7482174595632747, 'num_HL': 5, 'latent_dim': 4, 'opt_lr': 2.8421944934194172e-05, 'opt_wd': 7.797488581951538e-06}"
2016,5ad35b36,0.5657276995305164,"{'batch_size': 64, 'm_lambda': 1.2514784395930714, 'num_HL': 4, 'latent_dim': 5, 'opt_lr': 0.00011929873159355772, 'opt_wd': 6.172839276324974e-06}"
2019,7a1b6e32,0.6171361502347418,"{'batch_size': 129, 'm_lambda': 2.1374342063239937, 'num_HL': 6, 'latent_dim': 15, 'opt_lr': 2.0252910757635024e-05, 'opt_wd': 6.585784651858518e-06}"
2259,92dae29c,0.5269953051643192,"{'batch_size': 129, 'm_lambda': 2.8267058358538724, 'num_HL': 6, 'latent_dim': 3, 'opt_lr': 0.00039818830352844695, 'opt_wd': 9.128628948534573e-06}"
2336,c651af64,0.5370892018779344,"{'batch_size': 64, 'm_lambda': 0.7403338972453973, 'num_HL': 3, 'latent_dim': 8, 'opt_lr': 0.00038687375484163254, 'opt_wd': 3.1557115677627814e-06}"
2377,ffd5a812,0.4215962441314553,"{'batch_size': 64, 'm_lambda': 2.3915559742600934, 'num_HL': 4, 'latent_dim': 13, 'opt_lr': 0.0009642732543798608, 'opt_wd': 8.667087528983593e-06}"
2498,f6b52229,0.48826291079812206,"{'batch_size': 129, 'm_lambda': 0.7336916997901578, 'num_HL': 4, 'latent_dim': 3, 'opt_lr': 0.00013467649178194714, 'opt_wd': 8.358343509760305e-06}"
2583,0724eccc,0.57981220657277,"{'batch_size': 129, 'm_lambda': 2.0837923439811985, 'num_HL': 7, 'latent_dim': 14, 'opt_lr': 2.7642102273006437e-05, 'opt_wd': 2.455359741752845e-06}"
2875,7f03655d,0.5751173708920188,"{'batch_size': 64, 'm_lambda': 1.2530255282553813, 'num_HL': 4, 'latent_dim': 6, 'opt_lr': 7.20970373754937e-05, 'opt_wd': 6.2905629917085105e-06}"
2927,06541474,0.5619718309859156,"{'batch_size': 129, 'm_lambda': 2.6928911340012656, 'num_HL': 7, 'latent_dim': 11, 'opt_lr': 3.488505187486353e-05, 'opt_wd': 9.824757316596305e-06}"
3049,1be6e96c,0.5208920187793427,"{'batch_size': 64, 'm_lambda': 1.4363428051544647, 'num_HL': 5, 'latent_dim': 18, 'opt_lr': 6.554843412555118e-05, 'opt_wd': 5.422976485515911e-07}"
3191,839c5be2,0.4913145539906103,"{'batch_size': 64, 'm_lambda': 1.0866239199645427, 'num_HL': 2, 'latent_dim': 16, 'opt_lr': 1.1171894524028296e-05, 'opt_wd': 4.074542296452762e-06}"
3203,e41b1bc5,0.5715962441314555,"{'batch_size': 129, 'm_lambda': 2.0887197098535037, 'num_HL': 6, 'latent_dim': 16, 'opt_lr': 4.316981786264355e-05, 'opt_wd': 4.078058710357369e-06}"
3421,f659ae62,0.5643192488262911,"{'batch_size': 129, 'm_lambda': 0.41294832436662215, 'num_HL': 8, 'latent_dim': 12, 'opt_lr': 5.3803253905267863e-05, 'opt_wd': 7.265384659886571e-06}"
3605,ff1829ee,0.4917840375586854,"{'batch_size': 64, 'm_lambda': 0.46908865723769233, 'num_HL': 5, 'latent_dim': 17, 'opt_lr': 4.206067425055448e-05, 'opt_wd': 5.901722984312985e-06}"
3609,fba902a1,0.5903755868544601,"{'batch_size': 129, 'm_lambda': 1.839811175762, 'num_HL': 8, 'latent_dim': 15, 'opt_lr': 2.381856183939155e-05, 'opt_wd': 6.907467255006374e-06}"
3719,c7ed9f82,0.580281690140845,"{'batch_size': 64, 'm_lambda': 2.9272136580422803, 'num_HL': 8, 'latent_dim': 18, 'opt_lr': 1.6725901056465976e-05, 'opt_wd': 8.834012618542498e-08}"
3722,dc3f94c9,0.5715962441314554,"{'batch_size': 129, 'm_lambda': 1.4839068025624647, 'num_HL': 8, 'latent_dim': 14, 'opt_lr': 2.1475710334236435e-05, 'opt_wd': 5.319988888250374e-06}"
