iteration,trial_id,score,config
1880,6feeb199,0.4976190476190476,"{'batch_size': 64, 'm_lambda': 0.8692136497748048, 'num_HL': 6, 'latent_dim': 3, 'opt_lr': 0.0002886648866540402, 'opt_wd': 4.764505347465683e-06}"
2248,3c480f86,0.5423809523809523,"{'batch_size': 64, 'm_lambda': 0.24530917801219487, 'num_HL': 6, 'latent_dim': 9, 'opt_lr': 4.003142844713802e-05, 'opt_wd': 4.1074073366462186e-06}"
3154,5a2c1b0e,0.4923809523809524,"{'batch_size': 64, 'm_lambda': 1.8884723419590606, 'num_HL': 6, 'latent_dim': 2, 'opt_lr': 7.648748048268752e-05, 'opt_wd': 1.056438425943367e-06}"
3155,06726665,0.530952380952381,"{'batch_size': 64, 'm_lambda': 1.7298005929098472, 'num_HL': 5, 'latent_dim': 7, 'opt_lr': 5.144870706864754e-05, 'opt_wd': 3.3712369454660397e-06}"
3464,a613a87e,0.5940476190476189,"{'batch_size': 64, 'm_lambda': 0.8012732568074361, 'num_HL': 7, 'latent_dim': 7, 'opt_lr': 2.2286084341220355e-05, 'opt_wd': 4.578272496911532e-06}"
3480,a4bbe1b2,0.5364285714285715,"{'batch_size': 64, 'm_lambda': 2.9658786007989715, 'num_HL': 4, 'latent_dim': 8, 'opt_lr': 5.531026875386925e-05, 'opt_wd': 1.864480786578605e-06}"
3854,68f60f35,0.6066666666666667,"{'batch_size': 129, 'm_lambda': 2.7152347392636638, 'num_HL': 2, 'latent_dim': 5, 'opt_lr': 0.0004886920393736674, 'opt_wd': 6.841372005691082e-06}"
4368,beb2aa58,0.5,"{'batch_size': 64, 'm_lambda': 2.37462653039015, 'num_HL': 3, 'latent_dim': 4, 'opt_lr': 4.8574731444288695e-05, 'opt_wd': 8.492446982868174e-07}"
4679,a8d6bc8f,0.5214285714285714,"{'batch_size': 64, 'm_lambda': 0.1693563672391876, 'num_HL': 4, 'latent_dim': 6, 'opt_lr': 0.0004417056310629085, 'opt_wd': 7.034774379293846e-06}"
4983,5185efdd,0.495952380952381,"{'batch_size': 64, 'm_lambda': 1.0190451496141686, 'num_HL': 7, 'latent_dim': 2, 'opt_lr': 1.1051897273978052e-05, 'opt_wd': 8.439889768065773e-06}"
5090,04954773,0.5976190476190475,"{'batch_size': 64, 'm_lambda': 2.2291830512440294, 'num_HL': 2, 'latent_dim': 8, 'opt_lr': 0.00027390685576123323, 'opt_wd': 1.7113481087309603e-06}"
5153,7e326d60,0.5223809523809523,"{'batch_size': 129, 'm_lambda': 1.684460725276125, 'num_HL': 4, 'latent_dim': 6, 'opt_lr': 0.00010337622975612747, 'opt_wd': 1.6295562112694241e-06}"
5209,494d448e,0.5878571428571427,"{'batch_size': 64, 'm_lambda': 1.0686249507499774, 'num_HL': 6, 'latent_dim': 7, 'opt_lr': 1.077242122744867e-05, 'opt_wd': 7.26043333954647e-06}"
5975,02ee9c9a,0.6166666666666666,"{'batch_size': 64, 'm_lambda': 1.6925848319571677, 'num_HL': 6, 'latent_dim': 8, 'opt_lr': 5.9519924152578726e-05, 'opt_wd': 7.029972141872589e-06}"
5992,328c3b1c,0.49714285714285716,"{'batch_size': 64, 'm_lambda': 0.777455619093498, 'num_HL': 4, 'latent_dim': 4, 'opt_lr': 8.630565670977552e-05, 'opt_wd': 1.0077987570668292e-06}"
