iteration,trial_id,score,config
413,262656e2,-0.1,"{'batch_size': 129, 'm_lambda': 1.949926345416071, 'num_HL': 3, 'latent_dim': 4, 'opt_lr': 7.915779751290851e-05, 'opt_wd': 2.2644721189775763e-06}"
423,22448584,-0.1,"{'batch_size': 129, 'm_lambda': 2.645968067407992, 'num_HL': 2, 'latent_dim': 6, 'opt_lr': 0.00010666010141412915, 'opt_wd': 2.8777970721639968e-06}"
433,ab855d89,-0.1,"{'batch_size': 129, 'm_lambda': 1.548513884330078, 'num_HL': 3, 'latent_dim': 6, 'opt_lr': 0.00034274188318170553, 'opt_wd': 1.7875371181897117e-06}"
444,4bc8d97e,-0.1,"{'batch_size': 129, 'm_lambda': 0.4619206458108067, 'num_HL': 4, 'latent_dim': 6, 'opt_lr': 0.00011832873215149494, 'opt_wd': 7.664096695273058e-06}"
455,fc22d7dc,-0.1,"{'batch_size': 129, 'm_lambda': 2.967746002733262, 'num_HL': 4, 'latent_dim': 3, 'opt_lr': 0.0008487477988686219, 'opt_wd': 7.694136343517876e-06}"
978,351e8d6a,-0.1,"{'batch_size': 129, 'm_lambda': 1.736399256828046, 'num_HL': 6, 'latent_dim': 7, 'opt_lr': 1.9468767462205146e-05, 'opt_wd': 4.228774385871771e-06}"
989,fcd0b46e,-0.1,"{'batch_size': 129, 'm_lambda': 1.3988935403484521, 'num_HL': 5, 'latent_dim': 3, 'opt_lr': 0.00020153518545610628, 'opt_wd': 5.487164262902743e-06}"
1233,0953079a,-0.1,"{'batch_size': 129, 'm_lambda': 0.1127142284103286, 'num_HL': 8, 'latent_dim': 8, 'opt_lr': 1.2815363219265571e-05, 'opt_wd': 3.1976061068578e-06}"
1502,a4669789,0.65,"{'batch_size': 64, 'm_lambda': 1.6126654151232287, 'num_HL': 7, 'latent_dim': 4, 'opt_lr': 3.6564768685452304e-05, 'opt_wd': 7.204318006500722e-06}"
1514,120df1a5,-0.1,"{'batch_size': 129, 'm_lambda': 1.802267817240855, 'num_HL': 7, 'latent_dim': 3, 'opt_lr': 0.0008902065039585855, 'opt_wd': 2.6873225548712576e-06}"
1778,cde6ed9f,0.6664705882352943,"{'batch_size': 64, 'm_lambda': 1.608741786490136, 'num_HL': 6, 'latent_dim': 8, 'opt_lr': 0.00018219713802177973, 'opt_wd': 6.60155435620155e-06}"
1951,0735686c,0.6755882352941177,"{'batch_size': 64, 'm_lambda': 2.8610405584399388, 'num_HL': 6, 'latent_dim': 6, 'opt_lr': 0.0003036627729225446, 'opt_wd': 6.000866563803256e-06}"
1961,02aa78a4,-0.1,"{'batch_size': 129, 'm_lambda': 2.2146936676281066, 'num_HL': 3, 'latent_dim': 9, 'opt_lr': 0.0001348323941548482, 'opt_wd': 6.8451954340040584e-06}"
1975,ff0e9a5b,-0.1,"{'batch_size': 129, 'm_lambda': 1.6909677743959766, 'num_HL': 8, 'latent_dim': 6, 'opt_lr': 0.00015297656749095262, 'opt_wd': 1.2474140043962669e-06}"
2093,392b286c,0.6911764705882353,"{'batch_size': 64, 'm_lambda': 2.3445115082384445, 'num_HL': 6, 'latent_dim': 5, 'opt_lr': 0.000398155684851004, 'opt_wd': 1.6847931661976769e-06}"
2301,513acd94,0.6735294117647059,"{'batch_size': 64, 'm_lambda': 0.26740819786005743, 'num_HL': 7, 'latent_dim': 6, 'opt_lr': 0.0003189904221929932, 'opt_wd': 8.124979302229313e-06}"
2428,979338b2,0.6735294117647059,"{'batch_size': 64, 'm_lambda': 1.9550751979103147, 'num_HL': 5, 'latent_dim': 4, 'opt_lr': 2.9177756326391996e-05, 'opt_wd': 6.46470410893791e-06}"
2723,40a4f933,0.6852941176470588,"{'batch_size': 64, 'm_lambda': 2.7392697272027386, 'num_HL': 4, 'latent_dim': 5, 'opt_lr': 0.0005954593634960516, 'opt_wd': 4.400954196116391e-06}"
2734,fc7e4ecc,0.6911764705882353,"{'batch_size': 64, 'm_lambda': 1.0455027803058026, 'num_HL': 6, 'latent_dim': 9, 'opt_lr': 0.0005240065568714946, 'opt_wd': 9.742735143757585e-06}"
2737,08cb159b,0.6994117647058824,"{'batch_size': 64, 'm_lambda': 2.9369258046533133, 'num_HL': 6, 'latent_dim': 8, 'opt_lr': 0.00023471887503618823, 'opt_wd': 9.136163575522593e-06}"
2888,afec35bd,0.7052941176470588,"{'batch_size': 64, 'm_lambda': 2.3673209227637235, 'num_HL': 6, 'latent_dim': 7, 'opt_lr': 0.0005520381339671163, 'opt_wd': 1.3010879296789666e-07}"
2926,96587b8a,0.6632352941176471,"{'batch_size': 64, 'm_lambda': 1.0734723391170813, 'num_HL': 5, 'latent_dim': 5, 'opt_lr': 2.88902521447205e-05, 'opt_wd': 3.541213485885312e-06}"
2968,84139016,0.6708823529411766,"{'batch_size': 64, 'm_lambda': 2.298918695960434, 'num_HL': 8, 'latent_dim': 7, 'opt_lr': 0.0002988846068667962, 'opt_wd': 5.770617028088437e-06}"
2970,b73c4312,0.6288235294117648,"{'batch_size': 64, 'm_lambda': 0.5813376054030426, 'num_HL': 5, 'latent_dim': 5, 'opt_lr': 1.4847449496581436e-05, 'opt_wd': 7.900377331312089e-06}"
2999,97e3e68c,0.6582352941176471,"{'batch_size': 64, 'm_lambda': 2.5665474644270185, 'num_HL': 7, 'latent_dim': 8, 'opt_lr': 5.155835027833233e-05, 'opt_wd': 5.5249738333707775e-06}"
3002,8431d7f2,0.711764705882353,"{'batch_size': 64, 'm_lambda': 0.4695899127247253, 'num_HL': 3, 'latent_dim': 6, 'opt_lr': 8.192438703750386e-05, 'opt_wd': 7.626145885425585e-07}"
3224,2803c400,0.7058823529411765,"{'batch_size': 64, 'm_lambda': 2.8133518231136287, 'num_HL': 7, 'latent_dim': 5, 'opt_lr': 0.0004299989911348488, 'opt_wd': 4.473941524651973e-06}"
3234,4cedf23c,0.5705882352941176,"{'batch_size': 64, 'm_lambda': 2.5370841110072893, 'num_HL': 4, 'latent_dim': 2, 'opt_lr': 0.0006875577487427785, 'opt_wd': 3.8785764385535105e-06}"
3246,713d113c,-0.1,"{'batch_size': 129, 'm_lambda': 0.38414740277182347, 'num_HL': 2, 'latent_dim': 2, 'opt_lr': 9.684196859295285e-05, 'opt_wd': 4.883670889771604e-06}"
3392,e105532a,0.6647058823529411,"{'batch_size': 64, 'm_lambda': 1.0586723091269745, 'num_HL': 6, 'latent_dim': 4, 'opt_lr': 0.0005222478499494032, 'opt_wd': 9.796827187281232e-06}"
3393,9cd45e3e,0.6911764705882353,"{'batch_size': 64, 'm_lambda': 2.0123100115592933, 'num_HL': 7, 'latent_dim': 7, 'opt_lr': 7.378586788805126e-05, 'opt_wd': 9.110350284947725e-06}"
3395,811eff14,0.6702941176470589,"{'batch_size': 64, 'm_lambda': 2.075923354146137, 'num_HL': 8, 'latent_dim': 8, 'opt_lr': 0.0007712242503160806, 'opt_wd': 2.3868886841641516e-06}"
3397,1280b21f,0.6776470588235295,"{'batch_size': 64, 'm_lambda': 1.0803410886772926, 'num_HL': 5, 'latent_dim': 9, 'opt_lr': 0.00020291942328321447, 'opt_wd': 9.971574727541838e-06}"
