iteration,trial_id,score,config
908,a6fbaf00,0.5692041522491349,"{'enc_size': 26, 'ae_conv_num': 2, 'ae_conv_kernel': 4, 'ae_conv_stride': 2, 'ae_conv_padding': 0, 'ae_dropout': 0.49731945703014213, 'ae_fc_num': 2, 'MC-red_dataset-kuhar.standartized_balanced[train]': 0, 'MC-red_dataset-motionsense.standartized_balanced[train]': 0, 'MC-red_dataset-uci.standartized_balanced[train]': 1, 'MC-red_dataset-wisdm.standartized_balanced[train]': 1, 'MC-red_dataset-realworld_thigh.standartized_balanced[train]': 0, 'MC-red_dataset-realworld_waist.standartized_balanced[train]': 0}"
911,195111e0,-inf,"{'enc_size': 33, 'ae_conv_num': 2, 'ae_conv_kernel': 3, 'ae_conv_stride': 1, 'ae_conv_padding': 1, 'ae_dropout': 0.3091891217009767, 'ae_fc_num': 1, 'MC-red_dataset-kuhar.standartized_balanced[train]': 0, 'MC-red_dataset-motionsense.standartized_balanced[train]': 0, 'MC-red_dataset-uci.standartized_balanced[train]': 0, 'MC-red_dataset-wisdm.standartized_balanced[train]': 0, 'MC-red_dataset-realworld_thigh.standartized_balanced[train]': 0, 'MC-red_dataset-realworld_waist.standartized_balanced[train]': 0}"
1056,1b68c9c2,0.579146520916544,"{'enc_size': 63, 'ae_conv_num': 3, 'ae_conv_kernel': 3, 'ae_conv_stride': 2, 'ae_conv_padding': 0, 'ae_dropout': 0.36592254629642385, 'ae_fc_num': 2, 'MC-red_dataset-kuhar.standartized_balanced[train]': 0, 'MC-red_dataset-motionsense.standartized_balanced[train]': 1, 'MC-red_dataset-uci.standartized_balanced[train]': 0, 'MC-red_dataset-wisdm.standartized_balanced[train]': 0, 'MC-red_dataset-realworld_thigh.standartized_balanced[train]': 1, 'MC-red_dataset-realworld_waist.standartized_balanced[train]': 1}"
1113,cfb8dec4,0.6528844450884734,"{'enc_size': 66, 'ae_conv_num': 3, 'ae_conv_kernel': 3, 'ae_conv_stride': 1, 'ae_conv_padding': 1, 'ae_dropout': 0.3540284158178678, 'ae_fc_num': 1, 'MC-red_dataset-kuhar.standartized_balanced[train]': 1, 'MC-red_dataset-motionsense.standartized_balanced[train]': 1, 'MC-red_dataset-uci.standartized_balanced[train]': 1, 'MC-red_dataset-wisdm.standartized_balanced[train]': 1, 'MC-red_dataset-realworld_thigh.standartized_balanced[train]': 1, 'MC-red_dataset-realworld_waist.standartized_balanced[train]': 1}"
1124,a6f99a46,0.6412409706006855,"{'enc_size': 13, 'ae_conv_num': 3, 'ae_conv_kernel': 3, 'ae_conv_stride': 2, 'ae_conv_padding': 0, 'ae_dropout': 0.3654604926151289, 'ae_fc_num': 2, 'MC-red_dataset-kuhar.standartized_balanced[train]': 1, 'MC-red_dataset-motionsense.standartized_balanced[train]': 1, 'MC-red_dataset-uci.standartized_balanced[train]': 1, 'MC-red_dataset-wisdm.standartized_balanced[train]': 0, 'MC-red_dataset-realworld_thigh.standartized_balanced[train]': 0, 'MC-red_dataset-realworld_waist.standartized_balanced[train]': 0}"
1202,bc9d8452,0.6954663303202298,"{'enc_size': 15, 'ae_conv_num': 2, 'ae_conv_kernel': 2, 'ae_conv_stride': 2, 'ae_conv_padding': 1, 'ae_dropout': 0.18621861283785252, 'ae_fc_num': 2, 'MC-red_dataset-kuhar.standartized_balanced[train]': 1, 'MC-red_dataset-motionsense.standartized_balanced[train]': 0, 'MC-red_dataset-uci.standartized_balanced[train]': 1, 'MC-red_dataset-wisdm.standartized_balanced[train]': 0, 'MC-red_dataset-realworld_thigh.standartized_balanced[train]': 0, 'MC-red_dataset-realworld_waist.standartized_balanced[train]': 1}"
1252,5ea18d5c,0.7869105178333684,"{'enc_size': 87, 'ae_conv_num': 2, 'ae_conv_kernel': 3, 'ae_conv_stride': 2, 'ae_conv_padding': 0, 'ae_dropout': 0.26669729138909104, 'ae_fc_num': 2, 'MC-red_dataset-kuhar.standartized_balanced[train]': 1, 'MC-red_dataset-motionsense.standartized_balanced[train]': 0, 'MC-red_dataset-uci.standartized_balanced[train]': 0, 'MC-red_dataset-wisdm.standartized_balanced[train]': 0, 'MC-red_dataset-realworld_thigh.standartized_balanced[train]': 1, 'MC-red_dataset-realworld_waist.standartized_balanced[train]': 1}"
1338,31f1f10e,0.7403125218975544,"{'enc_size': 60, 'ae_conv_num': 3, 'ae_conv_kernel': 3, 'ae_conv_stride': 2, 'ae_conv_padding': 0, 'ae_dropout': 0.47929986038587324, 'ae_fc_num': 0, 'MC-red_dataset-kuhar.standartized_balanced[train]': 1, 'MC-red_dataset-motionsense.standartized_balanced[train]': 0, 'MC-red_dataset-uci.standartized_balanced[train]': 0, 'MC-red_dataset-wisdm.standartized_balanced[train]': 0, 'MC-red_dataset-realworld_thigh.standartized_balanced[train]': 0, 'MC-red_dataset-realworld_waist.standartized_balanced[train]': 0}"
1348,241b43a1,0.6269896193771627,"{'enc_size': 52, 'ae_conv_num': 1, 'ae_conv_kernel': 3, 'ae_conv_stride': 2, 'ae_conv_padding': 1, 'ae_dropout': 0.19863620078966512, 'ae_fc_num': 2, 'MC-red_dataset-kuhar.standartized_balanced[train]': 0, 'MC-red_dataset-motionsense.standartized_balanced[train]': 1, 'MC-red_dataset-uci.standartized_balanced[train]': 1, 'MC-red_dataset-wisdm.standartized_balanced[train]': 1, 'MC-red_dataset-realworld_thigh.standartized_balanced[train]': 1, 'MC-red_dataset-realworld_waist.standartized_balanced[train]': 1}"
1457,2cdc3eef,0.7439329175717656,"{'enc_size': 40, 'ae_conv_num': 2, 'ae_conv_kernel': 4, 'ae_conv_stride': 2, 'ae_conv_padding': 0, 'ae_dropout': 0.31665034126439956, 'ae_fc_num': 2, 'MC-red_dataset-kuhar.standartized_balanced[train]': 0, 'MC-red_dataset-motionsense.standartized_balanced[train]': 1, 'MC-red_dataset-uci.standartized_balanced[train]': 0, 'MC-red_dataset-wisdm.standartized_balanced[train]': 0, 'MC-red_dataset-realworld_thigh.standartized_balanced[train]': 1, 'MC-red_dataset-realworld_waist.standartized_balanced[train]': 1}"
1508,6df025ad,0.7001153402537486,"{'enc_size': 79, 'ae_conv_num': 1, 'ae_conv_kernel': 3, 'ae_conv_stride': 2, 'ae_conv_padding': 1, 'ae_dropout': 0.37222173804728864, 'ae_fc_num': 2, 'MC-red_dataset-kuhar.standartized_balanced[train]': 1, 'MC-red_dataset-motionsense.standartized_balanced[train]': 1, 'MC-red_dataset-uci.standartized_balanced[train]': 0, 'MC-red_dataset-wisdm.standartized_balanced[train]': 1, 'MC-red_dataset-realworld_thigh.standartized_balanced[train]': 1, 'MC-red_dataset-realworld_waist.standartized_balanced[train]': 1}"
1558,be573b4a,0.7745629897528632,"{'enc_size': 61, 'ae_conv_num': 3, 'ae_conv_kernel': 4, 'ae_conv_stride': 2, 'ae_conv_padding': 1, 'ae_dropout': 0.3586613923099651, 'ae_fc_num': 0, 'MC-red_dataset-kuhar.standartized_balanced[train]': 0, 'MC-red_dataset-motionsense.standartized_balanced[train]': 0, 'MC-red_dataset-uci.standartized_balanced[train]': 1, 'MC-red_dataset-wisdm.standartized_balanced[train]': 0, 'MC-red_dataset-realworld_thigh.standartized_balanced[train]': 0, 'MC-red_dataset-realworld_waist.standartized_balanced[train]': 1}"
1607,a8c43826,0.7986738999397227,"{'enc_size': 47, 'ae_conv_num': 2, 'ae_conv_kernel': 3, 'ae_conv_stride': 2, 'ae_conv_padding': 0, 'ae_dropout': 0.36180424058761684, 'ae_fc_num': 0, 'MC-red_dataset-kuhar.standartized_balanced[train]': 0, 'MC-red_dataset-motionsense.standartized_balanced[train]': 0, 'MC-red_dataset-uci.standartized_balanced[train]': 1, 'MC-red_dataset-wisdm.standartized_balanced[train]': 0, 'MC-red_dataset-realworld_thigh.standartized_balanced[train]': 1, 'MC-red_dataset-realworld_waist.standartized_balanced[train]': 1}"
1814,e058606a,0.7950572634116937,"{'enc_size': 47, 'ae_conv_num': 3, 'ae_conv_kernel': 2, 'ae_conv_stride': 2, 'ae_conv_padding': 0, 'ae_dropout': 0.10627815420280304, 'ae_fc_num': 1, 'MC-red_dataset-kuhar.standartized_balanced[train]': 0, 'MC-red_dataset-motionsense.standartized_balanced[train]': 0, 'MC-red_dataset-uci.standartized_balanced[train]': 1, 'MC-red_dataset-wisdm.standartized_balanced[train]': 1, 'MC-red_dataset-realworld_thigh.standartized_balanced[train]': 1, 'MC-red_dataset-realworld_waist.standartized_balanced[train]': 1}"
1870,45ef5d59,0.8083182640144665,"{'enc_size': 88, 'ae_conv_num': 3, 'ae_conv_kernel': 2, 'ae_conv_stride': 2, 'ae_conv_padding': 0, 'ae_dropout': 0.24784244452454035, 'ae_fc_num': 3, 'MC-red_dataset-kuhar.standartized_balanced[train]': 1, 'MC-red_dataset-motionsense.standartized_balanced[train]': 0, 'MC-red_dataset-uci.standartized_balanced[train]': 1, 'MC-red_dataset-wisdm.standartized_balanced[train]': 1, 'MC-red_dataset-realworld_thigh.standartized_balanced[train]': 1, 'MC-red_dataset-realworld_waist.standartized_balanced[train]': 1}"
1901,13efa0a5,0.6320645905420992,"{'enc_size': 2, 'ae_conv_num': 3, 'ae_conv_kernel': 2, 'ae_conv_stride': 2, 'ae_conv_padding': 0, 'ae_dropout': 0.24332655075910406, 'ae_fc_num': 0, 'MC-red_dataset-kuhar.standartized_balanced[train]': 0, 'MC-red_dataset-motionsense.standartized_balanced[train]': 0, 'MC-red_dataset-uci.standartized_balanced[train]': 1, 'MC-red_dataset-wisdm.standartized_balanced[train]': 1, 'MC-red_dataset-realworld_thigh.standartized_balanced[train]': 1, 'MC-red_dataset-realworld_waist.standartized_balanced[train]': 1}"
