iteration,trial_id,score,config
5999,c8ef3d11,0.7270771205689593,"{'batch_size': 64, 'num_HL': 4, 'latent_dim': 3, 'num_CL': 3, 'size_CL': 22, 'kernel': 3, 'm_lambda': 2.4004499339737655, 'MC-red_dataset-kuhar.standartized_balanced[train]': 0, 'MC-red_dataset-motionsense.standartized_balanced[train]': 1, 'MC-red_dataset-uci.standartized_balanced[train]': 1, 'MC-red_dataset-wisdm.standartized_balanced[train]': 0, 'MC-red_dataset-realworld_thigh.standartized_balanced[train]': 0, 'MC-red_dataset-realworld_waist.standartized_balanced[train]': 0}"
16652,fb036b03,0.7582187009595623,"{'batch_size': 64, 'num_HL': 7, 'latent_dim': 15, 'num_CL': 4, 'size_CL': 12, 'kernel': 3, 'm_lambda': 0.922740069917306, 'MC-red_dataset-kuhar.standartized_balanced[train]': 0, 'MC-red_dataset-motionsense.standartized_balanced[train]': 0, 'MC-red_dataset-uci.standartized_balanced[train]': 1, 'MC-red_dataset-wisdm.standartized_balanced[train]': 1, 'MC-red_dataset-realworld_thigh.standartized_balanced[train]': 1, 'MC-red_dataset-realworld_waist.standartized_balanced[train]': 0}"
16866,0318c96d,0.743062237261316,"{'batch_size': 128, 'num_HL': 3, 'latent_dim': 7, 'num_CL': 3, 'size_CL': 17, 'kernel': 4, 'm_lambda': 1.4944348481745835, 'MC-red_dataset-kuhar.standartized_balanced[train]': 0, 'MC-red_dataset-motionsense.standartized_balanced[train]': 1, 'MC-red_dataset-uci.standartized_balanced[train]': 1, 'MC-red_dataset-wisdm.standartized_balanced[train]': 1, 'MC-red_dataset-realworld_thigh.standartized_balanced[train]': 1, 'MC-red_dataset-realworld_waist.standartized_balanced[train]': 1}"
17171,7f5db9d4,-0.001,"{'batch_size': 64, 'num_HL': 7, 'latent_dim': 13, 'num_CL': 3, 'size_CL': 21, 'kernel': 3, 'm_lambda': 1.2981530014279232, 'MC-red_dataset-kuhar.standartized_balanced[train]': 0, 'MC-red_dataset-motionsense.standartized_balanced[train]': 0, 'MC-red_dataset-uci.standartized_balanced[train]': 1, 'MC-red_dataset-wisdm.standartized_balanced[train]': 1, 'MC-red_dataset-realworld_thigh.standartized_balanced[train]': 1, 'MC-red_dataset-realworld_waist.standartized_balanced[train]': 1}"
18207,e13532bb,-0.001,"{'batch_size': 128, 'num_HL': 5, 'latent_dim': 12, 'num_CL': 3, 'size_CL': 17, 'kernel': 2, 'm_lambda': 2.1981708706991236, 'MC-red_dataset-kuhar.standartized_balanced[train]': 1, 'MC-red_dataset-motionsense.standartized_balanced[train]': 1, 'MC-red_dataset-uci.standartized_balanced[train]': 0, 'MC-red_dataset-wisdm.standartized_balanced[train]': 1, 'MC-red_dataset-realworld_thigh.standartized_balanced[train]': 1, 'MC-red_dataset-realworld_waist.standartized_balanced[train]': 1}"
20151,5ec1b4a8,-0.001,"{'batch_size': 128, 'num_HL': 6, 'latent_dim': 13, 'num_CL': 3, 'size_CL': 8, 'kernel': 2, 'm_lambda': 0.37958926939302673, 'MC-red_dataset-kuhar.standartized_balanced[train]': 1, 'MC-red_dataset-motionsense.standartized_balanced[train]': 0, 'MC-red_dataset-uci.standartized_balanced[train]': 1, 'MC-red_dataset-wisdm.standartized_balanced[train]': 1, 'MC-red_dataset-realworld_thigh.standartized_balanced[train]': 0, 'MC-red_dataset-realworld_waist.standartized_balanced[train]': 1}"
20225,ba31b551,-0.001,"{'batch_size': 64, 'num_HL': 7, 'latent_dim': 13, 'num_CL': 3, 'size_CL': 13, 'kernel': 4, 'm_lambda': 0.7239859866076758, 'MC-red_dataset-kuhar.standartized_balanced[train]': 0, 'MC-red_dataset-motionsense.standartized_balanced[train]': 1, 'MC-red_dataset-uci.standartized_balanced[train]': 1, 'MC-red_dataset-wisdm.standartized_balanced[train]': 0, 'MC-red_dataset-realworld_thigh.standartized_balanced[train]': 1, 'MC-red_dataset-realworld_waist.standartized_balanced[train]': 0}"
20302,83e8344e,-0.001,"{'batch_size': 64, 'num_HL': 6, 'latent_dim': 3, 'num_CL': 3, 'size_CL': 21, 'kernel': 3, 'm_lambda': 2.9381553332468586, 'MC-red_dataset-kuhar.standartized_balanced[train]': 0, 'MC-red_dataset-motionsense.standartized_balanced[train]': 1, 'MC-red_dataset-uci.standartized_balanced[train]': 0, 'MC-red_dataset-wisdm.standartized_balanced[train]': 1, 'MC-red_dataset-realworld_thigh.standartized_balanced[train]': 0, 'MC-red_dataset-realworld_waist.standartized_balanced[train]': 0}"
20382,2ce8768d,-0.001,"{'batch_size': 128, 'num_HL': 6, 'latent_dim': 11, 'num_CL': 3, 'size_CL': 21, 'kernel': 2, 'm_lambda': 1.7305815763290062, 'MC-red_dataset-kuhar.standartized_balanced[train]': 0, 'MC-red_dataset-motionsense.standartized_balanced[train]': 1, 'MC-red_dataset-uci.standartized_balanced[train]': 1, 'MC-red_dataset-wisdm.standartized_balanced[train]': 0, 'MC-red_dataset-realworld_thigh.standartized_balanced[train]': 1, 'MC-red_dataset-realworld_waist.standartized_balanced[train]': 0}"
20425,c1015ca9,-0.001,"{'batch_size': 128, 'num_HL': 8, 'latent_dim': 9, 'num_CL': 3, 'size_CL': 22, 'kernel': 3, 'm_lambda': 0.41405753987156546, 'MC-red_dataset-kuhar.standartized_balanced[train]': 1, 'MC-red_dataset-motionsense.standartized_balanced[train]': 0, 'MC-red_dataset-uci.standartized_balanced[train]': 1, 'MC-red_dataset-wisdm.standartized_balanced[train]': 1, 'MC-red_dataset-realworld_thigh.standartized_balanced[train]': 1, 'MC-red_dataset-realworld_waist.standartized_balanced[train]': 0}"
