iteration,trial_id,score,config
12,f60b4073,0.539906103286385,"{'batch_size': 128, 'num_HL': 3, 'latent_dim': 2, 'opt_lr': 0.0008433919879333507, 'opt_wd': 5.61279495746888e-06}"
26,8a3a0912,0.6220657276995305,"{'batch_size': 64, 'num_HL': 7, 'latent_dim': 62, 'opt_lr': 0.00036569925064497064, 'opt_wd': 8.41639868503792e-06}"
31,cca1d351,0.6415492957746479,"{'batch_size': 64, 'num_HL': 6, 'latent_dim': 7, 'opt_lr': 6.727515805480298e-05, 'opt_wd': 7.091109155806405e-06}"
36,e07e5d3a,0.5845070422535211,"{'batch_size': 128, 'num_HL': 8, 'latent_dim': 63, 'opt_lr': 1.4383247003386399e-05, 'opt_wd': 5.063345894832955e-06}"
44,f0d382e5,0.6288732394366198,"{'batch_size': 64, 'num_HL': 7, 'latent_dim': 62, 'opt_lr': 0.0005599066810285453, 'opt_wd': 4.941985126551546e-06}"
50,a487ed83,0.6211267605633803,"{'batch_size': 64, 'num_HL': 5, 'latent_dim': 74, 'opt_lr': 0.00014623990377899798, 'opt_wd': 2.2812096237967295e-06}"
62,bd48f8dc,0.6854460093896714,"{'batch_size': 64, 'num_HL': 5, 'latent_dim': 82, 'opt_lr': 0.000655227195061768, 'opt_wd': 4.735087391836746e-07}"
78,6707d874,0.7821596244131456,"{'batch_size': 64, 'num_HL': 2, 'latent_dim': 34, 'opt_lr': 0.00010690850296816827, 'opt_wd': 9.45370001653317e-06}"
81,eb9f39b8,0.7016431924882629,"{'batch_size': 128, 'num_HL': 4, 'latent_dim': 76, 'opt_lr': 4.8992233730287255e-05, 'opt_wd': 6.68416595484345e-06}"
89,af646cc9,0.6244131455399061,"{'batch_size': 64, 'num_HL': 8, 'latent_dim': 54, 'opt_lr': 5.4807449675892096e-05, 'opt_wd': 4.0450434906164115e-06}"
97,a7a784d1,0.711737089201878,"{'batch_size': 128, 'num_HL': 4, 'latent_dim': 66, 'opt_lr': 0.0001091459723649544, 'opt_wd': 5.338033665924858e-07}"
106,52ef30e2,0.6786384976525822,"{'batch_size': 128, 'num_HL': 5, 'latent_dim': 85, 'opt_lr': 0.0004887610184876106, 'opt_wd': 5.933618520086981e-07}"
110,2b37ea92,0.6002347417840376,"{'batch_size': 64, 'num_HL': 7, 'latent_dim': 22, 'opt_lr': 1.1155994369433555e-05, 'opt_wd': 6.732797454669066e-06}"
114,518cf0c5,0.7225352112676056,"{'batch_size': 64, 'num_HL': 6, 'latent_dim': 10, 'opt_lr': 1.7044476543450403e-05, 'opt_wd': 4.819057450584007e-06}"
119,558a036e,0.6976525821596244,"{'batch_size': 64, 'num_HL': 4, 'latent_dim': 15, 'opt_lr': 4.71977892507629e-05, 'opt_wd': 5.638540322943038e-06}"
125,0c797270,0.7539906103286386,"{'batch_size': 64, 'num_HL': 2, 'latent_dim': 15, 'opt_lr': 4.0664723364688294e-05, 'opt_wd': 5.7686384479881185e-06}"
128,c5f05b92,0.7955399061032864,"{'batch_size': 128, 'num_HL': 2, 'latent_dim': 39, 'opt_lr': 0.0002583561407681591, 'opt_wd': 7.5858427407642345e-06}"
145,470b50d9,0.7093896713615024,"{'batch_size': 128, 'num_HL': 4, 'latent_dim': 27, 'opt_lr': 0.00022014417781726997, 'opt_wd': 9.101561804993834e-06}"
170,5cacc210,0.636150234741784,"{'batch_size': 64, 'num_HL': 6, 'latent_dim': 11, 'opt_lr': 2.7077632048041632e-05, 'opt_wd': 3.6227865937689986e-06}"
172,59df317a,0.6086854460093897,"{'batch_size': 64, 'num_HL': 6, 'latent_dim': 32, 'opt_lr': 2.5732836926783163e-05, 'opt_wd': 8.242880047299962e-06}"
192,604f52f2,0.7629107981220657,"{'batch_size': 128, 'num_HL': 4, 'latent_dim': 31, 'opt_lr': 8.726457200757699e-05, 'opt_wd': 1.848758668547198e-08}"
201,0f3db59f,0.7586854460093898,"{'batch_size': 128, 'num_HL': 3, 'latent_dim': 41, 'opt_lr': 0.0001326008167118947, 'opt_wd': 4.298045649933822e-06}"
208,04268a76,0.7955399061032864,"{'batch_size': 128, 'num_HL': 2, 'latent_dim': 40, 'opt_lr': 0.00024880290199663093, 'opt_wd': 7.743074479920519e-06}"
218,24b3f604,0.7532863849765257,"{'batch_size': 128, 'num_HL': 3, 'latent_dim': 34, 'opt_lr': 0.00021541749523579522, 'opt_wd': 9.887942655903468e-06}"
