iteration,trial_id,score,config
2,0b539da3,-0.001,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 10, 'kernel': 3, 'num_HL': 2, 'latent_dim': 58, 'opt_lr': 6.769252554067753e-05, 'opt_wd': 7.148350589943471e-06}"
13,8927fa36,-0.001,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 14, 'kernel': 4, 'num_HL': 3, 'latent_dim': 75, 'opt_lr': 0.00013330482481806177, 'opt_wd': 5.182665604608339e-09}"
16,07052910,-0.001,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 15, 'kernel': 3, 'num_HL': 4, 'latent_dim': 18, 'opt_lr': 5.37947085591145e-05, 'opt_wd': 8.472962050771339e-06}"
19,9bb13297,-0.001,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 17, 'kernel': 4, 'num_HL': 2, 'latent_dim': 12, 'opt_lr': 0.000167914223808851, 'opt_wd': 5.698353718033457e-06}"
22,c6b4849f,-0.001,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 32, 'kernel': 2, 'num_HL': 3, 'latent_dim': 61, 'opt_lr': 0.0007811244372167258, 'opt_wd': 6.291698211070659e-06}"
25,2f724184,-0.001,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 6, 'kernel': 3, 'num_HL': 3, 'latent_dim': 76, 'opt_lr': 0.0005208867673928662, 'opt_wd': 2.8907085786407085e-06}"
28,ad3eddf0,-0.001,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 22, 'kernel': 3, 'num_HL': 3, 'latent_dim': 73, 'opt_lr': 0.00025505444752638726, 'opt_wd': 3.266428932777214e-06}"
31,0b0ac412,-0.001,"{'batch_size': 128, 'num_CL': 2, 'size_CL': 4, 'kernel': 2, 'num_HL': 2, 'latent_dim': 60, 'opt_lr': 7.95299653998118e-05, 'opt_wd': 6.353153337258563e-06}"
34,6dd8b6c0,-0.001,"{'batch_size': 128, 'num_CL': 2, 'size_CL': 13, 'kernel': 3, 'num_HL': 3, 'latent_dim': 33, 'opt_lr': 1.7659531396823454e-05, 'opt_wd': 8.798363956485766e-06}"
37,a4b21573,-0.001,"{'batch_size': 128, 'num_CL': 2, 'size_CL': 8, 'kernel': 3, 'num_HL': 4, 'latent_dim': 64, 'opt_lr': 0.0004567924481490892, 'opt_wd': 9.012098084554021e-06}"
40,30f6eb7b,-0.001,"{'batch_size': 128, 'num_CL': 2, 'size_CL': 2, 'kernel': 4, 'num_HL': 3, 'latent_dim': 16, 'opt_lr': 0.0008874299372891116, 'opt_wd': 1.7176346660806187e-06}"
43,657f9121,-0.001,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 14, 'kernel': 2, 'num_HL': 3, 'latent_dim': 36, 'opt_lr': 0.00010981786850627647, 'opt_wd': 5.334093053547116e-06}"
46,a84dc06d,-0.001,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 20, 'kernel': 4, 'num_HL': 3, 'latent_dim': 66, 'opt_lr': 0.000932788537549771, 'opt_wd': 9.523334529365201e-06}"
49,7c811b80,-0.001,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 20, 'kernel': 2, 'num_HL': 3, 'latent_dim': 22, 'opt_lr': 0.0001208044327798542, 'opt_wd': 1.735479892513836e-06}"
52,944a1784,-0.001,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 26, 'kernel': 2, 'num_HL': 3, 'latent_dim': 85, 'opt_lr': 0.000523316969357842, 'opt_wd': 9.089006277235614e-06}"
55,eeee987f,-0.001,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 16, 'kernel': 2, 'num_HL': 4, 'latent_dim': 13, 'opt_lr': 0.00010120915330632464, 'opt_wd': 5.363827568633085e-06}"
56,46ae3708,-0.001,"{'batch_size': 128, 'num_CL': 2, 'size_CL': 23, 'kernel': 3, 'num_HL': 3, 'latent_dim': 39, 'opt_lr': 1.5230810462285225e-05, 'opt_wd': 8.226624271780869e-07}"
