iteration,trial_id,score,config
22,7afdb8d0,0.7797058823529411,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 25, 'kernel': 3, 'num_HL': 3, 'latent_dim': 87, 'opt_lr': 0.00041153658150380447, 'opt_wd': 8.586579641356704e-06}"
26,5b465732,0.7617647058823529,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 19, 'kernel': 4, 'num_HL': 4, 'latent_dim': 26, 'opt_lr': 0.00021503356865796688, 'opt_wd': 4.568068291395507e-06}"
30,f8c59de4,0.7723529411764705,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 29, 'kernel': 2, 'num_HL': 3, 'latent_dim': 42, 'opt_lr': 0.0004233507411277174, 'opt_wd': 1.1717159091068375e-06}"
35,b05e347b,0.7441176470588236,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 24, 'kernel': 3, 'num_HL': 3, 'latent_dim': 37, 'opt_lr': 0.0004914205578380965, 'opt_wd': 2.2668949120404505e-06}"
39,4a6fd7a7,0.2,"{'batch_size': 64, 'num_CL': 2, 'size_CL': 18, 'kernel': 4, 'num_HL': 3, 'latent_dim': 16, 'opt_lr': 0.0005876013086741291, 'opt_wd': 9.043340836935635e-06}"
45,b8883836,0.7091176470588235,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 16, 'kernel': 3, 'num_HL': 4, 'latent_dim': 49, 'opt_lr': 3.479651227696216e-05, 'opt_wd': 7.30922719702961e-06}"
49,d5f644dc,0.2,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 14, 'kernel': 3, 'num_HL': 2, 'latent_dim': 35, 'opt_lr': 0.0003445374914169565, 'opt_wd': 4.8847832657862075e-06}"
51,949ca7ae,0.7794117647058824,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 17, 'kernel': 2, 'num_HL': 3, 'latent_dim': 46, 'opt_lr': 2.0025561307337563e-05, 'opt_wd': 8.96256003671148e-06}"
54,e7b573e3,0.7911764705882353,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 17, 'kernel': 2, 'num_HL': 3, 'latent_dim': 31, 'opt_lr': 3.195588433202931e-05, 'opt_wd': 5.663254964990546e-06}"
68,e91e3031,0.2,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 29, 'kernel': 3, 'num_HL': 2, 'latent_dim': 47, 'opt_lr': 0.00043004881011578716, 'opt_wd': 8.567181457269328e-06}"
73,295b0215,0.20294117647058824,"{'batch_size': 128, 'num_CL': 2, 'size_CL': 8, 'kernel': 3, 'num_HL': 4, 'latent_dim': 41, 'opt_lr': 0.00024217724767450698, 'opt_wd': 3.0283152815984065e-06}"
83,6c570c65,0.2,"{'batch_size': 128, 'num_CL': 2, 'size_CL': 13, 'kernel': 2, 'num_HL': 3, 'latent_dim': 28, 'opt_lr': 0.0008475164468498267, 'opt_wd': 4.050829809152742e-06}"
88,730b3613,0.7614705882352941,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 17, 'kernel': 3, 'num_HL': 3, 'latent_dim': 61, 'opt_lr': 0.00014534749135715336, 'opt_wd': 7.075581891026395e-07}"
93,8721f504,0.7352941176470589,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 5, 'kernel': 4, 'num_HL': 4, 'latent_dim': 19, 'opt_lr': 0.00032006668494278655, 'opt_wd': 1.0521005594348522e-06}"
95,8945f552,0.768235294117647,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 17, 'kernel': 2, 'num_HL': 3, 'latent_dim': 60, 'opt_lr': 0.00016964304392950026, 'opt_wd': 1.7013077771873055e-06}"
103,79bce0d3,0.7529411764705882,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 7, 'kernel': 4, 'num_HL': 2, 'latent_dim': 73, 'opt_lr': 7.971569942428783e-05, 'opt_wd': 6.979235333768008e-06}"
105,af34e693,0.7920588235294118,"{'batch_size': 128, 'num_CL': 2, 'size_CL': 10, 'kernel': 2, 'num_HL': 4, 'latent_dim': 42, 'opt_lr': 0.0003275940825366411, 'opt_wd': 1.290241367653453e-06}"
108,3ef57b61,0.7147058823529412,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 17, 'kernel': 3, 'num_HL': 4, 'latent_dim': 7, 'opt_lr': 3.283601468897461e-05, 'opt_wd': 9.086519243538099e-06}"
121,d2fbca87,0.611764705882353,"{'batch_size': 128, 'num_CL': 2, 'size_CL': 22, 'kernel': 3, 'num_HL': 3, 'latent_dim': 5, 'opt_lr': 5.3710872778482975e-05, 'opt_wd': 6.127070574740202e-06}"
131,b4589790,0.8,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 32, 'kernel': 4, 'num_HL': 3, 'latent_dim': 63, 'opt_lr': 1.1554532387004737e-05, 'opt_wd': 7.3220697776494995e-06}"
135,f8bd74a4,0.7705882352941177,"{'batch_size': 128, 'num_CL': 2, 'size_CL': 27, 'kernel': 3, 'num_HL': 3, 'latent_dim': 16, 'opt_lr': 0.0009795232557696855, 'opt_wd': 5.821168575703781e-06}"
144,34520fa4,0.7676470588235295,"{'batch_size': 64, 'num_CL': 2, 'size_CL': 3, 'kernel': 2, 'num_HL': 4, 'latent_dim': 54, 'opt_lr': 0.00010348298323254682, 'opt_wd': 1.0167464372642715e-07}"
147,432bbdb5,0.788235294117647,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 21, 'kernel': 3, 'num_HL': 3, 'latent_dim': 56, 'opt_lr': 2.0621345359104495e-05, 'opt_wd': 9.911114573588715e-06}"
153,f72a3e37,0.7926470588235295,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 6, 'kernel': 2, 'num_HL': 2, 'latent_dim': 82, 'opt_lr': 0.0002443518932011273, 'opt_wd': 8.531315706128029e-06}"
171,2cd95782,0.7458823529411764,"{'batch_size': 128, 'num_CL': 2, 'size_CL': 10, 'kernel': 2, 'num_HL': 4, 'latent_dim': 30, 'opt_lr': 4.482124353103749e-05, 'opt_wd': 2.6113138020560894e-06}"
174,4bfb0649,0.818235294117647,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 31, 'kernel': 4, 'num_HL': 4, 'latent_dim': 66, 'opt_lr': 1.0492544941367974e-05, 'opt_wd': 7.396913621957174e-06}"
178,fcef67bb,0.8029411764705883,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 25, 'kernel': 2, 'num_HL': 2, 'latent_dim': 69, 'opt_lr': 0.00011473551515478491, 'opt_wd': 8.233462752676416e-06}"
185,3cb385f7,0.2,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 20, 'kernel': 4, 'num_HL': 4, 'latent_dim': 79, 'opt_lr': 0.0006492479721433848, 'opt_wd': 9.970364284035779e-06}"
188,e7a42c2f,0.7,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 22, 'kernel': 2, 'num_HL': 3, 'latent_dim': 89, 'opt_lr': 7.036210342333985e-05, 'opt_wd': 6.172633942501935e-06}"
207,6703aaea,0.7547058823529411,"{'batch_size': 128, 'num_CL': 2, 'size_CL': 3, 'kernel': 4, 'num_HL': 4, 'latent_dim': 75, 'opt_lr': 0.0007608023282698272, 'opt_wd': 2.8093579929203714e-08}"
222,fcc2deeb,0.7938235294117647,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 31, 'kernel': 4, 'num_HL': 2, 'latent_dim': 84, 'opt_lr': 0.0002566474601678904, 'opt_wd': 6.905037036864455e-06}"
226,5c885b75,0.7852941176470588,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 32, 'kernel': 4, 'num_HL': 4, 'latent_dim': 67, 'opt_lr': 1.0396734075145817e-05, 'opt_wd': 7.80558131897955e-06}"
229,f2cc28aa,0.7282352941176471,"{'batch_size': 64, 'num_CL': 2, 'size_CL': 10, 'kernel': 2, 'num_HL': 4, 'latent_dim': 21, 'opt_lr': 1.85951197232614e-05, 'opt_wd': 3.5613203882554096e-06}"
250,54b13475,0.8044117647058824,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 26, 'kernel': 3, 'num_HL': 2, 'latent_dim': 70, 'opt_lr': 0.00011673233885866764, 'opt_wd': 6.462543555943586e-06}"
267,e394b419,0.2,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 25, 'kernel': 4, 'num_HL': 3, 'latent_dim': 81, 'opt_lr': 0.00013753976228872503, 'opt_wd': 5.130664224873684e-06}"
269,54ea8fec,0.788235294117647,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 23, 'kernel': 2, 'num_HL': 3, 'latent_dim': 65, 'opt_lr': 4.163119118012863e-05, 'opt_wd': 9.408885466067753e-06}"
280,2770e669,0.8014705882352942,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 24, 'kernel': 4, 'num_HL': 2, 'latent_dim': 67, 'opt_lr': 7.82514805267559e-05, 'opt_wd': 9.486958227842675e-06}"
285,8c531928,0.7294117647058823,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 31, 'kernel': 3, 'num_HL': 4, 'latent_dim': 71, 'opt_lr': 1.4287641110512664e-05, 'opt_wd': 8.16101059559493e-06}"
310,bfce362a,0.8088235294117647,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 28, 'kernel': 3, 'num_HL': 2, 'latent_dim': 50, 'opt_lr': 4.949272387289273e-05, 'opt_wd': 8.031576672362218e-06}"
313,fddbf731,0.8105882352941176,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 19, 'kernel': 3, 'num_HL': 2, 'latent_dim': 86, 'opt_lr': 0.00019251805800506107, 'opt_wd': 7.52191687773728e-06}"
323,0c83e761,0.6911764705882353,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 27, 'kernel': 3, 'num_HL': 4, 'latent_dim': 44, 'opt_lr': 1.6771358877420937e-05, 'opt_wd': 3.5827107397220004e-06}"
325,26a0d1f6,0.8005882352941176,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 11, 'kernel': 4, 'num_HL': 2, 'latent_dim': 54, 'opt_lr': 0.00017388050870716166, 'opt_wd': 5.362121592948384e-06}"
329,2bffaf66,0.8029411764705883,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 30, 'kernel': 3, 'num_HL': 2, 'latent_dim': 57, 'opt_lr': 6.366886863242177e-05, 'opt_wd': 6.954825223801864e-06}"
334,e183d43b,0.7794117647058824,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 27, 'kernel': 4, 'num_HL': 4, 'latent_dim': 35, 'opt_lr': 9.674347939585939e-05, 'opt_wd': 6.4996698756797e-06}"
345,b102a2c2,0.8152941176470587,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 29, 'kernel': 2, 'num_HL': 2, 'latent_dim': 76, 'opt_lr': 2.517128009987164e-05, 'opt_wd': 4.418264711529078e-06}"
354,3cb97ad8,0.2,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 15, 'kernel': 3, 'num_HL': 2, 'latent_dim': 90, 'opt_lr': 0.0005548586231101642, 'opt_wd': 5.415518271257424e-06}"
368,2899fc52,0.2,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 20, 'kernel': 3, 'num_HL': 4, 'latent_dim': 79, 'opt_lr': 0.00019470052826951528, 'opt_wd': 8.587763905220367e-06}"
373,1b10ecd6,0.7882352941176471,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 18, 'kernel': 4, 'num_HL': 4, 'latent_dim': 84, 'opt_lr': 0.00037217194769358574, 'opt_wd': 7.676470705486259e-06}"
386,9b0f3718,0.7641176470588235,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 30, 'kernel': 2, 'num_HL': 3, 'latent_dim': 74, 'opt_lr': 2.372049915512684e-05, 'opt_wd': 4.0869991049143764e-06}"
397,cf605539,0.7685294117647058,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 28, 'kernel': 4, 'num_HL': 3, 'latent_dim': 50, 'opt_lr': 2.618269380247113e-05, 'opt_wd': 8.949880122280284e-06}"
400,bb0a8532,0.8020588235294118,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 12, 'kernel': 4, 'num_HL': 2, 'latent_dim': 39, 'opt_lr': 0.00028033698737419093, 'opt_wd': 4.774894963712342e-06}"
418,0d8fe004,0.7941176470588235,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 23, 'kernel': 2, 'num_HL': 2, 'latent_dim': 60, 'opt_lr': 3.614395722834851e-05, 'opt_wd': 2.9948793452458177e-06}"
422,3cf2b248,0.8173529411764706,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 31, 'kernel': 2, 'num_HL': 4, 'latent_dim': 65, 'opt_lr': 1.0321400539602255e-05, 'opt_wd': 3.5693987357682896e-06}"
430,14832fd5,0.7991176470588235,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 26, 'kernel': 2, 'num_HL': 3, 'latent_dim': 57, 'opt_lr': 1.6099490103125953e-05, 'opt_wd': 5.874419362518359e-06}"
435,00e6bf90,0.7223529411764706,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 19, 'kernel': 3, 'num_HL': 3, 'latent_dim': 61, 'opt_lr': 0.00020306770024212625, 'opt_wd': 7.389063447586226e-06}"
445,3f55a23c,0.7891176470588235,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 24, 'kernel': 3, 'num_HL': 2, 'latent_dim': 47, 'opt_lr': 5.976167613235169e-05, 'opt_wd': 3.0013645044760102e-06}"
452,d6500451,0.6176470588235294,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 29, 'kernel': 2, 'num_HL': 4, 'latent_dim': 12, 'opt_lr': 2.9324322143054442e-05, 'opt_wd': 4.5486318324515814e-06}"
470,ae124f01,0.768235294117647,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 29, 'kernel': 2, 'num_HL': 3, 'latent_dim': 76, 'opt_lr': 1.3695324085859428e-05, 'opt_wd': 2.0845170585572096e-06}"
