iteration,trial_id,score,config
26,d4976205,0.8085294117647059,"{'batch_size': 64, 'm_lambda': 0.9884133175397095, 'num_HL': 5, 'latent_dim': 83, 'opt_lr': 0.0007514583862159185, 'opt_wd': 1.1669335726967e-06}"
34,278f6126,0.7279411764705883,"{'batch_size': 64, 'm_lambda': 2.2171763608537174, 'num_HL': 8, 'latent_dim': 73, 'opt_lr': 7.513202169370086e-05, 'opt_wd': 8.634770929903771e-06}"
98,46f9f983,0.7755882352941177,"{'batch_size': 64, 'm_lambda': 2.251280134372507, 'num_HL': 3, 'latent_dim': 62, 'opt_lr': 0.00038684709232187617, 'opt_wd': 6.8921172835396165e-06}"
100,d6a63dbf,0.771470588235294,"{'batch_size': 64, 'm_lambda': 0.4174013928139736, 'num_HL': 5, 'latent_dim': 84, 'opt_lr': 3.036846608996331e-05, 'opt_wd': 8.536662973786864e-06}"
127,bbe26d74,0.7147058823529412,"{'batch_size': 128, 'm_lambda': 2.1429925111465034, 'num_HL': 2, 'latent_dim': 4, 'opt_lr': 0.00011213897320428736, 'opt_wd': 5.043155795746979e-06}"
131,4a2a52eb,0.7785294117647059,"{'batch_size': 64, 'm_lambda': 1.5878927220353274, 'num_HL': 4, 'latent_dim': 11, 'opt_lr': 4.378284778173551e-05, 'opt_wd': 2.9486275449383605e-06}"
146,9cf36759,0.7652941176470588,"{'batch_size': 128, 'm_lambda': 2.7375559562156337, 'num_HL': 6, 'latent_dim': 27, 'opt_lr': 4.05857807646994e-05, 'opt_wd': 3.6660195127992495e-06}"
148,fd80740f,0.7623529411764706,"{'batch_size': 64, 'm_lambda': 2.264240939013423, 'num_HL': 7, 'latent_dim': 89, 'opt_lr': 0.0006166886955155807, 'opt_wd': 7.158885330354749e-06}"
169,9bb19696,0.778235294117647,"{'batch_size': 64, 'm_lambda': 0.4949446705293228, 'num_HL': 2, 'latent_dim': 28, 'opt_lr': 0.00049444356869312, 'opt_wd': 5.806402533117012e-06}"
192,f1deef66,0.788235294117647,"{'batch_size': 64, 'm_lambda': 2.688888791992305, 'num_HL': 6, 'latent_dim': 6, 'opt_lr': 0.000596655706158166, 'opt_wd': 1.6571958546691812e-06}"
216,3b6a16d3,0.7652941176470588,"{'batch_size': 128, 'm_lambda': 0.4160796866039944, 'num_HL': 6, 'latent_dim': 19, 'opt_lr': 0.00013157854501002036, 'opt_wd': 7.124203356144855e-07}"
220,bbaf9afe,0.7876470588235294,"{'batch_size': 128, 'm_lambda': 2.8679316901044603, 'num_HL': 4, 'latent_dim': 9, 'opt_lr': 0.00014565200133105212, 'opt_wd': 8.129384021785401e-06}"
230,b1e98f30,0.78,"{'batch_size': 64, 'm_lambda': 1.9558859006260807, 'num_HL': 6, 'latent_dim': 78, 'opt_lr': 0.000863608649374486, 'opt_wd': 4.173218938293895e-06}"
243,7b9629db,0.7473529411764706,"{'batch_size': 64, 'm_lambda': 0.55184288093921, 'num_HL': 6, 'latent_dim': 78, 'opt_lr': 1.2460128495091152e-05, 'opt_wd': 8.090323440133552e-07}"
251,6f435cbf,0.7208823529411765,"{'batch_size': 64, 'm_lambda': 0.8865121918962725, 'num_HL': 7, 'latent_dim': 47, 'opt_lr': 0.0009927015896701488, 'opt_wd': 1.969930849280098e-06}"
258,fe3bf090,0.8300000000000001,"{'batch_size': 64, 'm_lambda': 1.3633418415117622, 'num_HL': 3, 'latent_dim': 65, 'opt_lr': 0.00037078529467444397, 'opt_wd': 4.187467296105918e-07}"
261,95ba6419,0.8247058823529411,"{'batch_size': 128, 'm_lambda': 0.46380124105276455, 'num_HL': 3, 'latent_dim': 75, 'opt_lr': 0.00023571330536303146, 'opt_wd': 9.102637561738853e-06}"
266,e7d57ba9,0.7770588235294117,"{'batch_size': 64, 'm_lambda': 2.511581914964049, 'num_HL': 4, 'latent_dim': 21, 'opt_lr': 0.0003953362919151817, 'opt_wd': 4.180912629027999e-06}"
269,a758eb2e,0.75,"{'batch_size': 64, 'm_lambda': 1.2099169767582336, 'num_HL': 7, 'latent_dim': 56, 'opt_lr': 1.2001978682181704e-05, 'opt_wd': 8.714845769035499e-06}"
274,16034920,0.7820588235294117,"{'batch_size': 128, 'm_lambda': 0.5566924186640575, 'num_HL': 4, 'latent_dim': 13, 'opt_lr': 0.00022107378595693649, 'opt_wd': 1.1467050166634252e-06}"
277,0dbdefb8,0.7852941176470588,"{'batch_size': 64, 'm_lambda': 0.9876440507917924, 'num_HL': 5, 'latent_dim': 38, 'opt_lr': 0.0008874889458646239, 'opt_wd': 2.071465119357354e-06}"
291,84d6fc77,0.6558823529411765,"{'batch_size': 64, 'm_lambda': 1.0064511496366944, 'num_HL': 8, 'latent_dim': 2, 'opt_lr': 0.00023443102142136675, 'opt_wd': 1.5437257302091334e-07}"
295,4495484a,0.8029411764705883,"{'batch_size': 64, 'm_lambda': 1.772259669524407, 'num_HL': 5, 'latent_dim': 40, 'opt_lr': 0.0006643163080679018, 'opt_wd': 1.950771914651237e-06}"
