iteration,trial_id,score,config
138,9469c527,-0.1,"{'umap_ncomp': 16, 'umap_spread': 0.7785182595494844, 'umap_mdist': 1.0141799526531525, 'umap_neigh': 45, 'umap_epochs': 582}"
152,6f9624ed,-0.1,"{'umap_ncomp': 3, 'umap_spread': 0.03476818311962182, 'umap_mdist': 1.828233766814536, 'umap_neigh': 123, 'umap_epochs': 320}"
253,e97c9d6b,-0.1,"{'umap_ncomp': 7, 'umap_spread': 1.0603558125328616, 'umap_mdist': 1.0795232882666588, 'umap_neigh': 187, 'umap_epochs': 427}"
269,83a16ede,-0.1,"{'umap_ncomp': 16, 'umap_spread': 0.16612056575446488, 'umap_mdist': 1.8950120863991629, 'umap_neigh': 120, 'umap_epochs': 502}"
285,3ad9e54c,-0.1,"{'umap_ncomp': 10, 'umap_spread': 1.236589418772305, 'umap_mdist': 1.7155068654081087, 'umap_neigh': 182, 'umap_epochs': 589}"
417,41049338,0.29666666666666663,"{'umap_ncomp': 6, 'umap_spread': 1.3353311351581916, 'umap_mdist': 1.2462514627596082, 'umap_neigh': 130, 'umap_epochs': 222}"
436,ce353b09,0.42857142857142855,"{'umap_ncomp': 15, 'umap_spread': 1.9475992069521082, 'umap_mdist': 1.8285147477711188, 'umap_neigh': 60, 'umap_epochs': 416}"
588,cfce73f5,0.24047619047619048,"{'umap_ncomp': 11, 'umap_spread': 1.6759650448693562, 'umap_mdist': 0.2932789200437198, 'umap_neigh': 148, 'umap_epochs': 327}"
603,d65bfe78,-0.1,"{'umap_ncomp': 13, 'umap_spread': 0.14598368327016065, 'umap_mdist': 1.1228789438235902, 'umap_neigh': 60, 'umap_epochs': 366}"
708,2aab91fa,0.44047619047619047,"{'umap_ncomp': 14, 'umap_spread': 1.8103241211466816, 'umap_mdist': 1.1711968900749214, 'umap_neigh': 35, 'umap_epochs': 235}"
723,f3c6879f,-0.1,"{'umap_ncomp': 6, 'umap_spread': 0.1921174104888559, 'umap_mdist': 0.5494624445691567, 'umap_neigh': 7, 'umap_epochs': 519}"
731,5d292cc6,0.5261904761904762,"{'umap_ncomp': 15, 'umap_spread': 0.6365486890190855, 'umap_mdist': 0.39155221102393245, 'umap_neigh': 18, 'umap_epochs': 506}"
740,d73a9305,-0.1,"{'umap_ncomp': 4, 'umap_spread': 0.9121399280139764, 'umap_mdist': 1.9605841305192642, 'umap_neigh': 64, 'umap_epochs': 466}"
748,5eddaa7b,-0.1,"{'umap_ncomp': 16, 'umap_spread': 1.1581759476299966, 'umap_mdist': 1.7049856359553317, 'umap_neigh': 127, 'umap_epochs': 338}"
762,1380a0f1,-0.1,"{'umap_ncomp': 12, 'umap_spread': 0.7199042289784023, 'umap_mdist': 0.972044778892684, 'umap_neigh': 32, 'umap_epochs': 435}"
783,72f23048,0.25476190476190474,"{'umap_ncomp': 7, 'umap_spread': 0.6183664144897174, 'umap_mdist': 0.23827410410275163, 'umap_neigh': 151, 'umap_epochs': 354}"
911,4405bee1,0.569047619047619,"{'umap_ncomp': 13, 'umap_spread': 1.9807573787450818, 'umap_mdist': 1.0123953168293263, 'umap_neigh': 13, 'umap_epochs': 500}"
913,b5817c9d,0.319047619047619,"{'umap_ncomp': 13, 'umap_spread': 1.9805250978421585, 'umap_mdist': 0.5189272363031214, 'umap_neigh': 67, 'umap_epochs': 300}"
