iteration,trial_id,score,config
78,fcf0adde,-0.1,"{'umap_ncomp': 2, 'umap_spread': 1.3094303158673242, 'umap_mdist': 1.441309952341181, 'umap_neigh': 177, 'umap_epochs': 443}"
248,e58f2900,-0.1,"{'umap_ncomp': 5, 'umap_spread': 1.7949775491868356, 'umap_mdist': 1.9797870331021499, 'umap_neigh': 87, 'umap_epochs': 548}"
269,147a2087,-0.1,"{'umap_ncomp': 8, 'umap_spread': 0.659391287709167, 'umap_mdist': 1.346608860080949, 'umap_neigh': 137, 'umap_epochs': 273}"
636,ab72db84,0.41693635382955774,"{'umap_ncomp': 3, 'umap_spread': 1.929446737269683, 'umap_mdist': 0.8316223321422449, 'umap_neigh': 17, 'umap_epochs': 274}"
716,03fc0f5b,0.46763754045307443,"{'umap_ncomp': 8, 'umap_spread': 1.6090502800249782, 'umap_mdist': 1.088686479132027, 'umap_neigh': 119, 'umap_epochs': 508}"
737,bd6447b0,-0.1,"{'umap_ncomp': 2, 'umap_spread': 1.2287667121992196, 'umap_mdist': 1.8591489526440286, 'umap_neigh': 162, 'umap_epochs': 278}"
968,681d48bc,0.38996763754045305,"{'umap_ncomp': 4, 'umap_spread': 1.1697178848704761, 'umap_mdist': 0.974853941300575, 'umap_neigh': 181, 'umap_epochs': 583}"
1033,ab8522fa,0.3365695792880259,"{'umap_ncomp': 2, 'umap_spread': 0.9386338566921, 'umap_mdist': 0.3176735144383618, 'umap_neigh': 118, 'umap_epochs': 166}"
1053,ca391332,-0.1,"{'umap_ncomp': 9, 'umap_spread': 0.6493649816097089, 'umap_mdist': 0.6784301015860261, 'umap_neigh': 150, 'umap_epochs': 522}"
1132,8867adc8,0.34735706580366776,"{'umap_ncomp': 6, 'umap_spread': 1.5285554706894815, 'umap_mdist': 0.057417348419241954, 'umap_neigh': 185, 'umap_epochs': 368}"
1152,2822706a,-0.1,"{'umap_ncomp': 3, 'umap_spread': 1.4458326517872266, 'umap_mdist': 1.0394543628674082, 'umap_neigh': 24, 'umap_epochs': 321}"
1171,332dbc85,-0.1,"{'umap_ncomp': 5, 'umap_spread': 0.1589125202254822, 'umap_mdist': 0.17043777492028123, 'umap_neigh': 58, 'umap_epochs': 383}"
1191,08d783a4,-0.1,"{'umap_ncomp': 8, 'umap_spread': 0.3483972654766756, 'umap_mdist': 1.831451980379683, 'umap_neigh': 51, 'umap_epochs': 308}"
1211,a2329bf8,-0.1,"{'umap_ncomp': 9, 'umap_spread': 0.41694073629875095, 'umap_mdist': 1.3050787915223323, 'umap_neigh': 34, 'umap_epochs': 405}"
1295,0cc32dd7,0.32416396979503775,"{'umap_ncomp': 7, 'umap_spread': 1.0683824861675486, 'umap_mdist': 0.27822783769762793, 'umap_neigh': 151, 'umap_epochs': 280}"
1315,db50b13d,-0.1,"{'umap_ncomp': 3, 'umap_spread': 1.3240505580002928, 'umap_mdist': 1.5480844389815573, 'umap_neigh': 197, 'umap_epochs': 181}"
1335,fc0ebcec,-0.1,"{'umap_ncomp': 5, 'umap_spread': 0.9347984731200485, 'umap_mdist': 1.6638635857268882, 'umap_neigh': 87, 'umap_epochs': 280}"
1336,7652669b,0.35436893203883496,"{'umap_ncomp': 7, 'umap_spread': 1.2381922643140972, 'umap_mdist': 0.7280852480581412, 'umap_neigh': 192, 'umap_epochs': 214}"
1627,ad2dfa79,0.39212513484358147,"{'umap_ncomp': 8, 'umap_spread': 1.5531861512383969, 'umap_mdist': 0.7901979694461125, 'umap_neigh': 199, 'umap_epochs': 449}"
1646,429d0810,0.32524271844660196,"{'umap_ncomp': 2, 'umap_spread': 1.979708572858277, 'umap_mdist': 0.4471157549842957, 'umap_neigh': 41, 'umap_epochs': 480}"
