iteration,trial_id,score,config
104,0fd0239a,-0.1,"{'umap_ncomp': 17, 'umap_spread': 0.17090958202654272, 'umap_mdist': 0.7905562225019813, 'umap_neigh': 88, 'umap_epochs': 176}"
982,ba43117a,0.5485436893203883,"{'umap_ncomp': 10, 'umap_spread': 1.0865334352698823, 'umap_mdist': 0.4306201630409512, 'umap_neigh': 81, 'umap_epochs': 317}"
1029,37704b4b,0.4919093851132686,"{'umap_ncomp': 11, 'umap_spread': 1.9665428540372651, 'umap_mdist': 0.08682388300713284, 'umap_neigh': 116, 'umap_epochs': 259}"
1363,c689119a,0.5585760517799353,"{'umap_ncomp': 12, 'umap_spread': 0.7845508710209645, 'umap_mdist': 0.04181288864431698, 'umap_neigh': 23, 'umap_epochs': 165}"
1374,dcd7494c,0.5318230852211435,"{'umap_ncomp': 11, 'umap_spread': 1.4408657558394573, 'umap_mdist': 0.6726489094771613, 'umap_neigh': 90, 'umap_epochs': 474}"
1375,2b76240b,-0.1,"{'umap_ncomp': 5, 'umap_spread': 0.8172363657248549, 'umap_mdist': 0.8696512946852373, 'umap_neigh': 149, 'umap_epochs': 474}"
1469,f94e854e,0.33775620280474644,"{'umap_ncomp': 3, 'umap_spread': 1.1681410334995284, 'umap_mdist': 0.4372096911569796, 'umap_neigh': 179, 'umap_epochs': 450}"
1489,d0e40b6b,-0.1,"{'umap_ncomp': 3, 'umap_spread': 0.6538712275831104, 'umap_mdist': 0.7680196773887553, 'umap_neigh': 27, 'umap_epochs': 230}"
1855,52285e2a,0.551779935275081,"{'umap_ncomp': 11, 'umap_spread': 1.606710556332075, 'umap_mdist': 0.45552212622163424, 'umap_neigh': 48, 'umap_epochs': 426}"
1857,7d6f4139,0.5450916936353829,"{'umap_ncomp': 15, 'umap_spread': 1.4087476707904638, 'umap_mdist': 1.2047232170279527, 'umap_neigh': 131, 'umap_epochs': 355}"
1859,732f5952,0.5226537216828478,"{'umap_ncomp': 14, 'umap_spread': 1.865711752779568, 'umap_mdist': 1.193650713112588, 'umap_neigh': 93, 'umap_epochs': 282}"
1880,67065510,-0.1,"{'umap_ncomp': 10, 'umap_spread': 0.33357105146395827, 'umap_mdist': 0.39568240214806094, 'umap_neigh': 84, 'umap_epochs': 159}"
2104,35f1d363,0.5302049622437972,"{'umap_ncomp': 3, 'umap_spread': 1.881327697804174, 'umap_mdist': 0.3283964586056607, 'umap_neigh': 12, 'umap_epochs': 510}"
