iteration,trial_id,score,config
175,cb8d08eb,-0.1,"{'umap_ncomp': 11, 'umap_spread': 1.290888451046222, 'umap_mdist': 1.4669538755986038, 'umap_neigh': 89, 'umap_epochs': 354}"
182,cf1c6a07,-0.1,"{'umap_ncomp': 12, 'umap_spread': 1.1844063223554175, 'umap_mdist': 1.5001986421613867, 'umap_neigh': 131, 'umap_epochs': 357}"
282,0884c5f5,-0.1,"{'umap_ncomp': 10, 'umap_spread': 0.5518106995146741, 'umap_mdist': 1.2144919751459977, 'umap_neigh': 114, 'umap_epochs': 380}"
289,f919b877,-0.1,"{'umap_ncomp': 15, 'umap_spread': 1.5375424787749659, 'umap_mdist': 1.8508439881627137, 'umap_neigh': 194, 'umap_epochs': 280}"
296,31f47434,-0.1,"{'umap_ncomp': 14, 'umap_spread': 0.7254809562380278, 'umap_mdist': 1.1646956522823588, 'umap_neigh': 185, 'umap_epochs': 226}"
300,ca1845b6,0.7114705882352941,"{'umap_ncomp': 12, 'umap_spread': 0.6964311236252807, 'umap_mdist': 0.5466152788300451, 'umap_neigh': 8, 'umap_epochs': 561}"
401,5d5144f9,0.5411764705882353,"{'umap_ncomp': 11, 'umap_spread': 0.7603387732990385, 'umap_mdist': 0.1930662600233919, 'umap_neigh': 43, 'umap_epochs': 368}"
444,b52cf3d7,0.3764705882352941,"{'umap_ncomp': 17, 'umap_spread': 0.6602267030439866, 'umap_mdist': 0.041337229393059394, 'umap_neigh': 94, 'umap_epochs': 363}"
492,def34d40,0.4176470588235294,"{'umap_ncomp': 6, 'umap_spread': 1.6544908538662244, 'umap_mdist': 0.08027025106105978, 'umap_neigh': 77, 'umap_epochs': 188}"
499,d86a154e,-0.1,"{'umap_ncomp': 10, 'umap_spread': 1.3454283583775475, 'umap_mdist': 1.7390262889520665, 'umap_neigh': 156, 'umap_epochs': 570}"
505,02b40fc2,-0.1,"{'umap_ncomp': 15, 'umap_spread': 0.3434641856419953, 'umap_mdist': 1.7624486582292795, 'umap_neigh': 160, 'umap_epochs': 165}"
506,8898a338,0.3176470588235294,"{'umap_ncomp': 17, 'umap_spread': 0.9964704161938085, 'umap_mdist': 0.7568462796844837, 'umap_neigh': 142, 'umap_epochs': 307}"
