trial_id,config,error_type,error_message,error_traceback
cb8d08eb,"{'umap_ncomp': 11, 'umap_spread': 1.290888451046222, 'umap_mdist': 1.4669538755986038, 'umap_neigh': 89, 'umap_epochs': 354}",<class 'ValueError'>,min_dist must be less than or equal to spread,"  File ""/home/darlinne.soto/new_framework/ray-tune-search/hyperparameters_search.py"", line 136, in my_objective_function
    result = h_search_unit(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/h_search_unit.py"", line 23, in h_search_unit
    experiment_result = run_basic_experiment(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/run_basic_experiment.py"", line 151, in run_basic_experiment
    datasets = do_reduce(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/do_reduce.py"", line 121, in do_reduce
    reducer.fit(**fit_dsets)

  File ""/usr/local/lib/python3.10/site-packages/umap/umap_.py"", line 2379, in fit
    self._validate_parameters()

  File ""/usr/local/lib/python3.10/site-packages/umap/umap_.py"", line 1750, in _validate_parameters
    raise ValueError(""min_dist must be less than or equal to spread"")
"
cf1c6a07,"{'umap_ncomp': 12, 'umap_spread': 1.1844063223554175, 'umap_mdist': 1.5001986421613867, 'umap_neigh': 131, 'umap_epochs': 357}",<class 'ValueError'>,min_dist must be less than or equal to spread,"  File ""/home/darlinne.soto/new_framework/ray-tune-search/hyperparameters_search.py"", line 136, in my_objective_function
    result = h_search_unit(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/h_search_unit.py"", line 23, in h_search_unit
    experiment_result = run_basic_experiment(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/run_basic_experiment.py"", line 151, in run_basic_experiment
    datasets = do_reduce(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/do_reduce.py"", line 121, in do_reduce
    reducer.fit(**fit_dsets)

  File ""/usr/local/lib/python3.10/site-packages/umap/umap_.py"", line 2379, in fit
    self._validate_parameters()

  File ""/usr/local/lib/python3.10/site-packages/umap/umap_.py"", line 1750, in _validate_parameters
    raise ValueError(""min_dist must be less than or equal to spread"")
"
0884c5f5,"{'umap_ncomp': 10, 'umap_spread': 0.5518106995146741, 'umap_mdist': 1.2144919751459977, 'umap_neigh': 114, 'umap_epochs': 380}",<class 'ValueError'>,min_dist must be less than or equal to spread,"  File ""/home/darlinne.soto/new_framework/ray-tune-search/hyperparameters_search.py"", line 136, in my_objective_function
    result = h_search_unit(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/h_search_unit.py"", line 23, in h_search_unit
    experiment_result = run_basic_experiment(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/run_basic_experiment.py"", line 151, in run_basic_experiment
    datasets = do_reduce(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/do_reduce.py"", line 121, in do_reduce
    reducer.fit(**fit_dsets)

  File ""/usr/local/lib/python3.10/site-packages/umap/umap_.py"", line 2379, in fit
    self._validate_parameters()

  File ""/usr/local/lib/python3.10/site-packages/umap/umap_.py"", line 1750, in _validate_parameters
    raise ValueError(""min_dist must be less than or equal to spread"")
"
f919b877,"{'umap_ncomp': 15, 'umap_spread': 1.5375424787749659, 'umap_mdist': 1.8508439881627137, 'umap_neigh': 194, 'umap_epochs': 280}",<class 'ValueError'>,min_dist must be less than or equal to spread,"  File ""/home/darlinne.soto/new_framework/ray-tune-search/hyperparameters_search.py"", line 136, in my_objective_function
    result = h_search_unit(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/h_search_unit.py"", line 23, in h_search_unit
    experiment_result = run_basic_experiment(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/run_basic_experiment.py"", line 151, in run_basic_experiment
    datasets = do_reduce(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/do_reduce.py"", line 121, in do_reduce
    reducer.fit(**fit_dsets)

  File ""/usr/local/lib/python3.10/site-packages/umap/umap_.py"", line 2379, in fit
    self._validate_parameters()

  File ""/usr/local/lib/python3.10/site-packages/umap/umap_.py"", line 1750, in _validate_parameters
    raise ValueError(""min_dist must be less than or equal to spread"")
"
31f47434,"{'umap_ncomp': 14, 'umap_spread': 0.7254809562380278, 'umap_mdist': 1.1646956522823588, 'umap_neigh': 185, 'umap_epochs': 226}",<class 'ValueError'>,min_dist must be less than or equal to spread,"  File ""/home/darlinne.soto/new_framework/ray-tune-search/hyperparameters_search.py"", line 136, in my_objective_function
    result = h_search_unit(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/h_search_unit.py"", line 23, in h_search_unit
    experiment_result = run_basic_experiment(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/run_basic_experiment.py"", line 151, in run_basic_experiment
    datasets = do_reduce(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/do_reduce.py"", line 121, in do_reduce
    reducer.fit(**fit_dsets)

  File ""/usr/local/lib/python3.10/site-packages/umap/umap_.py"", line 2379, in fit
    self._validate_parameters()

  File ""/usr/local/lib/python3.10/site-packages/umap/umap_.py"", line 1750, in _validate_parameters
    raise ValueError(""min_dist must be less than or equal to spread"")
"
d86a154e,"{'umap_ncomp': 10, 'umap_spread': 1.3454283583775475, 'umap_mdist': 1.7390262889520665, 'umap_neigh': 156, 'umap_epochs': 570}",<class 'ValueError'>,min_dist must be less than or equal to spread,"  File ""/home/darlinne.soto/new_framework/ray-tune-search/hyperparameters_search.py"", line 136, in my_objective_function
    result = h_search_unit(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/h_search_unit.py"", line 23, in h_search_unit
    experiment_result = run_basic_experiment(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/run_basic_experiment.py"", line 151, in run_basic_experiment
    datasets = do_reduce(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/do_reduce.py"", line 121, in do_reduce
    reducer.fit(**fit_dsets)

  File ""/usr/local/lib/python3.10/site-packages/umap/umap_.py"", line 2379, in fit
    self._validate_parameters()

  File ""/usr/local/lib/python3.10/site-packages/umap/umap_.py"", line 1750, in _validate_parameters
    raise ValueError(""min_dist must be less than or equal to spread"")
"
02b40fc2,"{'umap_ncomp': 15, 'umap_spread': 0.3434641856419953, 'umap_mdist': 1.7624486582292795, 'umap_neigh': 160, 'umap_epochs': 165}",<class 'ValueError'>,min_dist must be less than or equal to spread,"  File ""/home/darlinne.soto/new_framework/ray-tune-search/hyperparameters_search.py"", line 136, in my_objective_function
    result = h_search_unit(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/h_search_unit.py"", line 23, in h_search_unit
    experiment_result = run_basic_experiment(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/run_basic_experiment.py"", line 151, in run_basic_experiment
    datasets = do_reduce(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/do_reduce.py"", line 121, in do_reduce
    reducer.fit(**fit_dsets)

  File ""/usr/local/lib/python3.10/site-packages/umap/umap_.py"", line 2379, in fit
    self._validate_parameters()

  File ""/usr/local/lib/python3.10/site-packages/umap/umap_.py"", line 1750, in _validate_parameters
    raise ValueError(""min_dist must be less than or equal to spread"")
"
0a37cf0e,"{'umap_ncomp': 8, 'umap_spread': 0.7880892577021132, 'umap_mdist': 1.8939076945467395, 'umap_neigh': 40, 'umap_epochs': 375}",<class 'ValueError'>,min_dist must be less than or equal to spread,"  File ""/home/darlinne.soto/new_framework/ray-tune-search/hyperparameters_search.py"", line 136, in my_objective_function
    result = h_search_unit(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/h_search_unit.py"", line 23, in h_search_unit
    experiment_result = run_basic_experiment(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/run_basic_experiment.py"", line 151, in run_basic_experiment
    datasets = do_reduce(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/do_reduce.py"", line 121, in do_reduce
    reducer.fit(**fit_dsets)

  File ""/usr/local/lib/python3.10/site-packages/umap/umap_.py"", line 2379, in fit
    self._validate_parameters()

  File ""/usr/local/lib/python3.10/site-packages/umap/umap_.py"", line 1750, in _validate_parameters
    raise ValueError(""min_dist must be less than or equal to spread"")
"
77efa6a5,"{'umap_ncomp': 17, 'umap_spread': 0.25045046167537355, 'umap_mdist': 0.9855102593857905, 'umap_neigh': 169, 'umap_epochs': 460}",<class 'ValueError'>,min_dist must be less than or equal to spread,"  File ""/home/darlinne.soto/new_framework/ray-tune-search/hyperparameters_search.py"", line 136, in my_objective_function
    result = h_search_unit(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/h_search_unit.py"", line 23, in h_search_unit
    experiment_result = run_basic_experiment(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/run_basic_experiment.py"", line 151, in run_basic_experiment
    datasets = do_reduce(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/do_reduce.py"", line 121, in do_reduce
    reducer.fit(**fit_dsets)

  File ""/usr/local/lib/python3.10/site-packages/umap/umap_.py"", line 2379, in fit
    self._validate_parameters()

  File ""/usr/local/lib/python3.10/site-packages/umap/umap_.py"", line 1750, in _validate_parameters
    raise ValueError(""min_dist must be less than or equal to spread"")
"
1b4ff888,"{'umap_ncomp': 9, 'umap_spread': 0.3114535725621861, 'umap_mdist': 1.8299437652557689, 'umap_neigh': 155, 'umap_epochs': 241}",<class 'ValueError'>,min_dist must be less than or equal to spread,"  File ""/home/darlinne.soto/new_framework/ray-tune-search/hyperparameters_search.py"", line 136, in my_objective_function
    result = h_search_unit(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/h_search_unit.py"", line 23, in h_search_unit
    experiment_result = run_basic_experiment(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/run_basic_experiment.py"", line 151, in run_basic_experiment
    datasets = do_reduce(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/do_reduce.py"", line 121, in do_reduce
    reducer.fit(**fit_dsets)

  File ""/usr/local/lib/python3.10/site-packages/umap/umap_.py"", line 2379, in fit
    self._validate_parameters()

  File ""/usr/local/lib/python3.10/site-packages/umap/umap_.py"", line 1750, in _validate_parameters
    raise ValueError(""min_dist must be less than or equal to spread"")
"
