,score,randomforest-100-accuracy (mean),randomforest-100-accuracy (std),randomforest-100-f1-score macro (mean),randomforest-100-f1-score macro (std),randomforest-100-f1-score weighted (mean),randomforest-100-f1-score weighted (std),KNN-5-accuracy (mean),KNN-5-accuracy (std),KNN-5-f1-score macro (mean),KNN-5-f1-score macro (std),KNN-5-f1-score weighted (mean),KNN-5-f1-score weighted (std),SVM-rbf-C1.0-accuracy (mean),SVM-rbf-C1.0-accuracy (std),SVM-rbf-C1.0-f1-score macro (mean),SVM-rbf-C1.0-f1-score macro (std),SVM-rbf-C1.0-f1-score weighted (mean),SVM-rbf-C1.0-f1-score weighted (std),num_params,num_trainable_params,timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/umap_ncomp,config/umap_spread,config/umap_mdist,config/umap_neigh,config/umap_epochs,logdir,error_type,error_message,error_traceback
0,0.7114705882352941,0.7114705882352941,0.01502305034014369,0.7137270285048976,0.014815596989698537,0.7137270285048974,0.014815596989698575,0.6705882352941176,0.0,0.6726445793207089,0.0,0.6726445793207089,0.0,0.6470588235294118,0.0,0.6559071360279298,0.0,0.6559071360279298,0.0,-1,-1,1705013240,False,1,ca1845b6,2024-01-11_22-47-20,20.229955673217773,20.229955673217773,1164649,c6b012403c46,172.17.0.2,20.229955673217773,1,,12,0.6964311236252807,0.5466152788300451,8,561,ca1845b6,,,
1,-0.1,,,,,,,,,,,,,,,,,,,-1,-1,1705013225,False,1,cb8d08eb,2024-01-11_22-47-05,0.5184640884399414,0.5184640884399414,1164746,c6b012403c46,172.17.0.2,0.5184640884399414,1,,11,1.290888451046222,1.4669538755986038,89,354,cb8d08eb,<class 'ValueError'>,min_dist must be less than or equal to spread,"  File ""/home/darlinne.soto/new_framework/ray-tune-search/hyperparameters_search.py"", line 136, in my_objective_function
    result = h_search_unit(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/h_search_unit.py"", line 23, in h_search_unit
    experiment_result = run_basic_experiment(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/run_basic_experiment.py"", line 151, in run_basic_experiment
    datasets = do_reduce(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/do_reduce.py"", line 121, in do_reduce
    reducer.fit(**fit_dsets)

  File ""/usr/local/lib/python3.10/site-packages/umap/umap_.py"", line 2379, in fit
    self._validate_parameters()

  File ""/usr/local/lib/python3.10/site-packages/umap/umap_.py"", line 1750, in _validate_parameters
    raise ValueError(""min_dist must be less than or equal to spread"")
"
2,-0.1,,,,,,,,,,,,,,,,,,,-1,-1,1705013226,False,1,cf1c6a07,2024-01-11_22-47-06,0.5068356990814209,0.5068356990814209,1164746,c6b012403c46,172.17.0.2,0.5068356990814209,1,,12,1.1844063223554175,1.5001986421613867,131,357,cf1c6a07,<class 'ValueError'>,min_dist must be less than or equal to spread,"  File ""/home/darlinne.soto/new_framework/ray-tune-search/hyperparameters_search.py"", line 136, in my_objective_function
    result = h_search_unit(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/h_search_unit.py"", line 23, in h_search_unit
    experiment_result = run_basic_experiment(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/run_basic_experiment.py"", line 151, in run_basic_experiment
    datasets = do_reduce(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/do_reduce.py"", line 121, in do_reduce
    reducer.fit(**fit_dsets)

  File ""/usr/local/lib/python3.10/site-packages/umap/umap_.py"", line 2379, in fit
    self._validate_parameters()

  File ""/usr/local/lib/python3.10/site-packages/umap/umap_.py"", line 1750, in _validate_parameters
    raise ValueError(""min_dist must be less than or equal to spread"")
"
3,0.5411764705882353,0.5223529411764705,0.006984907110022314,0.4962942502675289,0.007013030445132589,0.4962942502675289,0.0070130304451325905,0.5411764705882353,0.0,0.5458902529230756,0.0,0.5458902529230756,0.0,0.4264705882352941,0.0,0.4081996171725458,0.0,0.40819961717254577,0.0,-1,-1,1705013249,False,1,5d5144f9,2024-01-11_22-47-29,20.973349571228027,20.973349571228027,1164746,c6b012403c46,172.17.0.2,20.973349571228027,1,,11,0.7603387732990385,0.1930662600233919,43,368,5d5144f9,,,
4,-0.1,,,,,,,,,,,,,,,,,,,-1,-1,1705013238,False,1,0884c5f5,2024-01-11_22-47-18,0.4882478713989258,0.4882478713989258,1164876,c6b012403c46,172.17.0.2,0.4882478713989258,1,,10,0.5518106995146741,1.2144919751459977,114,380,0884c5f5,<class 'ValueError'>,min_dist must be less than or equal to spread,"  File ""/home/darlinne.soto/new_framework/ray-tune-search/hyperparameters_search.py"", line 136, in my_objective_function
    result = h_search_unit(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/h_search_unit.py"", line 23, in h_search_unit
    experiment_result = run_basic_experiment(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/run_basic_experiment.py"", line 151, in run_basic_experiment
    datasets = do_reduce(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/do_reduce.py"", line 121, in do_reduce
    reducer.fit(**fit_dsets)

  File ""/usr/local/lib/python3.10/site-packages/umap/umap_.py"", line 2379, in fit
    self._validate_parameters()

  File ""/usr/local/lib/python3.10/site-packages/umap/umap_.py"", line 1750, in _validate_parameters
    raise ValueError(""min_dist must be less than or equal to spread"")
"
5,-0.1,,,,,,,,,,,,,,,,,,,-1,-1,1705013239,False,1,f919b877,2024-01-11_22-47-19,0.49511003494262695,0.49511003494262695,1164876,c6b012403c46,172.17.0.2,0.49511003494262695,1,,15,1.5375424787749659,1.8508439881627137,194,280,f919b877,<class 'ValueError'>,min_dist must be less than or equal to spread,"  File ""/home/darlinne.soto/new_framework/ray-tune-search/hyperparameters_search.py"", line 136, in my_objective_function
    result = h_search_unit(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/h_search_unit.py"", line 23, in h_search_unit
    experiment_result = run_basic_experiment(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/run_basic_experiment.py"", line 151, in run_basic_experiment
    datasets = do_reduce(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/do_reduce.py"", line 121, in do_reduce
    reducer.fit(**fit_dsets)

  File ""/usr/local/lib/python3.10/site-packages/umap/umap_.py"", line 2379, in fit
    self._validate_parameters()

  File ""/usr/local/lib/python3.10/site-packages/umap/umap_.py"", line 1750, in _validate_parameters
    raise ValueError(""min_dist must be less than or equal to spread"")
"
6,-0.1,,,,,,,,,,,,,,,,,,,-1,-1,1705013239,False,1,31f47434,2024-01-11_22-47-19,0.49045300483703613,0.49045300483703613,1164876,c6b012403c46,172.17.0.2,0.49045300483703613,1,,14,0.7254809562380278,1.1646956522823588,185,226,31f47434,<class 'ValueError'>,min_dist must be less than or equal to spread,"  File ""/home/darlinne.soto/new_framework/ray-tune-search/hyperparameters_search.py"", line 136, in my_objective_function
    result = h_search_unit(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/h_search_unit.py"", line 23, in h_search_unit
    experiment_result = run_basic_experiment(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/run_basic_experiment.py"", line 151, in run_basic_experiment
    datasets = do_reduce(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/do_reduce.py"", line 121, in do_reduce
    reducer.fit(**fit_dsets)

  File ""/usr/local/lib/python3.10/site-packages/umap/umap_.py"", line 2379, in fit
    self._validate_parameters()

  File ""/usr/local/lib/python3.10/site-packages/umap/umap_.py"", line 1750, in _validate_parameters
    raise ValueError(""min_dist must be less than or equal to spread"")
"
7,0.3176470588235294,0.27029411764705885,0.0071380359408891704,0.19934267200380423,0.01032592334129079,0.19934267200380423,0.01032592334129079,0.3176470588235294,0.0,0.3141529022754341,0.0,0.3141529022754341,0.0,0.2411764705882353,0.0,0.16982973649640315,0.0,0.16982973649640315,0.0,-1,-1,1705013263,True,1,8898a338,2024-01-11_22-47-43,23.391651391983032,23.391651391983032,1164876,c6b012403c46,172.17.0.2,23.391651391983032,1,,17,0.9964704161938085,0.7568462796844837,142,307,8898a338,,,
8,0.3764705882352941,0.3297058823529412,0.007376433061167323,0.2671698910627742,0.009063492493567357,0.2671698910627742,0.009063492493567336,0.3764705882352941,0.0,0.3431264285101959,0.0,0.34312642851019587,0.0,0.3558823529411765,0.0,0.32664752475247527,0.0,0.32664752475247527,0.0,-1,-1,1705013254,False,1,b52cf3d7,2024-01-11_22-47-34,13.967229843139648,13.967229843139648,1164649,c6b012403c46,172.17.0.2,13.967229843139648,1,,17,0.6602267030439866,0.041337229393059394,94,363,b52cf3d7,,,
9,0.4176470588235294,0.4141176470588235,0.010750392283821799,0.3777314740092229,0.01112896644938919,0.3777314740092229,0.0111289664493892,0.4176470588235294,0.0,0.4040734929946571,0.0,0.40407349299465717,0.0,0.34705882352941175,0.0,0.33709720600187126,0.0,0.33709720600187126,0.0,-1,-1,1705013258,False,1,def34d40,2024-01-11_22-47-38,8.788512945175171,8.788512945175171,1164746,c6b012403c46,172.17.0.2,8.788512945175171,1,,6,1.6544908538662244,0.08027025106105978,77,188,def34d40,,,
