dataset,model,percent,dim,score
kuhar,fft-ae,25,34,0.7821596244131456
kuhar,fft-ae,25,76,0.7016431924882629
kuhar,fft-ae,25,66,0.711737089201878
kuhar,fft-ae,25,2,0.539906103286385
kuhar,fft-ae,25,41,0.6690140845070423
kuhar,fft-ae,25,7,0.6415492957746479
kuhar,fft-ae,25,15,0.7539906103286386
kuhar,fft-ae,25,62,0.6220657276995305
kuhar,fft-ae,25,15,0.6976525821596244
kuhar,fft-ae,25,63,0.5845070422535211
kuhar,fft-ae,25,57,0.7748826291079812
kuhar,fft-ae,25,62,0.6288732394366198
kuhar,fft-ae,25,74,0.6211267605633803
kuhar,fft-ae,25,39,0.7955399061032864
kuhar,fft-ae,25,82,0.6854460093896714
kuhar,fft-ae,25,54,0.6244131455399061
kuhar,fft-ae,25,10,0.7225352112676056
kuhar,fft-ae,25,85,0.6786384976525822
kuhar,fft-ae,25,41,0.7586854460093898
kuhar,fft-ae,25,22,0.6002347417840376
kuhar,fft-ae,25,27,0.7093896713615024
kuhar,fft-ae,25,49,0.7931924882629108
kuhar,fft-ae,25,31,0.7629107981220657
kuhar,fft-ae,25,11,0.636150234741784
kuhar,fft-ae,25,32,0.6086854460093897
kuhar,fft-ae,25,19,0.7725352112676057
kuhar,fft-ae,25,40,0.7955399061032864
kuhar,fft-ae,25,34,0.7532863849765257
kuhar,fft-ae,25,48,0.7974178403755869
kuhar,fft-ae,25,25,0.7647887323943662
kuhar,fft-ae,25,37,0.7093896713615024
kuhar,fft-ae,25,53,0.6772300469483568
kuhar,fft-ae,25,43,0.7931924882629109
kuhar,fft-ae,25,38,0.7410798122065728
kuhar,fft-ae,25,73,0.8511737089201878
kuhar,fft-ae,25,70,0.7467136150234742
kuhar,fft-ae,25,47,0.7328638497652583
kuhar,fft-ae,25,50,0.7875586854460094
kuhar,fft-ae,25,57,0.7629107981220657
kuhar,fft-ae,25,2,0.607981220657277
kuhar,fft-ae,25,66,0.8049295774647888
kuhar,fft-ae,25,44,0.7312206572769954
kuhar,fft-ae,25,59,0.7969483568075117
kuhar,fft-ae,25,79,0.597887323943662
kuhar,fft-ae,25,89,0.5772300469483568
kuhar,fft-ae,25,30,0.7065727699530516
kuhar,fft-ae,25,68,0.6901408450704225
kuhar,fft-ae,25,16,0.7502347417840376
kuhar,fft-ae,25,53,0.5866197183098592
kuhar,fft-ae,25,25,0.8091549295774648
kuhar,fft-ae,25,36,0.7274647887323943
kuhar,fft-ae,25,62,0.5093896713615024
kuhar,fft-ae,25,59,0.7375586854460094
kuhar,fft-ae,25,90,0.7253521126760564
kuhar,fft-ae,25,72,0.823943661971831
kuhar,fft-ae,25,78,0.6220657276995305
kuhar,fft-ae,25,85,0.8046948356807512
kuhar,fft-ae,25,66,0.5727699530516432
kuhar,fft-ae,25,76,0.6244131455399061
kuhar,fft-ae,25,6,0.7373239436619718
kuhar,fft-ae,25,86,0.5868544600938967
kuhar,fft-ae,25,80,0.8211267605633804
kuhar,fft-ae,25,82,0.7753521126760564
kuhar,fft-ae,25,65,0.6525821596244131
kuhar,fft-ae,25,73,0.808450704225352
kuhar,fft-ae,25,50,0.7786384976525822
kuhar,fft-ae,25,56,0.7929577464788732
kuhar,fft-ae,25,60,0.8164319248826291
kuhar,fft-ae,25,22,0.7786384976525822
kuhar,fft-ae,25,71,0.8150234741784038
kuhar,fft-ae,25,28,0.7539906103286385
kuhar,fft-ae,25,10,0.6793427230046949
kuhar,fft-ae,25,13,0.7711267605633803
kuhar,fft-ae,25,6,0.6051643192488263
kuhar,fft-ae,25,74,0.831924882629108
kuhar,fft-ae,25,71,0.789906103286385
kuhar,fft-ae,25,60,0.7671361502347417
kuhar,fft-ae,25,81,0.8065727699530516
kuhar,fft-ae,25,88,0.765962441314554
kuhar,fft-ae,25,76,0.8070422535211268
kuhar,fft-ae,25,84,0.7370892018779343
kuhar,fft-ae,25,74,0.6948356807511737
kuhar,fft-ae,25,68,0.6690140845070423
kuhar,fft-ae,25,63,0.636150234741784
kuhar,fft-ae,25,78,0.7814553990610329
kuhar,fft-ae,25,73,0.8272300469483568
kuhar,fft-ae,25,69,0.7464788732394365
kuhar,fft-ae,25,52,0.7943661971830986
kuhar,fft-ae,25,45,0.7492957746478874
kuhar,fft-ae,25,56,0.7922535211267605
kuhar,fft-ae,25,87,0.6643192488262911
kuhar,fft-ae,25,42,0.7708920187793428
kuhar,fft-ae,25,83,0.7859154929577465
kuhar,fft-ae,25,65,0.7488262910798122
kuhar,fft-ae,25,77,0.704225352112676
kuhar,fft-ae,25,75,0.812206572769953
kuhar,fft-ae,25,72,0.6291079812206573
kuhar,fft-ae,25,90,0.7727699530516432
kuhar,fft-ae,25,63,0.8098591549295776
kuhar,fft-ae,25,80,0.7983568075117371
kuhar,fft-ae,25,67,0.687793427230047
kuhar,fft-ae,25,55,0.6791079812206573
kuhar,fft-ae,25,61,0.6854460093896714
kuhar,fft-ae,25,58,0.8096244131455398
kuhar,fft-ae,25,52,0.5507042253521127
kuhar,fft-ae,25,47,0.5971830985915493
kuhar,fft-ae,25,70,0.7943661971830986
kuhar,fft-ae,25,34,0.7868544600938967
kuhar,fft-ae,25,74,0.7622065727699531
kuhar,fft-ae,25,85,0.6413145539906103
kuhar,fft-ae,25,65,0.7072769953051643
kuhar,fft-ae,25,83,0.8293427230046948
kuhar,fft-ae,25,88,0.8105633802816902
kuhar,fft-ae,25,49,0.7889671361502347
kuhar,fft-ae,25,78,0.828638497652582
kuhar,fft-ae,25,39,0.728169014084507
kuhar,fft-ae,25,81,0.7638497652582159
kuhar,fft-ae,25,69,0.812206572769953
kuhar,fft-ae,25,83,0.7044600938967137
kuhar,fft-ae,25,88,0.8089201877934272
kuhar,fft-ae,25,90,0.6159624413145541
kuhar,fft-ae,25,85,0.7915492957746479
kuhar,fft-ae,25,76,0.8173708920187794
kuhar,fft-ae,25,54,0.6633802816901408
kuhar,fft-ae,25,64,0.7354460093896713
kuhar,fft-ae,25,83,0.823474178403756
kuhar,fft-ae,25,79,0.6173708920187794
kuhar,fft-ae,25,86,0.6197183098591549
kuhar,fft-ae,25,58,0.8323943661971832
kuhar,fft-ae,25,62,0.799530516431925
kuhar,fft-ae,25,67,0.6563380281690141
kuhar,fft-ae,25,72,0.6197183098591549
kuhar,fft-ae,25,81,0.7821596244131455
kuhar,fft-ae,25,32,0.7363849765258216
kuhar,fft-ae,25,3,0.5492957746478874
kuhar,fft-ae,25,19,0.7474178403755869
kuhar,fft-ae,25,50,0.6438967136150234
kuhar,fft-ae,25,45,0.7755868544600939
kuhar,fft-ae,25,59,0.596244131455399
kuhar,fft-ae,25,42,0.7591549295774647
kuhar,fft-ae,25,52,0.8295774647887324
kuhar,fft-ae,25,56,0.726056338028169
kuhar,fft-ae,25,57,0.754225352112676
kuhar,fft-ae,25,60,0.8049295774647888
kuhar,fft-ae,25,70,0.7788732394366197
kuhar,fft-ae,25,68,0.8023474178403756
kuhar,fft-ae,25,77,0.8232394366197182
kuhar,fft-ae,25,74,0.818075117370892
kuhar,fft-ae,25,79,0.8105633802816902
kuhar,fft-ae,25,66,0.8070422535211268
kuhar,fft-ae,25,63,0.7830985915492958
kuhar,fft-ae,25,75,0.8119718309859156
kuhar,fft-ae,25,72,0.8288732394366196
kuhar,fft-ae,25,82,0.8309859154929577
kuhar,fft-ae,25,61,0.737793427230047
kuhar,fft-ae,25,54,0.7833333333333334
kuhar,fft-ae,25,47,0.7889671361502348
kuhar,fft-ae,25,69,0.7082159624413146
kuhar,fft-ae,25,87,0.794131455399061
kuhar,fft-ae,25,64,0.7908450704225353
kuhar,fft-ae,25,58,0.7725352112676056
kuhar,fft-ae,25,77,0.832394366197183
kuhar,fft-ae,25,84,0.7638497652582159
kuhar,fft-ae,25,71,0.8309859154929577
kuhar,fft-ae,25,80,0.8124413145539906
kuhar,fft-ae,25,36,0.75
kuhar,fft-ae,25,67,0.8072769953051644
kuhar,fft-ae,25,90,0.751643192488263
kuhar,fft-ae,25,73,0.7934272300469484
kuhar,fft-ae,25,77,0.5985915492957746
kuhar,fft-ae,25,75,0.8288732394366196
kuhar,fft-ae,25,65,0.6650234741784038
kuhar,fft-ae,25,49,0.7960093896713615
kuhar,fft-ae,25,62,0.7748826291079812
kuhar,fft-ae,25,69,0.8161971830985915
kuhar,fft-ae,25,58,0.793661971830986
kuhar,fft-ae,25,44,0.7396713615023474
kuhar,fft-ae,25,40,0.6319248826291081
kuhar,fft-ae,25,51,0.6556338028169014
kuhar,fft-ae,25,78,0.6894366197183098
kuhar,fft-ae,25,55,0.7976525821596244
kuhar,fft-ae,25,67,0.7577464788732394
kuhar,fft-ae,25,60,0.7661971830985916
kuhar,fft-ae,25,74,0.7847417840375586
kuhar,fft-ae,25,71,0.6830985915492958
kuhar,fft-ae,25,81,0.8061032863849766
kuhar,fft-ae,25,64,0.6809859154929578
kuhar,fft-ae,25,79,0.8377934272300468
kuhar,fft-ae,25,86,0.7929577464788732
kuhar,fft-ae,25,76,0.7974178403755868
kuhar,fft-ae,25,53,0.8359154929577466
kuhar,fft-ae,25,89,0.7673708920187793
