dataset,model,percent,dim,score
kuhar,umap,2.5,7,0.4248826291079812
kuhar,umap,5.0,18,0.4248826291079812
kuhar,umap,25.0,89,0.4295774647887324
kuhar,umap,50.0,53,0.42018779342723
kuhar,umap,75.0,51,0.4225352112676056
kuhar,umap,100.0,334,0.4178403755868544
kuhar,umap,200.0,462,0.4178403755868544
kuhar,ae,2.5,9,0.6002347417840375
kuhar,ae,5.0,16,0.646244131455399
kuhar,ae,25.0,74,0.6546948356807513
kuhar,ae,50.0,72,0.6636150234741784
kuhar,ae,75.0,198,0.6652582159624413
kuhar,ae,100.0,180,0.6767605633802818
kuhar,ae,200.0,337,0.6882629107981221
kuhar,tae,2.5,5,0.6532863849765258
kuhar,tae,5.0,14,0.6774647887323944
kuhar,tae,25.0,18,0.6830985915492958
kuhar,tae,50.0,108,0.6875586854460094
kuhar,tae,75.0,216,0.6842723004694835
kuhar,tae,100.0,263,0.6720657276995305
kuhar,tae,200.0,381,0.686150234741784
kuhar,convae,2.5,9,0.7333333333333333
kuhar,convae,5.0,16,0.7610328638497653
kuhar,convae,25.0,81,0.7657276995305164
kuhar,convae,50.0,57,0.784037558685446
kuhar,convae,75.0,213,0.7615023474178404
kuhar,convae,100.0,291,0.7699530516431925
kuhar,convae,200.0,516,0.7723004694835681
kuhar,convtae,2.5,9,0.7551643192488263
kuhar,convtae,5.0,17,0.7474178403755868
kuhar,convtae,25.0,78,0.782394366197183
kuhar,convtae,50.0,72,0.7737089201877935
kuhar,convtae,75.0,235,0.7640845070422535
kuhar,convtae,100.0,113,0.7781690140845071
kuhar,convtae,200.0,428,0.7847417840375587
motionsense,umap,2.5,9,0.6523809523809524
motionsense,umap,5.0,16,0.65
motionsense,umap,25.0,39,0.6530952380952381
motionsense,umap,50.0,13,0.6523809523809524
motionsense,umap,75.0,143,0.657857142857143
motionsense,umap,100.0,244,0.6540476190476191
motionsense,umap,200.0,135,0.6571428571428573
motionsense,ae,2.5,9,0.6700000000000002
motionsense,ae,5.0,17,0.6976190476190476
motionsense,ae,25.0,90,0.7523809523809524
motionsense,ae,50.0,150,0.7738095238095238
motionsense,ae,75.0,164,0.7833333333333333
motionsense,ae,100.0,344,0.7880952380952381
motionsense,ae,200.0,626,0.7928571428571428
motionsense,tae,2.5,8,0.668809523809524
motionsense,tae,5.0,16,0.6807142857142858
motionsense,tae,25.0,46,0.6738095238095239
motionsense,tae,50.0,156,0.6842857142857144
motionsense,tae,75.0,103,0.6816666666666668
motionsense,tae,100.0,123,0.6771428571428573
motionsense,tae,200.0,465,0.7007142857142857
motionsense,convae,2.5,9,0.7085714285714286
motionsense,convae,5.0,17,0.7297619047619048
motionsense,convae,25.0,84,0.780952380952381
motionsense,convae,50.0,160,0.7952380952380952
motionsense,convae,75.0,164,0.7952380952380952
motionsense,convae,100.0,165,0.8071428571428572
motionsense,convae,200.0,422,0.8047619047619048
motionsense,convtae,2.5,9,0.740952380952381
motionsense,convtae,5.0,17,0.7328571428571429
motionsense,convtae,25.0,70,0.7685714285714285
motionsense,convtae,50.0,93,0.7802380952380952
motionsense,convtae,75.0,240,0.8095238095238095
motionsense,convtae,100.0,277,0.8033333333333333
motionsense,convtae,200.0,582,0.8166666666666667
uci,umap,2.5,6,0.7529411764705882
uci,umap,5.0,11,0.7764705882352941
uci,umap,25.0,72,0.7670588235294117
uci,umap,50.0,34,0.7608823529411765
uci,umap,75.0,128,0.7697058823529411
uci,umap,100.0,47,0.7676470588235295
uci,umap,200.0,20,0.7644117647058823
uci,ae,2.5,9,0.7661764705882352
uci,ae,5.0,17,0.7794117647058824
uci,ae,25.0,26,0.7952941176470588
uci,ae,50.0,105,0.8029411764705883
uci,ae,75.0,255,0.8205882352941176
uci,ae,100.0,285,0.8147058823529412
uci,ae,200.0,531,0.8205882352941176
uci,tae,2.5,7,0.758235294117647
uci,tae,5.0,14,0.7676470588235295
uci,tae,25.0,63,0.7764705882352941
uci,tae,50.0,91,0.7794117647058824
uci,tae,75.0,226,0.7926470588235295
uci,tae,100.0,89,0.7573529411764706
uci,tae,200.0,383,0.7726470588235294
uci,convae,2.5,8,0.7917647058823529
uci,convae,5.0,14,0.805
uci,convae,25.0,47,0.8226470588235294
uci,convae,50.0,108,0.825
uci,convae,75.0,144,0.8273529411764706
uci,convae,100.0,257,0.833529411764706
uci,convae,200.0,526,0.8352941176470589
uci,convtae,2.5,9,0.7888235294117647
uci,convtae,5.0,16,0.8114705882352942
uci,convtae,25.0,47,0.8326470588235294
uci,convtae,50.0,123,0.8370588235294116
uci,convtae,75.0,91,0.8276470588235293
uci,convtae,100.0,269,0.843235294117647
uci,convtae,200.0,546,0.8294117647058824
wisdm,umap,2.5,9,0.6279661016949153
wisdm,umap,5.0,11,0.6369491525423728
wisdm,umap,25.0,55,0.6274576271186441
wisdm,umap,50.0,144,0.6382203389830508
wisdm,umap,75.0,210,0.6290677966101695
wisdm,umap,100.0,291,0.6426271186440679
wisdm,umap,200.0,586,0.643135593220339
wisdm,ae,2.5,9,0.7272881355932203
wisdm,ae,5.0,18,0.756271186440678
wisdm,ae,25.0,55,0.7693220338983051
wisdm,ae,50.0,59,0.7738983050847459
wisdm,ae,75.0,165,0.7664406779661016
wisdm,ae,100.0,59,0.7700847457627118
wisdm,ae,200.0,719,0.7700847457627119
wisdm,tae,2.5,8,0.7132203389830509
wisdm,tae,5.0,17,0.7453389830508474
wisdm,tae,25.0,59,0.7470338983050848
wisdm,tae,50.0,144,0.7613559322033898
wisdm,tae,75.0,206,0.7670338983050848
wisdm,tae,100.0,293,0.7692372881355931
wisdm,tae,200.0,410,0.7669491525423728
wisdm,convae,2.5,9,0.7390677966101695
wisdm,convae,5.0,17,0.7714406779661017
wisdm,convae,25.0,80,0.8127966101694915
wisdm,convae,50.0,49,0.7992372881355932
wisdm,convae,75.0,269,0.8079661016949153
wisdm,convae,100.0,190,0.7972033898305084
wisdm,convae,200.0,566,0.8120338983050847
wisdm,convtae,2.5,8,0.7750847457627119
wisdm,convtae,5.0,17,0.78
wisdm,convtae,25.0,69,0.823050847457627
wisdm,convtae,50.0,128,0.8215254237288135
wisdm,convtae,75.0,241,0.8279661016949152
wisdm,convtae,100.0,341,0.8172881355932203
wisdm,convtae,200.0,561,0.8219491525423729
realworld_thigh,umap,2.5,7,0.5981661272923409
realworld_thigh,umap,5.0,13,0.5946601941747574
realworld_thigh,umap,25.0,38,0.5982200647249192
realworld_thigh,umap,50.0,145,0.56957928802589
realworld_thigh,umap,75.0,194,0.5851132686084142
realworld_thigh,umap,100.0,67,0.5968716289104639
realworld_thigh,umap,200.0,485,0.5733549083063646
realworld_thigh,ae,2.5,9,0.6563646170442287
realworld_thigh,ae,5.0,14,0.6611111111111112
realworld_thigh,ae,25.0,76,0.6494066882416397
realworld_thigh,ae,50.0,50,0.6461704422869471
realworld_thigh,ae,75.0,132,0.6591154261057174
realworld_thigh,ae,100.0,208,0.6632686084142395
realworld_thigh,ae,200.0,525,0.6818230852211435
realworld_thigh,tae,2.5,6,0.6343042071197411
realworld_thigh,tae,5.0,13,0.6364617044228695
realworld_thigh,tae,25.0,17,0.6290183387270766
realworld_thigh,tae,50.0,74,0.63764832793959
realworld_thigh,tae,75.0,222,0.6399137001078748
realworld_thigh,tae,100.0,311,0.6428263214670983
realworld_thigh,tae,200.0,351,0.6574973031283711
realworld_thigh,convae,2.5,9,0.7057173678532902
realworld_thigh,convae,5.0,14,0.7413160733549083
realworld_thigh,convae,25.0,63,0.7372707659115426
realworld_thigh,convae,50.0,148,0.756202804746494
realworld_thigh,convae,75.0,68,0.7237324703344121
realworld_thigh,convae,100.0,177,0.749730312837109
realworld_thigh,convae,200.0,502,0.7529665587918015
realworld_thigh,convtae,2.5,9,0.7486515641855448
realworld_thigh,convtae,5.0,11,0.7470334412081985
realworld_thigh,convtae,25.0,83,0.756472491909385
realworld_thigh,convtae,50.0,150,0.7400215749730312
realworld_thigh,convtae,75.0,118,0.7845738942826321
realworld_thigh,convtae,100.0,119,0.7593851132686084
realworld_thigh,convtae,200.0,358,0.7573894282632148
realworld_waist,umap,2.5,9,0.6531823085221143
realworld_waist,umap,5.0,8,0.6531823085221143
realworld_waist,umap,25.0,45,0.6483279395900755
realworld_waist,umap,50.0,93,0.651564185544768
realworld_waist,umap,75.0,241,0.6494066882416397
realworld_waist,umap,100.0,222,0.6472491909385113
realworld_waist,umap,200.0,179,0.6504854368932039
realworld_waist,ae,2.5,9,0.7506472491909385
realworld_waist,ae,5.0,17,0.7964940668824164
realworld_waist,ae,25.0,85,0.8375943905070118
realworld_waist,ae,50.0,128,0.8401833872707659
realworld_waist,ae,75.0,161,0.840722761596548
realworld_waist,ae,100.0,131,0.8388349514563107
realworld_waist,ae,200.0,106,0.8387270765911541
realworld_waist,tae,2.5,9,0.7686084142394822
realworld_waist,tae,5.0,16,0.7750809061488673
realworld_waist,tae,25.0,53,0.7881877022653722
realworld_waist,tae,50.0,53,0.7854368932038834
realworld_waist,tae,75.0,98,0.7988133764832794
realworld_waist,tae,100.0,51,0.7872168284789645
realworld_waist,tae,200.0,58,0.7813376483279395
realworld_waist,convae,2.5,9,0.8099244875943906
realworld_waist,convae,5.0,18,0.8093851132686083
realworld_waist,convae,25.0,72,0.8336030204962244
realworld_waist,convae,50.0,128,0.8224919093851133
realworld_waist,convae,75.0,152,0.8355987055016181
realworld_waist,convae,100.0,344,0.8214670981661273
realworld_waist,convae,200.0,303,0.838673139158576
realworld_waist,convtae,2.5,9,0.8166127292340885
realworld_waist,convtae,5.0,16,0.8300970873786407
realworld_waist,convtae,25.0,21,0.8349514563106796
realworld_waist,convtae,50.0,32,0.8403451995685005
realworld_waist,convtae,75.0,12,0.8214670981661273
realworld_waist,convtae,100.0,136,0.8314994606256741
realworld_waist,convtae,200.0,571,0.829126213592233
