dataset,model,percent,dim,score
kuhar,ae,2.5,9,0.6125
kuhar,ae,5.0,16,0.6736111111111112
kuhar,ae,25.0,74,0.6388888888888888
kuhar,ae,50.0,72,0.7152777777777778
kuhar,ae,75.0,198,0.6666666666666666
kuhar,ae,100.0,180,0.6618055555555555
kuhar,ae,200.0,337,0.6666666666666666
kuhar,convae,2.5,9,0.6548611111111111
kuhar,convae,5.0,16,0.6736111111111112
kuhar,convae,25.0,81,0.6708333333333334
kuhar,convae,50.0,57,0.704861111111111
kuhar,convae,75.0,213,0.6666666666666666
kuhar,convae,100.0,291,0.6805555555555556
kuhar,convae,200.0,516,0.6944444444444444
kuhar,convtae,2.5,9,0.5319444444444444
kuhar,convtae,5.0,17,0.6736111111111112
kuhar,convtae,25.0,78,0.5972222222222222
kuhar,convtae,50.0,72,0.6555555555555556
kuhar,convtae,75.0,235,0.6152777777777777
kuhar,convtae,100.0,113,0.6881944444444443
kuhar,convtae,200.0,428,0.6736111111111112
kuhar,tae,2.5,5,0.6180555555555556
kuhar,tae,5.0,14,0.6319444444444444
kuhar,tae,25.0,18,0.6229166666666666
kuhar,tae,50.0,108,0.6263888888888889
kuhar,tae,75.0,216,0.6375
kuhar,tae,100.0,263,0.6930555555555554
kuhar,tae,200.0,381,0.5875
kuhar,umap,2.5,7,0.6194444444444445
kuhar,umap,5.0,18,0.5902777777777778
kuhar,umap,25.0,89,0.5909722222222222
kuhar,umap,50.0,53,0.60625
kuhar,umap,75.0,51,0.5972222222222222
kuhar,umap,100.0,334,0.5930555555555556
kuhar,umap,200.0,462,0.6111111111111112
motionsense,ae,2.5,9,0.7369114877589454
motionsense,ae,5.0,17,0.7608286252354048
motionsense,ae,25.0,90,0.8069679849340866
motionsense,ae,50.0,150,0.800376647834275
motionsense,ae,75.0,164,0.7865348399246704
motionsense,ae,100.0,344,0.8060263653483992
motionsense,ae,200.0,626,0.8050847457627118
motionsense,convae,2.5,9,0.7274011299435028
motionsense,convae,5.0,17,0.7387005649717513
motionsense,convae,25.0,84,0.7580037664783428
motionsense,convae,50.0,160,0.7589453860640302
motionsense,convae,75.0,164,0.812617702448211
motionsense,convae,100.0,165,0.8233521657250471
motionsense,convae,200.0,422,0.16666666666666669
motionsense,convtae,2.5,9,0.7954802259887006
motionsense,convtae,5.0,17,0.6580979284369115
motionsense,convtae,25.0,70,0.7820150659133711
motionsense,convtae,50.0,93,0.8383239171374764
motionsense,convtae,75.0,240,0.6597928436911487
motionsense,convtae,100.0,277,0.8459510357815443
motionsense,convtae,200.0,582,0.7721280602636534
motionsense,tae,2.5,8,0.6979284369114878
motionsense,tae,5.0,16,0.6400188323917136
motionsense,tae,25.0,46,0.7357815442561205
motionsense,tae,50.0,156,0.7338983050847457
motionsense,tae,75.0,103,0.6952919020715631
motionsense,tae,100.0,123,0.728813559322034
motionsense,tae,200.0,465,0.7517890772128061
motionsense,umap,2.5,9,0.7515065913370998
motionsense,umap,5.0,16,0.7508474576271186
motionsense,umap,25.0,39,0.7504708097928436
motionsense,umap,50.0,13,0.7554613935969868
motionsense,umap,75.0,143,0.7587570621468926
motionsense,umap,100.0,244,0.7681732580037665
motionsense,umap,200.0,135,0.7638418079096045
realworld_thigh,ae,2.5,9,0.6183229813664596
realworld_thigh,ae,5.0,14,0.6426846100759145
realworld_thigh,ae,25.0,76,0.6752933057280883
realworld_thigh,ae,50.0,50,0.6623878536922015
realworld_thigh,ae,75.0,132,0.6848861283643893
realworld_thigh,ae,100.0,208,0.6759144237405106
realworld_thigh,ae,200.0,525,0.6590752242926154
realworld_thigh,convae,2.5,9,0.678743961352657
realworld_thigh,convae,5.0,14,0.668391994478951
realworld_thigh,convae,25.0,63,0.16666666666666669
realworld_thigh,convae,50.0,148,0.16666666666666669
realworld_thigh,convae,75.0,68,0.6805728088336783
realworld_thigh,convae,100.0,177,0.16666666666666669
realworld_thigh,convae,200.0,502,0.7111801242236024
realworld_thigh,convtae,2.5,9,0.5531400966183575
realworld_thigh,convtae,5.0,11,0.5438233264320221
realworld_thigh,convtae,25.0,83,0.5882677708764664
realworld_thigh,convtae,50.0,150,0.6113871635610766
realworld_thigh,convtae,75.0,118,0.4997584541062802
realworld_thigh,convtae,100.0,119,0.5576259489302967
realworld_thigh,convtae,200.0,358,0.6197722567287784
realworld_thigh,tae,2.5,6,0.5521048999309868
realworld_thigh,tae,5.0,13,0.6055900621118012
realworld_thigh,tae,25.0,17,0.6715320910973085
realworld_thigh,tae,50.0,74,0.65527950310559
realworld_thigh,tae,75.0,222,0.5638716356107659
realworld_thigh,tae,100.0,311,0.6382332643202209
realworld_thigh,tae,200.0,351,0.6538992408557626
realworld_thigh,umap,2.5,7,0.5766390614216701
realworld_thigh,umap,5.0,13,0.6084195997239475
realworld_thigh,umap,25.0,38,0.6359903381642512
realworld_thigh,umap,50.0,145,0.5883367839889578
realworld_thigh,umap,75.0,194,0.6428226363008972
realworld_thigh,umap,100.0,67,0.6363008971704625
realworld_thigh,umap,200.0,485,0.5768461007591441
realworld_waist,ae,2.5,9,0.5752314814814815
realworld_waist,ae,5.0,17,0.6085262345679012
realworld_waist,ae,25.0,85,0.6033950617283951
realworld_waist,ae,50.0,128,0.6014660493827161
realworld_waist,ae,75.0,161,0.6095679012345679
realworld_waist,ae,100.0,131,0.6099537037037037
realworld_waist,ae,200.0,106,0.6060956790123457
realworld_waist,convae,2.5,9,0.5583333333333333
realworld_waist,convae,5.0,18,0.6415895061728395
realworld_waist,convae,25.0,72,0.6639660493827161
realworld_waist,convae,50.0,128,0.16666666666666669
realworld_waist,convae,75.0,152,0.16666666666666669
realworld_waist,convae,100.0,344,0.5717592592592593
realworld_waist,convae,200.0,303,0.16666666666666669
realworld_waist,convtae,2.5,9,0.5973765432098765
realworld_waist,convtae,5.0,16,0.5551697530864198
realworld_waist,convtae,25.0,21,0.6027777777777777
realworld_waist,convtae,50.0,32,0.611574074074074
realworld_waist,convtae,75.0,12,0.5829475308641975
realworld_waist,convtae,100.0,136,0.5829475308641975
realworld_waist,convtae,200.0,571,0.6150462962962964
realworld_waist,tae,2.5,9,0.5734567901234568
realworld_waist,tae,5.0,16,0.623070987654321
realworld_waist,tae,25.0,53,0.6522376543209877
realworld_waist,tae,50.0,53,0.6456404320987654
realworld_waist,tae,75.0,98,0.6348765432098766
realworld_waist,tae,100.0,51,0.6519675925925925
realworld_waist,tae,200.0,58,0.6606867283950617
realworld_waist,umap,2.5,9,0.5324074074074074
realworld_waist,umap,5.0,8,0.5322145061728394
realworld_waist,umap,25.0,45,0.5337577160493827
realworld_waist,umap,50.0,93,0.5270061728395061
realworld_waist,umap,75.0,241,0.527391975308642
