dataset,model,percent,dim,score,CONT,TRUST,LCMC,score2,CONT2,TRUST2,LCMC2
kuhar,ae,2.5,9,0.6527777777777778,0.8405615054237101,0.7406048675733715,0.19414212548015364,0.6756944444444445,0.8729936402180496,0.769337453884698,0.2216770905151187
kuhar,ae,5.0,16,0.6833333333333333,0.8166090798964815,0.7494769010517042,0.1880232443612725,0.6527777777777778,0.8340055613677662,0.7510083420516491,0.19108268492071306
kuhar,ae,25.0,74,0.6840277777777779,0.7838362424976598,0.7387051924453499,0.17491135624938442,0.6805555555555556,0.820521997687352,0.7578430427839877,0.2015721954102236
kuhar,ae,50.0,72,0.6659722222222222,0.7295475194097241,0.7156957216012334,0.17884492268295082,0.6805555555555556,0.7374284180386543,0.7147802984417158,0.17534841918644734
kuhar,ae,75.0,198,0.6736111111111112,0.7840461703650681,0.7442527944496449,0.18496380380183197,0.6527777777777778,0.8053590110676725,0.7562771873795495,0.19807569191372004
kuhar,ae,100.0,180,0.7013888888888888,0.721174494796542,0.7119101371069876,0.16485890869693687,0.6875,0.7278990694345024,0.7155098838169704,0.17797079680882494
kuhar,ae,200.0,337,0.6944444444444444,0.6924728814492594,0.6902428280381037,0.16748128631931447,0.6597222222222222,0.6852286493034525,0.6914817465998568,0.17884492268295082
kuhar,convae,2.5,9,0.6291666666666667,0.8250130774737074,0.7289727988546886,0.17884492268295082,0.4236111111111111,0.7939231044546005,0.706486426958868,0.1622365310745592
kuhar,convae,5.0,16,0.6944444444444444,0.8666579483508617,0.7678266615274489,0.18846030729833546,0.6805555555555556,0.8417935411045647,0.7555888992896866,0.19763862897665713
kuhar,convae,25.0,81,0.6527777777777778,0.8374917405429216,0.7828141346842135,0.25401974785777603,0.6666666666666666,0.9211565993062056,0.8334446065745278,0.29117009750812567
kuhar,convae,50.0,57,0.375,0.8353993447497384,0.7911940421782941,0.11153723037525855,0.6041666666666666,0.7843731072077529,0.7485511535708387,0.23041834925637739
kuhar,convae,75.0,213,0.6805555555555556,0.8841920874401189,0.8135221078134465,0.3051561114941396,0.6805555555555556,0.7526395848246242,0.7428590110676725,0.2658204471584753
kuhar,convae,100.0,291,0.6944444444444444,0.9208193381421728,0.8421411265899454,0.31695681079483895,0.6805555555555556,0.8901492208578823,0.8121799460382138,0.29335541219344036
kuhar,convae,200.0,516,0.6527777777777778,0.7794828203292771,0.700019960354606,0.1596141534521816,0.7152777777777778,0.7858804581245526,0.7762272176642255,0.302533733871762
kuhar,convtae,2.5,9,0.6666666666666667,0.6814292990474093,0.6698832663399592,0.14956170589973405,0.6625,0.6822552447552448,0.6690573206321238,0.13732394366197181
kuhar,convtae,5.0,17,0.6180555555555556,0.6718620945983151,0.663041682726722,0.1395092583472865,0.5986111111111111,0.7216459721380981,0.669442761962447,0.14606520240323057
kuhar,convtae,25.0,78,0.5993055555555556,0.6640397004570233,0.6726364186994108,0.14693932827735645,0.5416666666666666,0.6678184020703706,0.6627147458840372,0.12333792967595784
kuhar,convtae,50.0,72,0.70625,0.6902049721931611,0.6782769395958372,0.16617009750812567,0.6173611111111111,0.8644760751059963,0.7580495292109466,0.19545331429134244
kuhar,convtae,75.0,235,0.5805555555555555,0.7044353284510765,0.6553328561202577,0.1111001674381956,0.7006944444444445,0.6013951599581521,0.6452666428060129,0.08662464296267113
kuhar,convtae,100.0,113,0.538888888888889,0.8320542646330048,0.720025053686471,0.15655471289274103,0.5631944444444446,0.7901719343648478,0.6744638235779967,0.11197429331232149
kuhar,convtae,200.0,428,0.6180555555555556,0.6060032487197842,0.6448949672374868,0.10454422338225154,0.6965277777777776,0.6876892792247122,0.6749662738835966,0.1622365310745592
kuhar,tae,2.5,5,0.6465277777777777,0.7840943505313585,0.7013345906062441,0.15087289471092286,0.5569444444444445,0.6898126479819393,0.6668066185782722,0.11721904855707672
kuhar,tae,5.0,14,0.5930555555555557,0.6542694510214195,0.6509553438687297,0.12027848911651727,0.6388888888888888,0.705206211111723,0.6688990143714553,0.13295331429134244
kuhar,tae,25.0,18,0.5833333333333334,0.665085898353615,0.7130733439788558,0.15742883876686692,0.6111111111111112,0.669136473762458,0.7130526953361599,0.14519107652910468
kuhar,tae,50.0,108,0.6388888888888888,0.722344584549309,0.6822105060294037,0.15130995764798583,0.6256944444444444,0.7350607070095259,0.6761466879577116,0.1355756919137201
kuhar,tae,75.0,216,0.6180555555555556,0.7177192885854303,0.6888215131325368,0.163547719885748,0.6458333333333334,0.7280126369693298,0.6946960519795166,0.16529597163399978
kuhar,tae,100.0,263,0.6597222222222222,0.7657755630196575,0.6762636969329883,0.14737639121441937,0.6319444444444444,0.6793196960519795,0.6794194978250097,0.13120506254309072
kuhar,tae,200.0,381,0.6263888888888889,0.7107090743901767,0.6666827267220967,0.1657330345710627,0.625,0.7012416717141127,0.6848810638180718,0.15349527233330046
